??,??,????,????,??,??,???,????,??,?????%,????,RSI,ATR%,????%,??
????,??,2025-06-06 04:00,2025-06-06 04:30,101862.01,100741.98,102778.77,100731.91,??,100.01,0.50,30.14,1.11,1.11,4H??40??
????,??,2025-06-06 08:00,2025-06-06 11:30,101447.65,102360.68,102360.68,100322.15,????,-100.00,3.50,28.57,1.16,0.04,4H??40??
????,??,2025-06-09 20:00,2025-06-10 05:00,107710.77,108896.07,106741.37,108906.96,??,99.99,9.00,68.24,0.84,0.88,4H??40??
????,??,2025-06-10 04:00,2025-06-10 05:15,108528.15,109722.44,107551.40,109733.42,??,99.99,1.25,71.36,0.87,0.48,4H??40??
????,??,2025-06-10 08:00,2025-06-10 13:30,110231.02,109238.94,109238.94,111455.20,????,-100.00,5.50,77.24,0.95,1.34,4H??40??
????,??,2025-06-21 04:00,2025-06-22 05:15,103240.87,102105.68,104170.04,102095.47,??,100.01,25.25,39.11,1.15,0.05,4H??40??
????,??,2025-06-22 04:00,2025-06-22 05:30,102207.38,101083.55,103127.24,101073.44,??,100.01,1.50,34.86,1.01,0.06,4H??40??
????,??,2025-06-22 08:00,2025-06-22 08:30,102059.69,102978.23,102978.23,100927.40,????,-100.00,0.50,34.15,1.08,0.09,4H??40??
????,??,2025-06-23 00:00,2025-06-23 01:00,98836.52,99726.04,99726.04,97739.98,????,-100.00,1.00,24.38,1.30,1.94,4H??40??
????,??,2025-06-25 20:00,2025-06-29 19:45,107141.01,108320.04,106176.74,108330.87,??,99.99,95.75,68.50,1.22,0.34,4H??40??
????,??,2025-06-29 20:00,2025-06-30 00:15,108439.04,107463.09,107463.09,109643.32,????,-100.00,4.25,67.14,0.70,0.18,4H??40??
????,??,2025-07-03 04:00,2025-07-03 10:15,109638.46,108651.72,108651.72,110856.06,????,-100.00,6.25,68.10,0.85,0.80,4H??40??
????,??,2025-07-10 04:00,2025-07-10 04:45,111722.07,110716.57,110716.57,112962.81,????,-100.00,0.75,72.74,0.84,1.10,4H??40??
????,??,2025-07-11 04:00,2025-07-11 05:15,113237.42,114483.54,112218.29,114494.99,??,99.99,1.25,74.91,0.90,1.07,4H??40??
????,??,2025-07-11 08:00,2025-07-11 13:00,116004.60,117281.17,114960.56,117292.89,??,99.99,5.00,82.02,1.09,1.95,4H??40??
????,??,2025-07-14 12:00,2025-07-14 13:15,120813.98,122143.47,119726.65,122155.69,??,99.99,1.25,81.75,0.97,1.10,4H??40??
????,??,2025-07-14 16:00,2025-07-14 19:15,122788.18,121683.08,121683.08,124151.81,????,-100.00,3.25,85.70,1.04,0.81,4H??40??
????,??,2025-08-02 04:00,2025-08-03 03:00,113259.67,112014.32,114279.01,112003.12,??,100.01,23.00,25.77,1.19,0.51,4H??40??
????,??,2025-08-03 04:00,2025-08-03 09:15,112172.88,113182.44,113182.44,110928.38,????,-100.00,5.25,25.02,1.08,0.44,4H??40??
????,??,2025-08-10 12:00,2025-08-10 15:45,118530.45,117463.68,117463.68,119846.80,????,-100.00,3.75,67.56,0.81,0.51,4H??40??
????,??,2025-08-11 00:00,2025-08-11 10:00,118797.38,120104.68,117728.20,120116.69,??,99.99,10.00,66.09,0.82,0.03,4H??40??
????,??,2025-08-11 08:00,2025-08-11 10:00,119317.93,120630.96,118244.07,120643.02,??,99.99,2.00,68.01,0.81,0.15,4H??40??
????,??,2025-08-11 12:00,2025-08-11 19:15,121718.17,120622.71,120622.71,123069.92,????,-100.00,7.25,76.61,0.92,1.99,4H??40??
????,??,2025-08-14 04:00,2025-08-14 08:15,122784.48,124135.65,121679.42,124148.07,??,99.99,4.25,70.39,1.03,0.35,4H??40??
????,??,2025-08-14 08:00,2025-08-14 13:45,123374.04,122263.67,122263.67,124744.17,????,-100.00,5.75,72.27,1.03,0.40,4H??40??
????,??,2025-08-18 12:00,2025-08-19 00:00,115245.77,116282.99,116282.99,113967.19,????,-100.00,12.00,30.79,0.89,1.28,4H??40??
????,??,2025-08-20 00:00,2025-08-20 22:00,113722.63,112472.18,114746.13,112460.94,??,100.01,22.00,31.70,1.02,0.51,4H??40??
????,??,2025-08-20 04:00,2025-08-20 23:15,113055.99,114073.50,114073.50,111801.70,????,-100.00,19.25,29.25,1.03,0.34,4H??40??
????,??,2025-08-22 04:00,2025-08-22 10:00,112142.78,113152.07,113152.07,110898.62,????,-100.00,6.00,30.46,0.96,0.14,4H??40??
????,??,2025-08-26 08:00,2025-08-26 08:45,110062.99,108852.79,111053.56,108841.90,??,100.01,0.75,32.29,1.32,0.25,4H??40??
????,??,2025-08-30 00:00,2025-08-31 08:45,108322.97,109297.87,109297.87,107121.18,????,-100.00,32.75,33.04,1.31,0.28,4H??40??
????,??,2025-09-11 00:00,2025-09-12 06:15,113828.38,115081.00,112803.93,115092.51,??,99.99,30.25,64.21,0.88,0.41,4H??40??
????,??,2025-09-11 12:00,2025-09-12 08:00,114358.53,115616.99,113329.31,115628.55,??,99.99,20.00,65.80,0.83,0.05,4H??40??
????,??,2025-09-12 08:00,2025-09-15 14:00,115449.44,116719.90,114410.40,116731.57,??,99.99,78.00,70.08,0.80,0.63,4H??40??
????,??,2025-09-13 04:00,2025-09-14 00:15,116586.66,115537.38,115537.38,117881.42,????,-100.00,20.25,72.96,0.79,0.25,4H??40??
????,??,2025-09-17 04:00,2025-09-17 22:15,116775.68,115724.70,115724.70,118072.53,????,-100.00,18.25,64.02,0.73,0.00,4H??40??
????,??,2025-09-17 16:00,2025-09-17 20:30,117122.01,116067.91,116067.91,118422.72,????,-100.00,4.50,64.36,0.71,0.05,4H??40??
????,??,2025-09-18 12:00,2025-09-19 17:45,117558.65,116500.63,116500.63,118864.21,????,-100.00,29.75,63.18,0.87,0.27,4H??40??
????,??,2025-09-26 04:00,2025-09-29 00:00,109315.87,110299.71,110299.71,108103.07,????,-100.00,68.00,26.09,1.04,1.12,4H??40??
????,??,2025-10-01 20:00,2025-10-02 00:30,116740.27,118024.93,115689.61,118036.74,??,99.99,4.50,76.52,0.84,1.69,4H??40??
????,??,2025-10-02 00:00,2025-10-02 08:00,117375.64,118667.29,116319.26,118679.16,??,99.99,8.00,78.40,0.85,0.52,4H??40??
????,??,2025-10-02 08:00,2025-10-03 00:00,118572.26,119877.08,117505.11,119889.07,??,99.99,16.00,81.60,0.90,0.32,4H??40??
????,??,2025-10-02 12:00,2025-10-03 00:00,118702.97,120009.23,117634.64,120021.23,??,99.99,12.00,81.92,0.90,0.02,4H??40??
????,??,2025-10-03 00:00,2025-10-03 23:15,119892.69,121212.04,118813.65,121224.16,??,99.99,23.25,82.97,0.87,0.37,4H??40??
????,??,2025-10-03 04:00,2025-10-03 15:30,120788.48,119701.38,119701.38,122129.90,????,-100.00,11.50,84.86,0.90,0.75,4H??40??
????,??,2025-10-04 00:00,2025-10-04 00:15,122227.32,123572.37,121127.28,123584.72,??,99.99,0.25,80.32,0.93,1.01,4H??40??
????,??,2025-10-04 04:00,2025-10-05 02:45,122608.66,121505.18,121505.18,123970.30,????,-100.00,22.75,81.17,1.01,0.22,4H??40??
????,??,2025-10-05 16:00,2025-10-05 17:30,124715.57,123593.13,123593.13,126100.61,????,-100.00,1.50,81.78,0.92,0.29,4H??40??
????,??,2025-10-27 08:00,2025-10-27 14:30,114519.85,115780.08,113489.17,115791.66,??,99.99,6.50,72.51,1.04,0.38,4H??40??
????,??,2025-10-31 00:00,2025-10-31 03:30,107645.83,106462.21,108614.65,106451.56,??,100.01,3.50,29.61,1.54,0.17,4H??40??
????,??,2025-10-31 04:00,2025-10-31 04:45,106474.35,107432.62,107432.62,105293.08,????,-100.00,0.75,26.58,1.57,0.73,4H??40??
????,??,2025-11-04 00:00,2025-11-04 00:45,105691.03,106642.25,106642.25,104518.45,????,-100.00,0.75,29.21,1.28,0.48,4H??40??
????,??,2025-11-04 16:00,2025-11-04 22:30,104433.86,103285.55,105373.76,103275.22,??,100.01,6.50,31.03,1.48,0.77,4H??40??
????,??,2025-11-05 00:00,2025-11-05 01:00,103145.28,102011.14,104073.59,102000.94,??,100.01,1.00,27.95,1.50,0.40,4H??40??
????,??,2025-11-05 04:00,2025-11-05 05:30,100487.05,99382.14,101391.43,99372.20,??,100.01,1.50,22.56,1.68,2.29,4H??40??
????,??,2025-11-14 04:00,2025-11-14 06:30,98619.54,99507.11,99507.11,97525.41,????,-100.00,2.50,33.49,1.71,0.58,4H??40??
????,??,2025-11-14 16:00,2025-11-14 19:30,97076.59,96009.18,97950.28,95999.58,??,100.01,3.50,31.69,1.88,0.86,4H??40??
????,??,2025-11-18 04:00,2025-11-18 11:00,91642.03,90634.38,92466.81,90625.32,??,100.01,7.00,28.16,1.76,1.36,4H??40??
????,??,2025-11-18 12:00,2025-11-18 12:45,90798.22,89799.84,91615.40,89790.86,??,100.01,0.75,27.84,1.82,0.49,4H??40??
????,??,2025-11-20 04:00,2025-11-20 04:45,88839.82,89639.37,89639.37,87854.19,????,-100.00,0.75,28.11,1.81,0.45,4H??40??
????,??,2025-11-21 04:00,2025-11-21 06:00,86870.11,87651.94,87651.94,85906.34,????,-100.00,2.00,30.19,2.15,1.89,4H??40??
????,??,2025-11-21 12:00,2025-11-21 15:30,85781.62,84838.40,86553.66,84829.92,??,100.01,3.50,27.89,2.21,0.31,4H??40??
????,??,2025-11-21 16:00,2025-11-21 17:15,83991.60,83068.07,84747.52,83059.76,??,100.01,1.25,24.52,2.53,1.52,4H??40??
????,??,2025-12-02 00:00,2025-12-02 00:30,84628.44,85390.09,85390.09,83689.53,????,-100.00,0.50,23.74,1.52,1.08,4H??40??
????,??,2025-12-15 08:00,2025-12-15 09:30,88105.69,88898.64,88898.64,87128.20,????,-100.00,1.50,31.49,1.15,0.32,4H??40??
????,??,2025-12-16 00:00,2025-12-16 00:30,86975.70,86019.35,87758.48,86010.75,??,100.01,0.50,31.95,1.34,0.62,4H??40??
????,??,2025-12-16 04:00,2025-12-16 18:30,86087.69,86862.48,86862.48,85132.59,????,-100.00,14.50,28.74,1.43,0.56,4H??40??
????,??,2025-12-19 04:00,2025-12-19 04:00,84424.56,85184.38,85184.38,83487.91,????,-100.00,0.00,35.20,1.82,0.77,4H??40??
????,??,2026-01-04 12:00,2026-01-05 08:45,91203.72,92207.37,90382.89,92216.59,??,99.99,20.75,70.93,0.88,0.29,4H??40??
????,??,2026-01-05 12:00,2026-01-05 23:30,92853.38,93875.18,92017.70,93884.57,??,99.99,11.50,76.91,0.86,1.13,4H??40??
????,??,2026-01-06 00:00,2026-01-07 00:15,93918.39,93073.13,93073.13,94961.41,????,-100.00,24.25,78.20,0.92,0.55,4H??40??
????,??,2026-01-06 04:00,2026-01-06 15:15,94254.42,93406.13,93406.13,95301.17,????,-100.00,11.25,79.42,0.95,0.27,4H??40??
????,??,2026-01-14 04:00,2026-01-14 06:00,94190.42,95226.93,93342.70,95236.45,??,99.99,2.00,71.60,1.02,0.50,4H??40??
????,??,2026-01-14 08:00,2026-01-14 14:30,95403.74,94545.11,94545.11,96463.25,????,-100.00,6.50,76.35,1.15,1.26,4H??40??
????,??,2026-01-15 04:00,2026-01-15 09:15,97222.92,96347.92,96347.92,98302.64,????,-100.00,5.25,76.68,1.20,0.16,4H??40??
????,??,2026-01-21 04:00,2026-01-21 06:30,89670.93,88684.95,90477.97,88676.08,??,100.01,2.50,21.03,1.06,0.14,4H??40??
????,??,2026-01-21 08:00,2026-01-21 10:00,88378.46,89173.87,89173.87,87397.95,????,-100.00,2.00,17.29,1.17,0.94,4H??40??
????,??,2026-01-26 04:00,2026-01-26 09:00,86456.25,87234.36,87234.36,85497.07,????,-100.00,5.00,22.90,1.00,0.84,4H??40??
????,??,2026-01-30 00:00,2026-01-30 01:45,84893.01,83959.56,85657.05,83951.17,??,100.01,1.75,27.38,1.45,1.32,4H??40??
????,??,2026-01-30 04:00,2026-01-30 09:30,83959.80,83036.62,84715.44,83028.32,??,100.01,5.50,24.47,1.56,0.43,4H??40??
????,??,2026-01-30 12:00,2026-01-30 22:30,82623.54,83367.15,83367.15,81706.87,????,-100.00,10.50,24.11,1.77,0.81,4H??40??
????,??,2026-02-01 04:00,2026-02-01 06:00,77704.43,78403.77,78403.77,76842.34,????,-100.00,2.00,18.67,2.29,3.79,4H??40??
????,??,2026-02-05 12:00,2026-02-05 13:15,71187.78,70405.03,71828.47,70397.99,??,100.01,1.25,22.51,2.62,0.87,4H??40??
????,??,2026-02-05 16:00,2026-02-05 16:15,70710.03,71346.42,71346.42,69925.54,????,-100.00,0.25,21.58,2.60,0.55,4H??40??
????,??,2026-02-06 00:00,2026-02-06 00:15,67449.75,68056.80,68056.80,66701.44,????,-100.00,0.25,16.29,3.00,3.46,4H??40??
????,??,2026-02-06 04:00,2026-02-06 04:15,65234.18,64516.89,65821.28,64510.44,??,100.01,0.25,13.79,3.26,2.14,4H??40??
????,??,2026-02-06 08:00,2026-02-06 08:00,62867.31,62176.05,63433.12,62169.83,??,100.01,0.00,11.72,3.54,3.49,4H??40??
????,??,2026-02-23 12:00,2026-02-23 14:30,64892.71,65476.74,65476.74,64172.76,????,-100.00,2.50,29.73,1.44,1.07,4H??40??
????,??,2026-02-24 12:00,2026-02-24 12:15,63555.84,62857.01,64127.85,62850.73,??,100.01,0.25,30.50,1.71,0.45,4H??40??
????,??,2026-02-24 16:00,2026-02-24 21:30,63153.98,62459.57,63722.37,62453.33,??,100.01,5.50,29.01,1.70,0.14,4H??40??
????,??,2026-03-04 20:00,2026-03-04 22:15,71095.51,71877.88,70455.65,71885.06,??,99.99,2.25,66.69,2.26,1.42,4H??40??
????,??,2026-03-05 00:00,2026-03-05 00:00,73359.54,72699.30,72699.30,74174.23,????,-100.00,0.00,72.74,2.32,2.05,4H??40??
????,??,2026-03-05 04:00,2026-03-05 05:00,73594.76,72932.41,72932.41,74412.07,????,-100.00,1.00,73.28,2.29,0.18,4H??40??
????,??,2026-03-13 20:00,2026-03-13 21:15,72207.22,73001.82,71557.36,73009.12,??,99.99,1.25,67.15,1.58,0.29,4H??40??
????,??,2026-03-17 08:00,2026-03-17 09:00,74849.68,75673.36,74176.04,75680.93,??,99.99,1.00,75.36,1.43,0.46,4H??40??
????,??,2026-03-22 20:00,2026-03-22 21:00,68175.28,68788.86,68788.86,67418.91,????,-100.00,1.00,30.94,1.43,0.01,4H??40??
????,??,2026-03-23 08:00,2026-03-23 11:00,67824.12,68434.53,68434.53,67071.65,????,-100.00,3.00,32.24,1.42,0.25,4H??40??
????,??,2026-03-27 20:00,2026-03-27 22:15,66653.23,65920.34,67253.11,65913.75,??,100.01,2.25,29.68,1.72,0.96,4H??40??
????,??,2026-03-28 00:00,2026-03-28 21:30,66084.89,66679.65,66679.65,65351.72,????,-100.00,21.50,27.53,1.73,0.12,4H??40??
????,??,2026-04-06 20:00,2026-04-07 06:45,69599.36,68972.97,68972.97,70372.30,????,-100.00,10.75,72.57,1.09,0.01,4H??40??
????,??,2026-04-08 08:00,2026-04-08 10:30,71911.89,71264.68,71264.68,72710.51,????,-100.00,2.50,74.86,1.51,2.25,4H??40??
????,??,2026-04-12 04:00,2026-04-12 07:00,73666.97,73003.96,73003.96,74485.08,????,-100.00,3.00,71.92,1.18,0.28,4H??40??
????,??,2026-04-14 08:00,2026-04-14 21:45,74392.84,75211.49,73723.30,75219.01,??,99.99,13.75,69.54,1.33,0.79,4H??40??
????,??,2026-04-15 00:00,2026-04-15 00:45,75287.93,74610.34,74610.34,76124.04,????,-100.00,0.75,72.72,1.31,0.48,4H??40??
????,??,2026-04-18 00:00,2026-04-18 03:00,77747.87,77048.14,77048.14,78611.31,????,-100.00,3.00,73.70,1.41,1.82,4H??40??
????,??,2026-04-23 00:00,2026-04-23 04:15,79241.02,78527.85,78527.85,80121.04,????,-100.00,4.25,69.81,1.33,1.04,4H??40??
????,??,2026-05-04 12:00,2026-05-04 14:15,80292.73,79570.09,79570.09,81184.42,????,-100.00,2.25,73.72,0.91,1.08,4H??40??
????,??,2026-05-05 12:00,2026-05-06 04:00,80856.68,81746.47,80128.97,81754.64,??,99.99,16.00,67.51,1.17,0.13,4H??40??
????,??,2026-05-06 00:00,2026-05-06 07:30,81492.55,80759.12,80759.12,82397.57,????,-100.00,7.50,70.82,1.10,0.21,4H??40??
????,??,2026-05-06 20:00,2026-05-06 21:30,82498.25,81755.76,81755.76,83414.44,????,-100.00,1.50,70.82,1.12,0.85,4H??40??
????,??,2026-05-16 16:00,2026-05-18 07:30,78325.57,77464.33,79030.50,77456.59,??,100.01,39.50,35.85,1.08,0.32,4H??40??
????,??,2026-05-18 08:00,2026-05-18 14:00,77407.26,76556.12,78103.92,76548.47,??,100.01,6.00,34.08,0.99,0.24,4H??40??
????,??,2026-05-19 00:00,2026-05-19 04:15,76376.36,77063.75,77063.75,75529.01,????,-100.00,4.25,30.05,1.08,0.20,4H??40??
????,??,2026-05-23 04:00,2026-05-23 15:45,75822.82,74989.10,76505.22,74981.60,??,100.01,11.75,32.60,1.00,0.25,4H??40??
????,??,2026-05-23 08:00,2026-05-23 15:45,75501.15,74670.97,76180.66,74663.51,??,100.01,7.75,30.41,1.01,0.15,4H??40??
????,??,2026-05-23 16:00,2026-05-23 22:15,74568.84,75239.96,75239.96,73741.54,????,-100.00,6.25,25.64,1.06,0.80,4H??40??
????,??,2026-05-28 12:00,2026-05-29 05:30,73220.68,73879.66,73879.66,72408.33,????,-100.00,17.50,24.05,1.19,1.31,4H??40??
????,??,2025-08-01 20:00,2025-08-01 21:45,115255.52,114218.22,114218.22,116535.50,????,-100.00,1.75,33.73,1.03,-0.15,???60????
????,??,2025-08-02 00:00,2025-08-02 02:00,115324.13,114286.21,114286.21,116604.87,????,-100.00,2.00,34.42,1.09,-0.18,???60????
????,??,2025-08-11 16:00,2025-08-11 20:00,121533.75,120197.41,122627.55,120185.40,??,100.01,4.00,75.15,0.91,-0.15,???60????
????,??,2025-08-30 08:00,2025-08-30 09:45,108346.63,107371.51,107371.51,109549.88,????,-100.00,1.75,33.71,1.26,-0.42,???60????
????,??,2025-08-30 12:00,2025-09-01 10:45,108397.24,107421.66,107421.66,109601.05,????,-100.00,46.75,34.10,1.24,-0.12,???60????
????,??,2025-09-12 12:00,2025-09-13 02:15,115131.59,116167.77,116167.77,113854.26,????,-100.00,14.25,67.01,0.82,-0.72,???60????
????,??,2025-11-04 20:00,2025-11-04 21:15,104547.25,103606.33,103606.33,105708.31,????,-100.00,1.25,31.59,1.45,-0.54,???60????
????,??,2025-11-05 08:00,2025-11-05 08:30,101446.54,100533.52,100533.52,102573.16,????,-100.00,0.50,27.85,1.76,-1.02,???60????
????,??,2025-11-05 12:00,2025-11-05 16:15,102096.01,101177.14,101177.14,103229.84,????,-100.00,4.25,31.35,1.85,0.03,???60????
????,??,2025-11-08 00:00,2025-11-08 01:15,100760.18,101868.98,99853.33,101879.17,??,99.99,1.25,33.66,1.64,0.32,???60????
????,??,2025-11-15 00:00,2025-11-15 01:45,96761.58,95890.72,95890.72,97836.17,????,-100.00,1.75,32.67,1.95,-1.22,???60????
????,??,2025-11-17 08:00,2025-11-17 08:45,94233.82,95270.81,93385.72,95280.34,??,99.99,0.75,32.95,1.62,-0.85,???60????
????,??,2025-12-16 08:00,2025-12-16 09:30,86399.64,85622.04,85622.04,87359.15,????,-100.00,1.50,31.21,1.40,0.45,???60????
????,??,2026-01-06 08:00,2026-01-07 00:15,93808.52,92777.04,94652.79,92767.76,??,100.01,16.25,73.76,0.96,-0.31,???60????
????,??,2026-01-07 00:00,2026-01-07 00:30,93595.64,92566.50,94438.00,92557.25,??,100.01,0.50,67.09,0.95,0.38,???60????
????,??,2026-01-15 08:00,2026-01-15 11:30,96904.81,95839.29,97776.95,95829.70,??,100.01,3.50,73.81,1.20,-0.18,???60????
????,??,2026-02-02 16:00,2026-02-02 17:30,76611.56,77454.63,75922.06,77462.37,??,99.99,1.50,24.38,2.42,0.40,???60????
????,??,2026-02-24 20:00,2026-02-24 21:30,63200.52,62631.71,62631.71,63902.40,????,-100.00,1.50,29.32,1.63,0.37,???60????
????,??,2026-03-16 16:00,2026-03-16 21:30,73421.46,74082.25,74082.25,72606.89,????,-100.00,5.50,70.20,1.39,-0.18,???60????
????,??,2026-03-17 00:00,2026-03-17 00:45,73233.48,73892.58,73892.58,72420.99,????,-100.00,0.75,66.99,1.44,-0.07,???60????
????,??,2026-03-17 12:00,2026-03-17 18:00,74431.36,73612.94,75101.24,73605.58,??,100.01,6.00,70.36,1.51,-1.47,???60????
????,??,2026-04-09 00:00,2026-04-09 01:30,71258.17,71899.50,71899.50,70467.60,????,-100.00,1.50,66.18,1.53,-0.14,???60????
????,??,2026-04-10 08:00,2026-04-10 20:30,71751.92,72397.69,72397.69,70955.88,????,-100.00,12.50,65.49,1.49,-0.37,???60????
????,??,2026-04-14 20:00,2026-04-14 21:30,74342.57,75011.65,75011.65,73517.77,????,-100.00,1.50,68.22,1.24,0.07,???60????
????,??,2026-05-05 16:00,2026-05-05 21:00,80813.72,81541.04,81541.04,79917.13,????,-100.00,5.00,67.21,1.14,-0.29,???60????
????,??,2026-05-18 16:00,2026-05-18 22:15,77044.60,76351.20,76351.20,77900.23,????,-100.00,6.25,32.71,0.97,-0.13,???60????
????,??,2026-05-23 12:00,2026-05-23 15:45,75612.66,74932.15,74932.15,76452.38,????,-100.00,3.75,31.89,0.98,-0.16,???60????
????,??,2026-05-23 20:00,2026-05-23 22:45,74761.38,75584.08,74088.52,75591.64,??,99.99,2.75,28.25,1.03,0.14,???60????
????,??,2026-05-28 16:00,2026-05-28 21:30,73464.75,72803.56,72803.56,74280.61,????,-100.00,5.50,27.16,1.18,-0.48,???60????
