??,??,????,????,??,??,???,???,??,?????%,????,??
????,??,2025-06-06 04:00,2025-06-06 17:15,101862.01,103695.53,103695.53,99802.36,????,-100.00,13.25,4H??40??
????,??,2025-06-06 08:00,2025-06-06 15:15,101447.65,103273.71,103273.71,99396.38,????,-100.00,7.25,4H??40??
????,??,2025-06-09 20:00,2025-06-10 05:15,107710.77,109877.69,105771.98,109888.68,??,95.54,9.25,4H??40??
????,??,2025-06-10 04:00,2025-06-12 21:30,108528.15,106574.64,106574.64,110722.59,????,-100.00,65.50,4H??40??
????,??,2025-06-10 08:00,2025-06-12 06:15,110231.02,108246.86,108246.86,112459.89,????,-100.00,46.25,4H??40??
????,??,2025-06-21 04:00,2025-06-22 05:30,103240.87,101163.46,105099.21,101153.34,??,95.66,25.50,4H??40??
????,??,2025-06-22 04:00,2025-06-22 22:15,102207.38,100150.76,104047.11,100140.75,??,95.66,18.25,4H??40??
????,??,2025-06-22 08:00,2025-06-22 22:15,102059.69,100006.05,103896.77,99996.05,??,95.66,14.25,4H??40??
????,??,2025-06-23 00:00,2025-06-23 06:15,98836.52,100615.57,100615.57,96838.04,????,-100.00,6.25,4H??40??
????,??,2025-06-25 20:00,2025-07-02 04:00,107141.01,105212.47,105212.47,109307.40,????,-100.00,152.00,4H??40??
????,??,2025-06-29 20:00,2025-07-01 17:30,108439.04,106487.14,106487.14,110631.68,????,-100.00,45.50,4H??40??
????,??,2025-07-03 04:00,2025-07-04 22:00,109638.46,107664.97,107664.97,111855.35,????,-100.00,42.00,4H??40??
????,??,2025-07-10 04:00,2025-07-11 05:15,111722.07,113969.69,109711.07,113981.09,??,95.54,25.25,4H??40??
????,??,2025-07-11 04:00,2025-07-11 05:15,113237.42,115515.53,111199.15,115527.08,??,95.54,1.25,4H??40??
????,??,2025-07-11 08:00,2025-07-11 13:45,116004.60,118338.38,113916.52,118350.21,??,95.54,5.75,4H??40??
????,??,2025-07-14 12:00,2025-07-14 15:30,120813.98,123244.51,118639.33,123256.84,??,95.54,3.50,4H??40??
????,??,2025-07-14 16:00,2025-07-14 23:00,122788.18,120577.99,120577.99,125270.95,????,-100.00,7.00,4H??40??
????,??,2025-08-02 04:00,2025-08-04 22:00,113259.67,115298.35,115298.35,110969.56,????,-100.00,66.00,4H??40??
????,??,2025-08-03 04:00,2025-08-03 19:00,112172.88,114191.99,114191.99,109904.75,????,-100.00,15.00,4H??40??
????,??,2025-08-10 12:00,2025-08-11 10:00,118530.45,120915.04,116396.90,120927.14,??,95.54,22.00,4H??40??
????,??,2025-08-11 00:00,2025-08-11 10:00,118797.38,121187.34,116659.03,121199.46,??,95.54,10.00,4H??40??
????,??,2025-08-11 08:00,2025-08-11 10:15,119317.93,121718.37,117170.21,121730.54,??,95.54,2.25,4H??40??
????,??,2025-08-11 12:00,2025-08-11 21:00,121718.17,119527.24,119527.24,124179.31,????,-100.00,9.00,4H??40??
????,??,2025-08-14 04:00,2025-08-14 20:15,122784.48,120574.36,120574.36,125267.18,????,-100.00,16.25,4H??40??
????,??,2025-08-14 08:00,2025-08-14 18:30,123374.04,121153.30,121153.30,125868.66,????,-100.00,10.50,4H??40??
????,??,2025-08-18 12:00,2025-08-20 02:30,115245.77,112926.80,117320.20,112915.50,??,95.66,38.50,4H??40??
????,??,2025-08-20 00:00,2025-08-22 22:30,113722.63,115769.63,115769.63,111423.16,????,-100.00,70.50,4H??40??
????,??,2025-08-20 04:00,2025-08-22 22:00,113055.99,115091.00,115091.00,110770.00,????,-100.00,66.00,4H??40??
????,??,2025-08-22 04:00,2025-08-22 22:00,112142.78,114161.35,114161.35,109875.26,????,-100.00,18.00,4H??40??
