ts,open,high,low,close,volume
1779267600000,77456.14,77482.38,77401.37,77423.86,318.19
1779268500000,77423.86,77504.03,77362.65,77495.98,323.15
1779269400000,77495.98,77542.08,77491.31,77508.88,328.44
1779270300000,77508.88,77521.35,77446.83,77482.35,238.3
1779271200000,77482.35,77603.88,77482.32,77603.12,331.39
1779272100000,77603.12,77650.57,77562.28,77617.15,515.75
1779273000000,77617.15,77661.61,77518.49,77552.1,397.74
1779273900000,77552.1,77588.93,77512.64,77513.29,246.49
1779274800000,77513.29,77564.35,77469.55,77476.61,378.67
1779275700000,77476.61,77503.41,77458.09,77465.94,258.44
1779276600000,77465.94,77485.99,77343.61,77388.55,302.23
1779277500000,77388.55,77417.18,77322.33,77384.24,297.49
1779278400000,77384.24,77475.42,77363.04,77447.8,315.04
1779279300000,77447.8,77528.24,77374.01,77498.72,373.41
1779280200000,77498.72,77548.18,77495.61,77528.9,244.0
1779281100000,77528.9,77739.44,77527.66,77619.82,672.12
1779282000000,77619.82,77649.71,77459.63,77467.23,443.75
1779282900000,77467.23,77484.77,77277.56,77299.78,553.31
1779283800000,77299.78,77343.44,76967.47,77089.37,1606.0
1779284700000,77089.37,77361.93,77053.35,77204.31,954.56
1779285600000,77204.31,77271.46,76890.91,77113.87,1273.72
1779286500000,77113.87,77561.35,77113.87,77411.53,1628.16
1779287400000,77411.53,77506.48,77278.56,77395.85,796.02
1779288300000,77395.85,77556.07,77379.23,77448.83,600.67
1779289200000,77448.83,77472.26,77301.07,77319.57,381.27
1779290100000,77319.57,77846.77,77319.56,77555.26,2214.83
1779291000000,77555.26,77639.37,77373.19,77448.05,591.06
1779291900000,77448.05,77583.86,77378.25,77456.11,412.09
1779292800000,77456.11,77553.93,77432.53,77488.88,304.3
1779293700000,77488.88,77488.88,77016.2,77085.57,684.8
1779294600000,77085.57,77355.7,77031.95,77333.52,551.6
1779295500000,77333.52,77362.84,77243.81,77337.57,751.55
1779296400000,77337.57,77425.76,77228.19,77393.18,677.79
1779297300000,77393.18,77640.81,77351.03,77565.06,508.09
1779298200000,77565.06,77711.82,77517.5,77658.16,576.18
1779299100000,77658.16,77712.52,77535.36,77568.99,568.28
1779300000000,77568.99,77598.77,77481.12,77481.35,500.75
1779300900000,77481.35,77636.13,77437.59,77511.61,530.8
1779301800000,77511.61,77557.18,77462.01,77486.58,433.17
1779302700000,77486.58,77488.48,77392.35,77415.13,225.58
1779303600000,77415.13,77461.66,77350.29,77408.57,260.33
1779304500000,77408.57,77567.84,77369.47,77565.03,331.14
1779305400000,77565.03,77648.4,77533.67,77632.72,476.49
1779306300000,77632.72,77709.85,77595.97,77670.81,312.03
1779307200000,77670.81,77753.24,77581.25,77742.84,421.57
1779308100000,77742.84,77748.24,77476.23,77686.68,711.75
1779309000000,77686.68,77742.33,77599.67,77691.53,309.49
1779309900000,77691.53,77764.52,77678.94,77718.45,274.83
1779310800000,77718.45,77770.74,77647.25,77757.0,429.51
1779311700000,77757.0,77763.26,77605.92,77615.96,141.07
1779312600000,77615.96,77650.66,77589.66,77625.87,221.62
1779313500000,77625.87,77660.17,77505.69,77505.92,277.25
1779314400000,77505.92,77505.96,77293.7,77374.15,697.01
1779315300000,77374.15,77443.31,77226.49,77434.79,312.2
