ts,open,high,low,close,volume
1777896000000,78791.8,80547.2,78500.57,80029.75,17577.12
1777910400000,80029.75,80765.11,79620.28,80052.68,10130.79
1777924800000,80052.68,80397.6,79755.34,79860.86,4532.83
1777939200000,79860.86,81083.72,79803.68,80891.94,6454.22
1777953600000,80891.94,81324.65,80726.66,80858.87,7409.25
1777968000000,80858.87,81102.97,80526.76,81017.6,6145.41
1777982400000,81017.6,81705.69,80931.17,81530.48,13916.89
1777996800000,81530.48,81681.92,81053.74,81606.44,5417.88
1778011200000,81606.44,81789.84,80790.77,80909.29,7541.48
1778025600000,80909.29,81757.72,80745.24,81581.27,7238.85
1778040000000,81581.27,81644.83,81055.42,81363.85,6292.7
1778054400000,81363.85,82836.26,81323.85,82521.56,13211.83
1778068800000,82521.56,82541.29,81138.46,81704.51,13773.31
1778083200000,81704.51,81889.6,81195.0,81460.99,6939.99
1778097600000,81460.99,81698.31,80997.56,81442.39,4706.45
1778112000000,81442.39,81486.17,80835.75,80839.21,5874.57
1778126400000,80839.21,81707.83,80732.87,81522.3,5602.5
1778140800000,81522.3,81592.69,80579.09,80868.6,6248.32
1778155200000,80868.6,81184.58,79720.46,79891.92,15662.3
1778169600000,79891.92,80274.09,79511.68,80145.93,10019.46
1778184000000,80145.93,80368.0,79584.5,80010.36,5204.49
1778198400000,80010.36,80139.1,79194.48,79575.42,7335.93
1778212800000,79575.42,79778.02,79248.83,79686.36,6498.05
1778227200000,79686.36,80334.13,79670.46,80231.22,8794.74
1778241600000,80231.22,80487.13,79547.2,80145.59,12300.51
1778256000000,80145.59,80301.68,79739.43,80178.72,7317.29
1778270400000,80178.72,80410.61,80091.08,80194.46,3582.35
1778284800000,80194.46,80540.62,80128.19,80384.92,3055.76
1778299200000,80384.92,80663.17,80136.17,80226.5,3611.42
1778313600000,80226.5,80448.9,80167.08,80342.67,2788.71
1778328000000,80342.67,80598.43,80229.52,80524.0,4462.07
1778342400000,80524.0,81073.33,80484.79,80930.72,4491.36
