月份,交易数,盈利数,亏损数,净盈亏U,月收益,月末权益
2021-07,3,2,1,183.41,18.34,1183.41
2021-08,3,2,1,4.06,0.34,1187.47
2021-09,2,1,1,10.11,0.85,1197.59
2021-10,4,3,1,92.30,7.71,1289.89
2021-11,2,1,1,-23.62,-1.83,1266.27
2021-12,3,1,2,-111.39,-8.80,1154.87
2022-01,3,1,2,-20.16,-1.75,1134.71
2022-02,4,2,2,-19.12,-1.69,1115.59
2022-03,3,2,1,21.65,1.94,1137.24
2022-04,3,1,2,-32.34,-2.84,1104.90
2022-05,3,1,2,27.08,2.45,1131.99
2022-06,3,2,1,137.51,12.15,1269.50
2022-07,5,0,5,-256.89,-20.24,1012.60
2022-08,3,1,2,-67.27,-6.64,945.33
2022-09,2,1,1,41.32,4.37,986.65
2022-10,2,2,0,4.05,0.41,990.70
2022-11,4,1,3,-30.88,-3.12,959.82
2022-12,3,0,3,-17.74,-1.85,942.08
2023-01,6,3,3,101.75,10.80,1043.83
2023-02,2,1,1,45.00,4.31,1088.83
2023-03,5,3,2,59.09,5.43,1147.92
2023-04,4,1,3,-51.86,-4.52,1096.06
2023-05,1,0,1,-24.26,-2.21,1071.80
2023-06,2,2,0,109.91,10.25,1181.71
2023-07,1,0,1,-34.54,-2.92,1147.17
2023-08,3,2,1,42.58,3.71,1189.75
2023-09,2,1,1,-4.48,-0.38,1185.27
2023-10,6,6,0,341.55,28.82,1526.82
2023-11,2,0,2,-94.03,-6.16,1432.79
2023-12,2,2,0,169.41,11.82,1602.21
2024-01,3,1,2,-23.45,-1.46,1578.76
2024-02,3,3,0,373.57,23.66,1952.33
2024-03,2,1,1,-143.15,-7.33,1809.18
2024-04,4,1,3,-148.46,-8.21,1660.72
2024-05,2,2,0,109.22,6.58,1769.94
2024-06,4,2,2,86.09,4.86,1856.03
2024-07,5,2,3,18.70,1.01,1874.73
2024-08,2,1,1,204.69,10.92,2079.42
2024-09,3,3,0,173.52,8.34,2252.94
2024-10,5,2,3,-104.78,-4.65,2148.16
2024-11,5,3,2,174.46,8.12,2322.63
2024-12,1,0,1,-138.98,-5.98,2183.64
2025-01,5,1,4,-198.63,-9.10,1985.01
2025-02,2,1,1,71.59,3.61,2056.60
2025-03,2,0,2,-157.87,-7.68,1898.73
2025-04,4,1,3,-37.48,-1.97,1861.25
2025-05,2,1,1,64.80,3.48,1926.05
2025-06,2,2,0,48.22,2.50,1974.27
2025-07,2,1,1,105.63,5.35,2079.90
2025-08,5,3,2,40.16,1.93,2120.06
2025-09,4,0,4,-117.13,-5.53,2002.92
2025-10,5,3,2,315.19,15.74,2318.12
2025-11,3,3,0,215.55,9.30,2533.67
2025-12,1,0,1,-95.55,-3.77,2438.12
2026-01,4,2,2,-86.66,-3.55,2351.46
2026-02,4,3,1,483.34,20.55,2834.80
2026-03,3,0,3,-236.57,-8.35,2598.22
2026-04,3,2,1,52.81,2.03,2651.04
2026-05,4,0,4,-126.52,-4.77,2524.52
