策略,方向,入场时间,出场时间,入场价,出场价,初始止损,最终止损,目标价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,收益率,入场前权益,出场后权益,出场原因,持仓小时,备注
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做空,2021-07-16 20:00,2021-07-20 20:00,31091.09,29688.77,32544.03,31044.46,26732.27,36687.49,5,20%,200.00,1000.00,44.13,4.41%,1000.00,1044.13,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-07-24 08:00,2021-07-26 09:00,33651.66,38218.74,32128.03,35050.41,38222.57,27594.37,5,20%,208.83,1044.13,140.59,13.46%,1044.13,1184.72,目标止盈,49.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-07-26 12:00,2021-07-27 04:00,38290.13,38286.30,36074.94,38290.13,44935.69,31397.91,5,20%,236.94,1184.72,-1.30,-0.11%,1184.72,1183.41,保本止损,16.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-07-28 20:00,2021-08-01 20:00,40751.07,41582.84,37898.17,39039.06,49309.79,33415.88,5,20%,236.68,1183.41,22.96,1.94%,1183.41,1206.37,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-08-08 08:00,2021-08-12 08:00,44595.76,45506.75,41776.23,43281.36,53054.36,36568.52,5,20%,241.27,1206.37,23.42,1.94%,1206.37,1229.80,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-08-21 08:00,2021-08-25 08:00,49324.53,47675.53,46908.52,47539.30,56572.56,40446.12,5,20%,245.96,1229.80,-42.32,-3.44%,1229.80,1187.47,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-09-15 20:00,2021-09-19 20:00,47557.56,47329.17,45307.21,46058.81,54308.60,38997.20,5,20%,237.49,1187.47,-6.89,-0.58%,1187.47,1180.59,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做空,2021-09-20 20:00,2021-09-21 10:45,43724.03,43050.97,46094.73,43046.67,36611.91,51594.35,5,20%,236.12,1180.59,17.00,1.44%,1180.59,1197.59,跟踪止损,14.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-10-01 20:00,2021-10-05 20:00,47512.55,49882.51,44704.04,47512.55,55938.08,38960.29,5,20%,239.52,1197.59,58.51,4.89%,1197.59,1256.10,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-10-06 04:00,2021-10-10 04:00,51196.12,54661.63,48792.76,53217.07,58406.20,41980.82,5,20%,251.22,1256.10,83.73,6.67%,1256.10,1339.82,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-10-12 00:00,2021-10-13 04:00,57455.44,54407.17,54412.61,54412.61,66583.95,47113.46,5,20%,267.96,1339.82,-72.39,-5.40%,1339.82,1267.44,初始止损,28.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-10-14 12:00,2021-10-18 04:15,58091.21,59178.81,54905.68,59184.73,67647.78,47634.79,5,20%,253.49,1267.44,22.45,1.77%,1267.44,1289.89,跟踪止损,88.25,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-11-08 12:00,2021-11-11 04:45,65241.62,66098.21,62792.55,66104.82,72588.83,53498.13,5,20%,257.98,1289.89,15.64,1.21%,1289.89,1305.52,跟踪止损,64.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做空,2021-11-19 00:00,2021-11-21 07:00,58099.29,59787.46,61449.16,59781.48,48049.67,68557.16,5,20%,261.10,1305.52,-39.26,-3.01%,1305.52,1266.27,跟踪止损,55.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做空,2021-12-04 16:00,2021-12-08 16:00,47231.98,50501.25,52290.91,52290.91,32055.19,55733.73,5,20%,253.25,1266.27,-88.96,-7.03%,1266.27,1177.31,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做多,2021-12-24 04:00,2021-12-28 04:00,51114.11,51200.38,48917.79,49361.89,57703.07,41913.57,5,20%,235.46,1177.31,0.81,0.07%,1177.31,1178.12,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_5x_20%,做空,2021-12-29 04:00,2021-12-31 16:45,47672.03,48564.41,49807.75,48559.56,41264.89,56253.00,5,20%,235.62,1178.12,-23.24,-1.97%,1178.12,1154.87,跟踪止损,60.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
