策略,方向,入场时间,出场时间,入场价,出场价,初始止损,最终止损,目标价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,收益率,入场前权益,出场后权益,出场原因,持仓小时,备注
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做空,2021-07-16 20:00,2021-07-20 20:00,31091.09,29688.77,32544.03,31044.46,26732.27,34588.84,8,15%,150.00,1200.00,52.95,5.30%,1000.00,1052.95,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-07-24 08:00,2021-07-26 09:00,33651.66,38218.74,32128.03,35050.41,38222.57,29865.85,8,15%,157.94,1263.54,170.13,16.16%,1052.95,1223.09,目标止盈,49.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-07-26 12:00,2021-07-27 04:00,38290.13,38286.30,36074.94,38290.13,44935.69,33982.49,8,15%,183.46,1467.70,-1.61,-0.13%,1223.09,1221.47,保本止损,16.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-07-28 20:00,2021-08-01 20:00,40751.07,41582.84,37898.17,39039.06,49309.79,36166.58,8,15%,183.22,1465.77,28.44,2.33%,1221.47,1249.91,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-08-08 08:00,2021-08-12 08:00,44595.76,45506.75,41776.23,43281.36,53054.36,39578.74,8,15%,187.49,1499.89,29.12,2.33%,1249.91,1279.03,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-08-21 08:00,2021-08-25 08:00,49324.53,47675.53,46908.52,47539.30,56572.56,43775.52,8,15%,191.85,1534.84,-52.82,-4.13%,1279.03,1226.21,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-09-15 20:00,2021-09-19 20:00,47557.56,47329.17,45307.21,46058.81,54308.60,42207.33,8,15%,183.93,1471.45,-8.53,-0.70%,1226.21,1217.68,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做空,2021-09-20 20:00,2021-09-21 10:45,43724.03,43050.97,46094.73,43046.67,36611.91,48642.98,8,15%,182.65,1461.21,21.04,1.73%,1217.68,1238.72,跟踪止损,14.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-10-01 20:00,2021-10-05 20:00,47512.55,49882.51,44704.04,47512.55,55938.08,42167.39,8,15%,185.81,1486.46,72.62,5.86%,1238.72,1311.34,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-10-06 04:00,2021-10-10 04:00,51196.12,54661.63,48792.76,53217.07,58406.20,45436.56,8,15%,196.70,1573.61,104.89,8.00%,1311.34,1416.23,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-10-12 00:00,2021-10-13 04:00,57455.44,54407.17,54412.61,54412.61,66583.95,50991.71,8,15%,212.44,1699.48,-91.82,-6.48%,1416.23,1324.41,初始止损,28.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-10-14 12:00,2021-10-18 04:15,58091.21,59178.81,54905.68,59184.73,67647.78,51555.95,8,15%,198.66,1589.30,28.15,2.13%,1324.41,1352.57,跟踪止损,88.25,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-11-08 12:00,2021-11-11 04:45,65241.62,66098.21,62792.55,66104.82,72588.83,57901.94,8,15%,202.88,1623.08,19.68,1.45%,1352.57,1372.24,跟踪止损,64.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做空,2021-11-19 00:00,2021-11-21 07:00,58099.29,59787.46,61449.16,59781.48,48049.67,64635.46,8,15%,205.84,1646.69,-49.52,-3.61%,1372.24,1322.72,跟踪止损,55.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做空,2021-12-04 16:00,2021-12-08 16:00,47231.98,50501.25,52290.91,52290.91,32055.19,52545.57,8,15%,198.41,1587.27,-111.51,-8.43%,1322.72,1211.21,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做多,2021-12-24 04:00,2021-12-28 04:00,51114.11,51200.38,48917.79,49361.89,57703.07,45363.77,8,15%,181.68,1453.46,1.00,0.08%,1211.21,1212.21,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做空,2021-12-29 04:00,2021-12-31 16:45,47672.03,48564.41,49807.75,48559.56,41264.89,53035.14,8,15%,181.83,1454.66,-28.70,-2.37%,1212.21,1183.52,跟踪止损,60.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做空,2022-01-01 04:00,2022-01-05 04:00,45711.33,46071.61,48065.91,48065.91,38647.58,50853.85,8,15%,177.53,1420.22,-12.62,-1.07%,1183.52,1170.90,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5年固定版_8x_15%,做空,2022-01-07 12:00,2022-01-11 12:00,41806.12,42271.03,44122.94,42512.20,34855.65,46509.31,8,15%,175.63,1405.07,-17.04,-1.46%,1170.90,1153.86,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
