策略,方向,入场时间,出场时间,入场价,出场价,止损价,止盈价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
Apollo11_15m,做多,2025-05-29 15:30,2025-06-10 14:00,107945.59,109122.08,109133.00,,75561.92,3x,10%,100.00,300.00,2.97,1000.00,1002.97,止损/移动止损,286.50,Apollo signal2
Apollo11_15m,做多,2025-06-11 09:15,2025-06-22 07:30,109788.68,100995.48,101005.58,,76852.07,3x,10%,100.30,300.89,-24.39,1002.97,978.58,止损/移动止损,262.25,Apollo signal2
Apollo11_15m,做多,2025-06-22 18:00,2025-07-22 18:00,102178.62,118443.25,106265.76,,71525.03,3x,10%,97.86,293.57,46.41,978.58,1024.99,时间退出,720.00,Apollo signal3
Apollo11_15m,做多,2025-07-22 18:45,2025-08-11 20:00,118814.38,120109.33,120121.34,,83170.07,3x,10%,102.50,307.50,3.04,1024.99,1028.04,止损/移动止损,481.25,Apollo signal2
Apollo11_15m,做多,2025-08-12 13:15,2025-08-14 20:15,118846.18,120616.81,120628.88,,83192.33,3x,10%,102.80,308.41,4.28,1028.04,1032.32,止损/移动止损,55.00,Apollo signal3
Apollo11_15m,做多,2025-08-14 20:45,2025-08-26 04:00,119530.95,109957.48,109968.48,,83671.67,3x,10%,103.23,309.70,-25.10,1032.32,1007.22,止损/移动止损,271.25,Apollo signal3
Apollo11_15m,做多,2025-08-26 04:15,2025-08-27 09:00,110038.40,111237.70,111248.83,,77026.88,3x,10%,100.72,302.17,2.99,1007.22,1010.21,止损/移动止损,28.75,Apollo signal3
Apollo11_15m,做多,2025-08-28 02:30,2025-09-22 10:30,112435.24,114110.36,114121.77,,78704.67,3x,10%,101.02,303.06,4.21,1010.21,1014.42,止损/移动止损,608.00,Apollo signal2
Apollo11_15m,做多,2025-09-22 14:00,2025-10-11 00:45,113605.66,118138.07,118149.89,,79523.96,3x,10%,101.44,304.33,11.83,1014.42,1026.25,止损/移动止损,442.75,Apollo signal3
Apollo11_15m,做多,2025-10-11 01:00,2025-10-11 05:15,118154.91,108691.65,108702.52,,82708.44,3x,10%,102.62,307.87,-24.95,1026.25,1001.30,止损/移动止损,4.25,Apollo signal2
Apollo11_15m,做多,2025-10-11 05:30,2025-10-11 15:45,108481.85,110098.06,110109.07,,75937.29,3x,10%,100.13,300.39,4.17,1001.30,1005.47,止损/移动止损,10.25,Apollo signal3
Apollo11_15m,做多,2025-10-12 03:15,2025-10-14 12:45,111543.85,112759.56,112770.84,,78080.70,3x,10%,100.55,301.64,2.98,1005.47,1008.45,止损/移动止损,57.50,Apollo signal3
Apollo11_15m,做多,2025-10-15 05:00,2025-10-17 18:15,112971.20,103923.11,103933.50,,79079.84,3x,10%,100.85,302.54,-24.52,1008.45,983.93,止损/移动止损,61.25,Apollo signal2
Apollo11_15m,做多,2025-10-19 23:00,2025-10-21 09:45,108367.34,109548.42,109559.38,,75857.13,3x,10%,98.39,295.18,2.92,983.93,986.85,止损/移动止损,34.75,Apollo signal2
Apollo11_15m,做多,2025-10-21 11:00,2025-10-22 04:15,109486.65,110679.93,110691.00,,76640.65,3x,10%,98.69,296.06,2.93,986.85,989.78,止损/移动止损,17.25,Apollo signal2
Apollo11_15m,做多,2025-10-23 12:00,2025-10-24 04:45,108320.83,109501.41,109512.36,,75824.58,3x,10%,98.98,296.93,2.94,989.78,992.72,止损/移动止损,16.75,Apollo signal2
Apollo11_15m,做多,2025-10-24 07:15,2025-10-29 23:30,109969.80,111608.18,111619.34,,76978.86,3x,10%,99.27,297.82,4.14,992.72,996.86,止损/移动止损,136.25,Apollo signal2
Apollo11_15m,做多,2025-10-30 01:00,2025-11-05 00:45,111080.21,102183.57,102193.79,,77756.14,3x,10%,99.69,299.06,-24.24,996.86,972.62,止损/移动止损,143.75,Apollo signal2
Apollo11_15m,做多,2025-11-06 20:45,2025-11-11 22:45,102403.34,103929.00,103939.39,,71682.34,3x,10%,97.26,291.78,4.05,972.62,976.67,止损/移动止损,122.00,Apollo signal3
Apollo11_15m,做多,2025-11-12 18:00,2025-11-14 14:45,104490.45,96121.60,96131.21,,73143.31,3x,10%,97.67,293.00,-23.75,976.67,952.92,止损/移动止损,44.75,Apollo signal2
Apollo11_15m,做多,2025-11-15 05:00,2025-11-16 04:30,94349.43,95377.74,95387.28,,66044.60,3x,10%,95.29,285.88,2.83,952.92,955.75,止损/移动止损,23.50,Apollo signal2
