策略,方向,入场时间,出场时间,入场价,出场价,止损价,止盈价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
FisherHull_15m,做多,2025-05-29 12:45,2025-05-29 16:30,107357.13,108113.09,94474.28,,75149.99,3x,10%,100.00,300.00,1.81,1000.00,1001.81,信号退出,3.75,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-05-29 21:45,2025-06-10 01:15,107567.76,108219.88,94659.63,,75297.43,3x,10%,100.18,300.54,1.52,1001.81,1003.33,信号退出,267.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-06-10 14:00,2025-06-11 03:30,109272.33,109972.90,96159.65,,76490.63,3x,10%,100.33,301.00,1.63,1003.33,1004.96,信号退出,13.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-06-11 13:15,2025-06-11 22:30,109458.34,110176.98,96323.34,,76620.84,3x,10%,100.50,301.49,1.68,1004.96,1006.64,信号退出,9.25,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-06-12 00:15,2025-07-03 17:45,109432.74,110207.08,96300.81,,76602.92,3x,10%,100.66,301.99,1.83,1006.64,1008.47,信号退出,521.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-07-03 20:45,2025-07-03 22:00,108915.39,110216.38,95845.54,,76240.77,3x,10%,100.85,302.54,3.31,1008.47,1011.78,信号退出,1.25,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-07-03 23:45,2025-07-04 03:30,109245.02,109817.12,96135.62,,76471.52,3x,10%,101.18,303.53,1.29,1011.78,1013.07,信号退出,3.75,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-07-04 07:45,2025-07-10 03:30,109535.55,110308.87,96391.29,,76674.89,3x,10%,101.31,303.92,1.84,1013.07,1014.91,信号退出,139.75,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-07-10 18:15,2025-07-11 00:30,110961.10,112329.67,97645.76,,77672.77,3x,10%,101.49,304.47,3.45,1014.91,1018.35,信号退出,6.25,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-07-11 21:45,2025-07-12 04:00,117441.74,118058.09,103348.73,,82209.22,3x,10%,101.84,305.51,1.30,1018.35,1019.65,信号退出,6.25,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-07-12 06:30,2025-07-12 14:30,117249.72,117867.21,103179.76,,82074.81,3x,10%,101.97,305.90,1.30,1019.65,1020.96,信号退出,8.00,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-07-12 19:45,2025-07-13 21:00,117674.97,118374.06,103553.97,,82372.48,3x,10%,102.10,306.29,1.51,1020.96,1022.47,信号退出,25.25,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-07-14 06:15,2025-07-14 08:15,118385.84,119106.09,104179.54,,82870.09,3x,10%,102.25,306.74,1.56,1022.47,1024.03,信号退出,2.00,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-07-14 20:00,2025-08-11 13:15,121528.15,122296.67,106944.77,,85069.71,3x,10%,102.40,307.21,1.63,1024.03,1025.66,信号退出,665.25,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-08-11 18:45,2025-08-13 22:00,121153.31,121785.92,106614.92,,84807.32,3x,10%,102.57,307.70,1.30,1025.66,1026.96,信号退出,51.25,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-08-14 13:15,2025-08-29 22:45,122944.39,108180.25,108191.07,,86061.08,3x,10%,102.70,308.09,-37.29,1026.96,989.67,止损/移动止损,369.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-08-29 23:00,2025-08-30 23:30,108175.72,108723.43,95194.63,,75723.00,3x,10%,98.97,296.90,1.21,989.67,990.88,信号退出,24.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-08-31 05:45,2025-08-31 08:45,108546.25,109151.88,95520.70,,75982.38,3x,10%,99.09,297.26,1.36,990.88,992.24,信号退出,3.00,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-08-31 12:30,2025-09-01 16:00,108803.18,109375.96,95746.80,,76162.23,3x,10%,99.22,297.67,1.27,992.24,993.51,信号退出,27.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-01 18:45,2025-09-01 21:30,108326.03,109391.36,95326.91,,75828.22,3x,10%,99.35,298.05,2.63,993.51,996.14,信号退出,2.75,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-01 23:30,2025-09-02 10:00,108668.87,109264.17,95628.60,,76068.21,3x,10%,99.61,298.84,1.34,996.14,997.48,信号退出,10.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-02 19:30,2025-09-02 22:00,109868.89,111092.89,96684.62,,76908.22,3x,10%,99.75,299.24,3.03,997.48,1000.51,信号退出,2.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-03 09:45,2025-09-03 19:15,110884.39,111583.24,97578.26,,77619.07,3x,10%,100.05,300.15,1.59,1000.51,1002.10,信号退出,9.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-04 07:45,2025-09-05 15:15,111621.16,112294.97,98226.62,,78134.81,3x,10%,100.21,300.63,1.51,1002.10,1003.61,信号退出,31.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-05 22:30,2025-09-06 04:00,110966.00,111526.45,97650.08,,77676.20,3x,10%,100.36,301.08,1.22,1003.61,1004.83,信号退出,5.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-06 05:30,2025-09-08 16:30,110938.79,111540.74,97626.14,,77657.15,3x,10%,100.48,301.45,1.33,1004.83,1006.17,信号退出,59.00,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-09 04:15,2025-09-09 14:15,112056.40,112617.84,98609.64,,78439.48,3x,10%,100.62,301.85,1.21,1006.17,1007.37,信号退出,10.00,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-09 20:00,2025-09-10 20:45,112419.84,113206.58,98929.46,,78693.89,3x,10%,100.74,302.21,1.81,1007.37,1009.19,信号退出,24.75,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-11 03:30,2025-09-11 06:00,113187.32,113763.42,99604.84,,79231.12,3x,10%,100.92,302.76,1.24,1009.19,1010.42,信号退出,2.50,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-11 17:15,2025-09-11 22:00,113866.79,114576.14,100202.77,,79706.75,3x,10%,101.04,303.13,1.58,1010.42,1012.01,信号退出,4.75,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-12 15:45,2025-09-13 01:30,115147.81,115777.52,101330.08,,80603.47,3x,10%,101.20,303.60,1.36,1012.01,1013.36,信号退出,9.75,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-13 10:00,2025-09-15 13:45,115726.67,116320.37,101839.47,,81008.67,3x,10%,101.34,304.01,1.25,1013.36,1014.62,信号退出,51.75,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-15 16:15,2025-09-17 01:15,115470.85,116493.45,101614.34,,80829.59,3x,10%,101.46,304.39,2.39,1014.62,1017.01,信号退出,33.00,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-17 11:45,2025-09-17 14:00,116436.64,117039.49,102464.25,,81505.65,3x,10%,101.70,305.10,1.27,1017.01,1018.28,信号退出,2.25,HMA下行 + CCI<=-50 + FisherRSI<-0.5
FisherHull_15m,做多,2025-09-17 18:00,2025-09-18 11:15,116533.25,117393.46,102549.26,,81573.28,3x,10%,101.83,305.48,1.95,1018.28,1020.23,信号退出,17.25,HMA下行 + CCI<=-50 + FisherRSI<-0.5
