策略,方向,入场时间,出场时间,入场价,出场价,止损价,止盈价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
NASOS_EWO_15m,做多,2025-05-29 21:45,2025-05-29 22:30,107567.76,106481.43,106492.08,109181.27,75297.43,3x,10%,100.00,300.00,-3.33,1000.00,996.67,止损/移动止损,0.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-05-30 09:00,2025-05-31 00:45,104920.49,103860.90,103871.29,106494.30,73444.34,3x,10%,99.67,299.00,-3.32,996.67,993.35,止损/移动止损,15.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-05-31 01:00,2025-06-02 05:45,103891.99,105439.82,102853.07,105450.37,72724.39,3x,10%,99.34,298.01,4.14,993.35,997.49,固定止盈,52.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-09 06:15,2025-06-09 19:15,105898.49,107476.22,104839.50,107486.97,74128.94,3x,10%,99.75,299.25,4.16,997.49,1001.65,固定止盈,13.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-12 11:30,2025-06-12 21:15,107850.88,106761.70,106772.38,109468.65,75495.62,3x,10%,100.17,300.50,-3.33,1001.65,998.32,止损/移动止损,9.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-13 08:30,2025-06-13 09:00,103692.47,102645.28,102655.54,105247.86,72584.73,3x,10%,99.83,299.50,-3.32,998.32,994.99,止损/移动止损,0.50,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-13 22:30,2025-06-13 23:15,104117.41,105668.60,103076.24,105679.17,72882.19,3x,10%,99.50,298.50,4.15,994.99,999.14,固定止盈,0.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-20 22:45,2025-06-21 00:30,104846.08,103787.24,103797.62,106418.77,73392.26,3x,10%,99.91,299.74,-3.33,999.14,995.82,止损/移动止损,1.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-22 03:00,2025-06-22 05:15,102627.26,101590.83,101600.99,104166.67,71839.08,3x,10%,99.58,298.74,-3.31,995.82,992.50,止损/移动止损,2.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-22 21:30,2025-06-22 22:15,101027.90,100007.62,100017.62,102543.32,70719.53,3x,10%,99.25,297.75,-3.30,992.50,989.20,止损/移动止损,0.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-30 23:00,2025-07-01 22:45,106775.48,105697.15,105707.72,108377.11,74742.83,3x,10%,98.92,296.76,-3.29,989.20,985.91,止损/移动止损,23.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-07-04 22:00,2025-07-07 05:30,107940.79,109548.95,106861.39,109559.90,75558.56,3x,10%,98.59,295.77,4.11,985.91,990.01,固定止盈,55.50,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-07-12 00:00,2025-07-13 21:45,116926.99,118669.03,115757.72,118680.90,81848.89,3x,10%,99.00,297.00,4.13,990.01,994.14,固定止盈,45.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-07-14 22:45,2025-07-14 23:45,120992.70,119770.79,119782.77,122807.59,84694.89,3x,10%,99.41,298.24,-3.31,994.14,990.83,止损/移动止损,1.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-07-18 22:30,2025-07-21 06:15,117998.00,116806.34,116818.02,119767.97,82598.60,3x,10%,99.08,297.25,-3.30,990.83,987.53,止损/移动止损,55.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-07-24 12:45,2025-07-25 10:30,117929.39,116738.42,116750.10,119698.33,82550.57,3x,10%,98.75,296.26,-3.29,987.53,984.25,止损/移动止损,21.75,EWO/NFI/BB_RPB 多条件低位信号
