策略,方向,入场时间,出场时间,入场价,出场价,止损价,止盈价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
NASOS_EWO_15m,做多,2025-05-29 21:45,2025-05-31 09:45,107567.76,103254.72,103265.05,109719.11,75297.43,3x,10%,100.00,300.00,-12.32,1000.00,987.68,止损/移动止损,36.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-09 06:15,2025-06-10 00:45,105898.49,108005.66,101662.55,108016.46,74128.94,3x,10%,98.77,296.30,5.60,987.68,993.27,固定止盈,18.50,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-12 11:30,2025-06-13 08:15,107850.88,103526.49,103536.85,110007.90,75495.62,3x,10%,99.33,297.98,-12.24,993.27,981.03,止损/移动止损,20.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-13 08:30,2025-06-14 00:00,103692.47,105755.74,99544.77,105766.32,72584.73,3x,10%,98.10,294.31,5.56,981.03,986.59,固定止盈,15.50,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-20 22:45,2025-06-22 21:30,104846.08,100642.17,100652.24,106943.01,73392.26,3x,10%,98.66,295.98,-12.16,986.59,974.44,止损/移动止损,46.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-22 21:45,2025-06-23 21:45,100333.13,102329.56,96319.81,102339.79,70233.19,3x,10%,97.44,292.33,5.52,974.44,979.96,固定止盈,24.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-06-30 23:00,2025-07-03 00:00,106775.48,108900.09,102504.46,108910.99,74742.83,3x,10%,98.00,293.99,5.55,979.96,985.51,固定止盈,49.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-07-04 22:00,2025-07-10 03:15,107940.79,110088.60,103623.16,110099.61,75558.56,3x,10%,98.55,295.65,5.58,985.51,991.09,固定止盈,125.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-07-12 00:00,2025-07-13 22:15,116926.99,119253.60,112249.91,119265.53,81848.89,3x,10%,99.11,297.33,5.62,991.09,996.71,固定止盈,46.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-07-14 22:45,2025-07-15 22:45,120992.70,116141.37,116152.99,123412.55,84694.89,3x,10%,99.67,299.01,-12.28,996.71,984.43,止损/移动止损,24.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-07-18 22:30,2025-07-23 02:45,117998.00,120345.92,113278.08,120357.96,82598.60,3x,10%,98.44,295.33,5.58,984.43,990.01,固定止盈,100.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-07-24 12:45,2025-08-02 03:15,117929.39,113200.89,113212.22,120287.98,82550.57,3x,10%,99.00,297.00,-12.20,990.01,977.81,止损/移动止损,206.50,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-08-15 21:45,2025-08-20 01:00,117990.60,113259.65,113270.97,120350.41,82593.42,3x,10%,97.78,293.34,-12.05,977.81,965.76,止损/移动止损,99.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-08-20 22:00,2025-08-22 22:00,112649.56,114891.06,108143.58,114902.56,78854.69,3x,10%,96.58,289.73,5.47,965.76,971.23,固定止盈,48.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-08-25 03:45,2025-08-29 22:00,113033.80,108501.60,108512.45,115294.48,79123.66,3x,10%,97.12,291.37,-11.97,971.23,959.26,止损/移动止损,114.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-09-01 07:30,2025-09-02 11:15,108346.93,110502.82,104013.06,110513.87,75842.85,3x,10%,95.93,287.78,5.44,959.26,964.70,固定止盈,27.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-09-02 20:45,2025-09-02 21:45,108744.47,110908.27,104394.69,110919.36,76121.13,3x,10%,96.47,289.41,5.47,964.70,970.16,固定止盈,1.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-09-04 22:15,2025-09-05 15:00,109774.88,111959.18,105383.88,111970.37,76842.41,3x,10%,97.02,291.05,5.50,970.16,975.66,固定止盈,16.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-09-05 22:30,2025-09-09 15:15,110966.00,113174.00,106527.36,113185.32,77676.20,3x,10%,97.57,292.70,5.53,975.66,981.19,固定止盈,88.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-09-09 22:45,2025-09-10 21:30,111556.75,113776.51,107094.48,113787.89,78089.73,3x,10%,98.12,294.36,5.56,981.19,986.75,固定止盈,22.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-09-18 02:45,2025-09-18 11:00,114867.29,117152.91,110272.59,117164.63,80407.10,3x,10%,98.67,296.02,5.59,986.75,992.34,固定止盈,8.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-09-19 23:15,2025-09-25 21:00,115487.55,110856.96,110868.05,117797.30,80841.28,3x,10%,99.23,297.70,-12.23,992.34,980.11,止损/移动止损,141.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-09-26 01:15,2025-09-29 16:45,110121.01,112312.20,105716.17,112323.43,77084.71,3x,10%,98.01,294.03,5.55,980.11,985.67,固定止盈,87.50,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-10-05 17:45,2025-10-07 00:45,122957.69,125404.31,118039.39,125416.85,86070.39,3x,10%,98.57,295.70,5.59,985.67,991.25,固定止盈,31.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-10-07 22:15,2025-10-11 01:00,122811.18,117886.94,117898.73,125267.40,85967.83,3x,10%,99.13,297.38,-12.21,991.25,979.04,止损/移动止损,74.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-10-11 05:00,2025-10-11 05:15,114226.22,109646.21,109657.17,116510.75,79958.36,3x,10%,97.90,293.71,-12.06,979.04,966.97,止损/移动止损,0.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-10-11 05:30,2025-10-11 05:30,108481.85,110640.42,104142.57,110651.48,75937.29,3x,10%,96.70,290.09,5.48,966.97,972.45,固定止盈,0.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-10-11 05:45,2025-10-11 05:45,110651.06,112852.80,106225.02,112864.09,77455.74,3x,10%,97.25,291.74,5.51,972.45,977.96,固定止盈,0.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-10-13 19:30,2025-10-16 23:30,113587.36,109032.96,109043.86,115859.10,79511.15,3x,10%,97.80,293.39,-12.05,977.96,965.91,止损/移动止损,76.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-10-17 14:45,2025-10-20 01:15,106993.40,109122.35,102713.66,109133.27,74895.38,3x,10%,96.59,289.77,5.47,965.91,971.38,固定止盈,58.50,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-10-20 08:30,2025-10-20 11:45,107627.96,109769.54,103322.84,109780.52,75339.57,3x,10%,97.14,291.41,5.50,971.38,976.89,固定止盈,3.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-10-24 22:30,2025-10-26 17:15,109968.20,112156.34,105569.47,112167.56,76977.74,3x,10%,97.69,293.07,5.54,976.89,982.42,固定止盈,42.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-10-29 03:30,2025-10-30 02:30,113658.36,109101.12,109112.03,115931.53,79560.86,3x,10%,98.24,294.73,-12.11,982.42,970.32,止损/移动止损,23.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-10-30 12:30,2025-10-30 14:30,108343.03,110498.84,104009.31,110509.89,75840.12,3x,10%,97.03,291.09,5.50,970.32,975.81,固定止盈,2.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-11-02 06:00,2025-11-03 23:30,109823.18,105419.71,105430.25,112019.64,76876.23,3x,10%,97.58,292.74,-12.02,975.81,963.79,止损/移动止损,41.50,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-11-04 13:30,2025-11-05 01:00,105624.66,101389.53,101399.67,107737.15,73937.26,3x,10%,96.38,289.14,-11.88,963.79,951.91,止损/移动止损,11.50,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-11-05 01:15,2025-11-05 22:30,101322.53,103338.65,97269.63,103348.98,70925.77,3x,10%,95.19,285.57,5.39,951.91,957.31,固定止盈,21.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-11-06 20:45,2025-11-10 02:45,102403.34,104440.96,98307.21,104451.41,71682.34,3x,10%,95.73,287.19,5.42,957.31,962.73,固定止盈,78.00,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-11-10 23:00,2025-11-11 09:15,104870.69,106957.40,100675.86,106968.10,73409.48,3x,10%,96.27,288.82,5.46,962.73,968.19,固定止盈,10.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-11-12 23:00,2025-11-14 01:30,103958.49,99790.18,99800.16,106037.66,72770.95,3x,10%,96.82,290.46,-11.93,968.19,956.26,止损/移动止损,26.50,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-11-14 12:45,2025-11-17 05:00,97557.15,93645.50,93654.87,99508.30,68290.01,3x,10%,95.63,286.88,-11.78,956.26,944.47,止损/移动止损,64.25,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-11-17 21:15,2025-11-18 10:00,94909.49,91104.00,91113.11,96807.68,66436.64,3x,10%,94.45,283.34,-11.64,944.47,932.83,止损/移动止损,12.75,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-11-19 23:45,2025-11-20 09:15,90666.47,92470.55,87039.81,92479.80,63466.53,3x,10%,93.28,279.85,5.29,932.83,938.12,固定止盈,9.50,EWO/NFI/BB_RPB 多条件低位信号
NASOS_EWO_15m,做多,2025-11-20 14:45,2025-11-21 00:30,91818.88,88137.31,88146.13,93655.26,64273.22,3x,10%,93.81,281.44,-11.56,938.12,926.56,止损/移动止损,9.75,EWO/NFI/BB_RPB 多条件低位信号
