策略,方向,入场时间,出场时间,入场价,出场价,止损价,止盈价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
SmartMoney_30m,做多,2025-05-30 20:15,2025-06-03 23:15,105312.03,106374.96,96887.07,,73718.42,3x,10%,100.00,300.00,2.73,1000.00,1002.73,信号退出,99.00,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-06-04 16:15,2025-06-09 17:45,105351.13,106555.34,96923.04,,73745.79,3x,10%,100.27,300.82,3.14,1002.73,1005.86,信号退出,121.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-06-12 18:15,2025-06-17 02:15,107345.93,107876.71,98758.26,,75142.15,3x,10%,100.59,301.76,1.19,1005.86,1007.05,信号退出,104.00,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-06-17 17:45,2025-06-25 22:45,106243.02,107690.33,97743.58,,74370.12,3x,10%,100.71,302.12,3.81,1007.05,1010.86,信号退出,197.00,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-06-30 22:45,2025-07-02 18:45,107183.52,107734.23,98608.84,,75028.46,3x,10%,101.09,303.26,1.25,1010.86,1012.12,信号退出,44.00,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-07-04 22:15,2025-07-08 18:45,107713.37,108815.42,99096.30,,75399.36,3x,10%,101.21,303.64,2.80,1012.12,1014.92,信号退出,92.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-07-09 11:45,2025-07-09 21:15,108349.23,109657.33,99681.30,,75844.46,3x,10%,101.49,304.48,3.37,1014.92,1018.29,信号退出,9.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-07-15 11:15,2025-07-16 20:45,117655.66,118960.60,108243.21,,82358.97,3x,10%,101.83,305.49,3.08,1018.29,1021.37,信号退出,33.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-07-18 16:45,2025-07-21 15:15,118518.35,119437.96,109036.88,,82962.85,3x,10%,102.14,306.41,2.07,1021.37,1023.44,信号退出,70.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-07-22 04:45,2025-07-22 21:45,117202.02,119525.75,107825.86,,82041.41,3x,10%,102.34,307.03,5.78,1023.44,1029.22,信号退出,17.00,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-07-23 14:45,2025-07-28 00:15,118481.75,119214.98,109003.21,,82937.22,3x,10%,102.92,308.77,1.60,1029.22,1030.82,信号退出,105.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-07-28 22:45,2025-07-29 15:45,118314.33,118988.10,108849.18,,82820.03,3x,10%,103.08,309.25,1.45,1030.82,1032.27,信号退出,17.00,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-07-29 23:45,2025-07-31 13:15,117458.34,118323.37,108061.68,,82220.84,3x,10%,103.23,309.68,1.97,1032.27,1034.24,信号退出,37.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-07-31 22:45,2025-08-10 12:15,118026.90,118714.13,108584.75,,82618.83,3x,10%,103.42,310.27,1.50,1034.24,1035.73,信号退出,229.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-08-12 18:15,2025-08-13 19:45,118224.32,120703.03,108766.38,,82757.02,3x,10%,103.57,310.72,6.20,1035.73,1041.93,信号退出,25.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-08-14 20:45,2025-08-26 04:00,119530.95,109957.48,109968.48,,83671.67,3x,10%,104.19,312.58,-25.34,1041.93,1016.60,止损/移动止损,271.25,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-08-26 05:15,2025-08-28 13:15,109475.05,112879.41,100717.04,,76632.53,3x,10%,101.66,304.98,9.17,1016.60,1025.77,信号退出,56.00,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-08-29 03:45,2025-09-05 15:45,112019.20,112723.53,103057.66,,78413.44,3x,10%,102.58,307.73,1.63,1025.77,1027.40,信号退出,180.00,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-09-09 10:15,2025-09-10 15:45,111205.22,112187.68,102308.80,,77843.65,3x,10%,102.74,308.22,2.41,1027.40,1029.81,信号退出,29.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-09-15 09:15,2025-09-16 14:15,114793.68,115946.50,105610.18,,80355.57,3x,10%,102.98,308.94,2.79,1029.81,1032.61,信号退出,29.00,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-09-17 22:45,2025-10-01 17:15,115545.65,116184.28,106302.00,,80881.96,3x,10%,103.26,309.78,1.40,1032.61,1034.01,信号退出,330.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-10-07 23:15,2025-10-11 05:00,121930.99,112165.29,112176.51,,85351.69,3x,10%,103.40,310.20,-25.14,1034.01,1008.86,止损/移动止损,77.75,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-10-11 05:15,2025-10-11 05:15,112176.72,103192.26,103202.58,,78523.70,3x,10%,100.89,302.66,-24.53,1008.86,984.33,止损/移动止损,0.00,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-10-11 16:15,2025-10-13 09:45,110272.93,115599.14,101451.09,,77191.05,3x,10%,98.43,295.30,13.96,984.33,998.29,信号退出,41.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-10-13 19:45,2025-10-17 16:15,114051.90,104917.26,104927.75,,79836.33,3x,10%,99.83,299.49,-24.27,998.29,974.02,止损/移动止损,92.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-10-17 16:45,2025-10-20 14:15,105018.60,111077.79,96617.11,,73513.02,3x,10%,97.40,292.21,16.56,974.02,990.58,信号退出,69.50,close<EMA200 + MFI<35 + CMF<-0.07
SmartMoney_30m,做多,2025-10-21 12:15,2025-10-21 23:45,108278.73,113284.97,99616.43,,75795.11,3x,10%,99.06,297.17,13.44,990.58,1004.01,信号退出,11.50,close<EMA200 + MFI<35 + CMF<-0.07
