策略,退出,杠杆,保证金,交易数,胜率,全年收益,最终权益,最大回撤,后1/3交易数,后1/3收益,盈亏因子,平均盈利,平均亏损,最大连亏,止盈,信号退出,止损,时间退出,强平,平均持仓小时
Apollo11_15m,固定1%止盈_1%止损,3x,10%,506,44.66%,-28.35%,716.49,28.52%,197,-12.28%,0.64,2.25,-2.83,10,225,0,280,0,0,7.67
Apollo11_15m,固定1%止盈_1%止损,3x,20%,506,44.66%,-48.91%,510.94,49.12%,197,-23.20%,0.64,3.86,-4.86,10,225,0,280,0,0,7.67
Apollo11_15m,固定1%止盈_1%止损,5x,10%,506,44.66%,-42.78%,572.19,42.99%,197,-19.70%,0.64,3.38,-4.26,10,225,0,280,0,0,7.67
Apollo11_15m,固定1%止盈_1%止损,5x,20%,506,44.66%,-67.69%,323.14,67.87%,197,-35.85%,0.64,5.30,-6.69,10,225,0,280,0,0,7.67
Apollo11_15m,固定1.5%止盈_1%止损,3x,10%,441,36.73%,-22.90%,771.00,24.06%,174,-9.90%,0.72,3.64,-2.93,14,161,0,279,0,0,10.24
Apollo11_15m,固定1.5%止盈_1%止损,3x,20%,441,36.73%,-40.90%,590.95,42.60%,174,-19.00%,0.72,6.42,-5.20,14,161,0,279,0,0,10.24
Apollo11_15m,固定1.5%止盈_1%止损,5x,10%,441,36.73%,-35.38%,646.15,36.95%,174,-16.05%,0.72,5.58,-4.51,14,161,0,279,0,0,10.24
Apollo11_15m,固定1.5%止盈_1%止损,5x,20%,441,36.73%,-58.93%,410.75,60.79%,174,-29.98%,0.72,9.13,-7.42,14,161,0,279,0,0,10.24
Apollo11_15m,固定2%止盈_1.5%止损,3x,10%,324,39.51%,-20.25%,797.48,20.29%,133,-8.86%,0.76,4.98,-4.29,8,127,0,195,1,0,17.56
Apollo11_15m,固定2%止盈_1.5%止损,3x,20%,324,39.51%,-36.95%,630.52,37.01%,133,-17.23%,0.75,8.83,-7.65,8,127,0,195,1,0,17.56
Apollo11_15m,固定2%止盈_1.5%止损,5x,10%,324,39.51%,-31.75%,682.53,31.80%,133,-14.50%,0.76,7.66,-6.62,8,127,0,195,1,0,17.56
Apollo11_15m,固定2%止盈_1.5%止损,5x,20%,324,39.51%,-54.52%,454.82,54.59%,133,-27.61%,0.75,12.59,-11.00,8,127,0,195,1,0,17.56
Apollo11_15m,固定3%止盈_2%止损,3x,10%,204,37.25%,-15.56%,844.37,20.42%,89,-7.58%,0.79,7.65,-5.76,8,73,0,126,4,0,32.64
Apollo11_15m,固定3%止盈_2%止损,3x,20%,204,37.25%,-29.45%,705.49,37.18%,89,-14.98%,0.78,13.93,-10.57,8,73,0,126,4,0,32.64
Apollo11_15m,固定3%止盈_2%止损,5x,10%,204,37.25%,-25.01%,749.92,31.97%,89,-12.54%,0.78,11.98,-9.07,8,73,0,126,4,0,32.64
Apollo11_15m,固定3%止盈_2%止损,5x,20%,204,37.25%,-45.38%,546.18,54.73%,89,-24.48%,0.77,20.52,-15.73,8,73,0,126,4,0,32.64
