???,??,??U,??U,??,??,??%,????,????%,????,??,??,??,??,??,????,????h,??????
????,20,80,300,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,295.91,19
????,20,80,500,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,295.91,19
????,20,80,800,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,295.91,19
????,20,80,1000,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,295.91,19
????,20,100,300,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.62,19
????,20,100,500,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.62,19
????,20,100,800,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.62,19
????,20,100,1000,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.62,19
????,20,150,300,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.76,20
????,20,150,500,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.76,20
????,20,150,800,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.76,20
????,20,150,1000,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.76,20
????,20,200,300,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.95,20
????,20,200,500,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.95,20
????,20,200,800,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.95,20
????,20,200,1000,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,296.95,20
????,20,250,300,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,297.06,21
????,20,250,500,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,297.06,21
????,20,250,800,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,297.06,21
????,20,250,1000,22,4.55,-100.0,0.0,100.0,1,21,21,21,0.0,-47.62,21,297.06,21
????,30,80,300,24,4.17,-100.0,0.0,100.0,1,23,23,23,0.0,-43.48,23,252.51,21
????,30,80,500,24,4.17,-100.0,0.0,100.0,1,23,23,23,0.0,-43.48,23,252.51,21
????,30,80,800,24,4.17,-100.0,0.0,100.0,1,23,23,23,0.0,-43.48,23,252.51,21
????,30,80,1000,24,4.17,-100.0,0.0,100.0,1,23,23,23,0.0,-43.48,23,252.51,21
????,30,100,300,24,4.17,-100.0,0.0,100.0,1,23,23,23,0.0,-43.48,23,253.31,21
????,30,100,500,24,4.17,-100.0,0.0,100.0,1,23,23,23,0.0,-43.48,23,253.31,21
????,30,100,800,24,4.17,-100.0,0.0,100.0,1,23,23,23,0.0,-43.48,23,253.31,21
????,30,100,1000,24,4.17,-100.0,0.0,100.0,1,23,23,23,0.0,-43.48,23,253.31,21
