family,leverage,stop_u,target_u,samples,wins,fails,timeouts,win_rate,ev_u,avg_win,avg_loss,avg_win_hold_h
breakout,20,80,300,117,24,93,0,20.51,-18.95,298.98,-101.0,37.09
breakout,20,80,500,117,14,103,0,11.97,-29.21,499.0,-101.0,61.23
breakout,20,80,800,117,5,111,1,4.27,-56.49,799.29,-101.0,62.35
breakout,20,80,1000,117,3,113,1,2.56,-66.74,999.61,-101.0,94.25
breakout,20,100,300,117,27,89,1,23.08,-23.47,298.99,-121.0,39.04
breakout,20,100,500,117,17,99,1,14.53,-30.3,499.02,-121.0,70.84
breakout,20,100,800,117,6,108,3,5.13,-61.73,799.32,-121.0,54.42
breakout,20,100,1000,117,4,110,3,3.42,-70.62,999.61,-121.0,74.75
breakout,20,150,300,117,35,81,1,29.91,-29.37,298.99,-171.0,41.14
breakout,20,150,500,117,20,96,1,17.09,-55.43,499.0,-171.0,66.46
breakout,20,150,800,117,8,106,3,6.84,-91.31,799.12,-171.0,114.09
breakout,20,150,1000,117,6,107,4,5.13,-93.8,999.2,-171.0,157.21
breakout,20,200,300,117,42,74,1,35.9,-32.86,299.01,-221.0,46.31
breakout,20,200,500,117,28,88,1,23.93,-47.21,499.04,-221.0,84.23
breakout,20,200,800,117,15,98,4,12.82,-74.57,799.16,-220.99,140.63
breakout,20,200,1000,117,13,99,5,11.11,-65.51,999.23,-220.99,181.29
breakout,30,80,300,117,22,95,0,18.8,-34.42,298.47,-111.5,13.36
breakout,30,80,500,117,14,103,0,11.97,-38.52,498.46,-111.5,35.86
breakout,30,80,800,117,8,109,0,6.84,-49.29,798.38,-111.5,86.28
breakout,30,80,1000,117,5,112,0,4.27,-64.07,998.38,-111.5,125.6
breakout,30,100,300,117,28,89,0,23.93,-28.61,298.46,-131.51,14.33
breakout,30,100,500,117,20,97,0,17.09,-23.82,498.44,-131.51,44.0
breakout,30,100,800,117,10,107,0,8.55,-52.02,798.4,-131.5,77.15
breakout,30,100,1000,117,6,111,0,5.13,-73.55,998.5,-131.5,105.33
breakout,30,150,300,117,41,75,1,35.04,-12.39,298.48,-181.51,23.13
breakout,30,150,500,117,26,90,1,22.22,-29.47,498.5,-181.5,43.29
breakout,30,150,800,117,14,102,1,11.97,-63.31,798.57,-181.5,80.02
breakout,30,150,1000,117,9,106,2,7.69,-81.92,998.7,-181.5,82.19
breakout,30,200,300,117,45,71,1,38.46,-26.33,298.48,-231.51,22.81
breakout,30,200,500,117,31,85,1,26.5,-36.74,498.49,-231.5,42.52
breakout,30,200,800,117,15,101,1,12.82,-98.1,798.53,-231.5,76.92
breakout,30,200,1000,117,10,105,2,8.55,-116.71,998.62,-231.5,83.0
breakout,50,80,300,117,26,91,0,22.22,-36.95,297.5,-132.5,5.3
breakout,50,80,500,117,14,103,0,11.97,-57.12,497.5,-132.5,11.5
breakout,50,80,800,117,9,108,0,7.69,-60.97,797.45,-132.5,33.0
breakout,50,80,1000,117,8,109,0,6.84,-55.24,997.5,-132.5,40.16
