???,??,??U,??U,??,????,????,??,???,????U,??????h,????U,????U
????,20,80,300,146,31,115,115,21.23,-334.29,35.83,298.99,-505.0
????,20,80,500,146,17,129,129,11.64,-388.09,61.75,499.02,-505.0
????,20,80,800,146,8,138,138,5.48,-434.86,109.47,775.07,-505.0
????,20,80,1000,146,6,140,140,4.11,-445.87,182.21,933.86,-505.0
????,20,100,300,146,37,109,109,25.34,-303.64,40.19,289.57,-505.0
????,20,100,500,146,23,123,123,15.75,-350.59,85.62,475.15,-505.0
????,20,100,800,146,13,133,133,8.9,-398.11,157.69,695.48,-505.0
????,20,100,1000,146,9,137,137,6.16,-425.6,155.17,782.99,-505.0
????,20,150,300,146,48,98,98,32.88,-245.15,40.46,285.37,-505.0
????,20,150,500,146,28,118,118,19.18,-319.67,76.34,461.36,-505.0
????,20,150,800,146,17,129,129,11.64,-367.9,157.81,672.41,-505.0
????,20,150,1000,146,13,133,133,8.9,-391.29,160.9,772.02,-505.0
????,20,200,300,146,56,90,90,38.36,-201.09,45.17,287.33,-505.0
????,20,200,500,146,36,110,110,24.66,-264.65,87.97,469.76,-505.0
????,20,200,800,146,24,122,122,16.44,-305.37,161.65,709.39,-505.0
????,20,200,1000,146,20,126,126,13.7,-319.17,175.26,851.55,-505.0
????,30,80,300,146,29,117,117,19.86,-347.41,13.59,298.48,-507.5
????,30,80,500,146,20,126,126,13.7,-369.7,36.85,498.47,-507.5
????,30,80,800,146,11,135,135,7.53,-409.11,83.91,798.46,-507.5
????,30,80,1000,146,7,139,139,4.79,-435.29,117.07,998.59,-507.5
????,30,100,300,146,36,110,110,24.66,-308.77,14.42,298.48,-507.5
????,30,100,500,146,27,119,119,18.49,-321.47,43.21,498.47,-507.5
????,30,100,800,146,13,133,133,8.9,-391.22,77.25,798.46,-507.5
????,30,100,1000,146,8,138,138,5.48,-424.97,102.94,998.65,-507.5
????,30,150,300,146,53,93,93,36.3,-217.47,23.77,291.44,-507.5
????,30,150,500,146,36,110,110,24.66,-263.37,45.85,482.58,-507.5
????,30,150,800,146,20,126,126,13.7,-334.57,97.0,754.88,-507.5
????,30,150,1000,146,15,131,131,10.27,-361.88,122.58,909.91,-507.5
????,30,200,300,146,60,86,86,41.1,-180.94,23.35,287.14,-507.5
????,30,200,500,146,44,102,102,30.14,-211.73,43.47,473.93,-507.5
????,30,200,800,146,23,123,123,15.75,-313.27,87.68,725.43,-507.5
????,30,200,1000,146,18,128,128,12.33,-337.84,109.67,868.65,-507.5
????,50,80,300,146,33,113,113,22.6,-329.42,5.33,297.51,-512.5
????,50,80,500,146,20,126,126,13.7,-374.14,11.49,497.5,-512.5
????,50,80,800,146,14,132,132,9.59,-386.89,35.34,797.43,-512.5
????,50,80,1000,146,12,134,134,8.22,-388.39,46.6,997.5,-512.5
????,50,100,300,146,38,108,108,26.03,-301.68,6.49,297.51,-512.5
????,50,100,500,146,23,123,123,15.75,-353.39,12.48,497.49,-512.5
????,50,100,800,146,16,130,130,10.96,-368.95,36.88,797.44,-512.5
????,50,100,1000,146,13,133,133,8.9,-378.04,47.79,997.55,-512.5
????,50,150,300,146,51,95,95,34.93,-229.55,7.65,297.5,-512.5
????,50,150,500,146,35,111,111,23.97,-270.38,14.76,497.47,-512.5
????,50,150,800,146,26,120,120,17.81,-279.22,42.84,797.46,-512.5
????,50,150,1000,146,22,124,124,15.07,-284.96,46.36,997.56,-512.5
????,50,200,300,146,60,86,86,41.1,-179.62,9.34,297.5,-512.5
????,50,200,500,146,42,104,104,28.77,-221.96,15.49,497.49,-512.5
????,50,200,800,146,30,116,116,20.55,-243.32,37.89,797.5,-512.5
????,50,200,1000,146,25,121,121,17.12,-253.93,43.24,997.57,-512.5
??,20,80,300,146,31,115,115,21.23,-334.29,35.83,298.99,-505.0
??,20,80,500,146,17,129,129,11.64,-388.09,61.75,499.02,-505.0
??,20,80,800,146,8,138,138,5.48,-434.86,109.47,775.07,-505.0
??,20,80,1000,146,6,140,140,4.11,-445.87,182.21,933.86,-505.0
??,20,100,300,146,37,109,109,25.34,-303.64,40.19,289.57,-505.0
??,20,100,500,146,23,123,123,15.75,-350.59,85.62,475.15,-505.0
??,20,100,800,146,13,133,133,8.9,-398.11,157.69,695.48,-505.0
??,20,100,1000,146,9,137,137,6.16,-425.6,155.17,782.99,-505.0
??,20,150,300,146,48,98,98,32.88,-245.15,40.46,285.37,-505.0
??,20,150,500,146,28,118,118,19.18,-319.67,76.34,461.36,-505.0
??,20,150,800,146,17,129,129,11.64,-367.9,157.81,672.41,-505.0
??,20,150,1000,146,13,133,133,8.9,-391.29,160.9,772.02,-505.0
??,20,200,300,146,56,90,90,38.36,-201.09,45.17,287.33,-505.0
??,20,200,500,146,36,110,110,24.66,-264.65,87.97,469.76,-505.0
??,20,200,800,146,24,122,122,16.44,-305.37,161.65,709.39,-505.0
??,20,200,1000,146,20,126,126,13.7,-319.17,175.26,851.55,-505.0
??,30,80,300,146,29,117,117,19.86,-347.41,13.59,298.48,-507.5
??,30,80,500,146,20,126,126,13.7,-369.7,36.85,498.47,-507.5
??,30,80,800,146,11,135,135,7.53,-409.11,83.91,798.46,-507.5
??,30,80,1000,146,7,139,139,4.79,-435.29,117.07,998.59,-507.5
??,30,100,300,146,36,110,110,24.66,-308.77,14.42,298.48,-507.5
??,30,100,500,146,27,119,119,18.49,-321.47,43.21,498.47,-507.5
??,30,100,800,146,13,133,133,8.9,-391.22,77.25,798.46,-507.5
??,30,100,1000,146,8,138,138,5.48,-424.97,102.94,998.65,-507.5
??,30,150,300,146,53,93,93,36.3,-217.47,23.77,291.44,-507.5
??,30,150,500,146,36,110,110,24.66,-263.37,45.85,482.58,-507.5
??,30,150,800,146,20,126,126,13.7,-334.57,97.0,754.88,-507.5
??,30,150,1000,146,15,131,131,10.27,-361.88,122.58,909.91,-507.5
??,30,200,300,146,60,86,86,41.1,-180.94,23.35,287.14,-507.5
??,30,200,500,146,44,102,102,30.14,-211.73,43.47,473.93,-507.5
??,30,200,800,146,23,123,123,15.75,-313.27,87.68,725.43,-507.5
??,30,200,1000,146,18,128,128,12.33,-337.84,109.67,868.65,-507.5
??,50,80,300,146,33,113,113,22.6,-329.42,5.33,297.51,-512.5
??,50,80,500,146,20,126,126,13.7,-374.14,11.49,497.5,-512.5
??,50,80,800,146,14,132,132,9.59,-386.89,35.34,797.43,-512.5
??,50,80,1000,146,12,134,134,8.22,-388.39,46.6,997.5,-512.5
??,50,100,300,146,38,108,108,26.03,-301.68,6.49,297.51,-512.5
??,50,100,500,146,23,123,123,15.75,-353.39,12.48,497.49,-512.5
??,50,100,800,146,16,130,130,10.96,-368.95,36.88,797.44,-512.5
??,50,100,1000,146,13,133,133,8.9,-378.04,47.79,997.55,-512.5
??,50,150,300,146,51,95,95,34.93,-229.55,7.65,297.5,-512.5
??,50,150,500,146,35,111,111,23.97,-270.38,14.76,497.47,-512.5
??,50,150,800,146,26,120,120,17.81,-279.22,42.84,797.46,-512.5
??,50,150,1000,146,22,124,124,15.07,-284.96,46.36,997.56,-512.5
??,50,200,300,146,60,86,86,41.1,-179.62,9.34,297.5,-512.5
??,50,200,500,146,42,104,104,28.77,-221.96,15.49,497.49,-512.5
??,50,200,800,146,30,116,116,20.55,-243.32,37.89,797.5,-512.5
??,50,200,1000,146,25,121,121,17.12,-253.93,43.24,997.57,-512.5
