??,????,????,???,???,???,???,???,???,???%,????,??,??
??,2025-08-01 20:00,2025-08-07 18:30,115309.73,116335.88,110120.79,111158.58,116347.52,7.89,0.79,止盈,1007.89,??????60?4H????
??,2025-08-11 16:00,2025-08-11 19:30,121518.65,120437.02,126986.99,125893.32,120424.98,7.97,0.79,止盈,1015.86,??????60?4H????
??,2025-08-30 08:00,2025-08-31 08:45,108396.64,109361.27,103518.79,104494.36,109372.21,8.02,0.79,止盈,1023.88,??????60?4H????
??,2025-09-12 12:00,2025-09-22 13:45,115188.48,114163.20,120371.96,119335.27,114151.78,8.09,0.79,止盈,1031.98,??????60?4H????
??,2025-11-04 20:00,2025-11-05 01:15,104592.16,100816.76,99885.51,100826.84,105533.49,-38.26,-3.71,止损,993.71,??????60?4H????
??,2025-11-05 08:00,2025-11-05 20:15,101501.65,102404.92,96934.07,97847.59,102415.16,7.85,0.79,止盈,1001.56,??????60?4H????
??,2025-11-08 00:00,2025-11-08 01:15,100812.68,101709.82,96276.11,97183.42,101719.99,7.91,0.79,止盈,1009.46,??????60?4H????
??,2025-11-15 00:00,2025-11-17 06:00,96812.68,93318.09,92456.11,93327.42,97683.99,-37.43,-3.71,止损,972.04,??????60?4H????
??,2025-11-17 08:00,2025-11-17 08:45,94278.93,95117.92,90036.38,90884.89,95127.44,7.67,0.79,止盈,979.71,??????60?4H????
??,2025-12-16 08:00,2025-12-16 18:30,86441.64,87210.90,82551.77,83329.74,87219.62,7.73,0.79,止盈,987.44,??????60?4H????
??,2026-01-07 00:00,2026-01-07 00:30,93638.84,92805.37,97852.58,97009.83,92796.09,7.81,0.79,止盈,995.25,??????60?4H????
??,2026-01-15 08:00,2026-01-15 11:15,96936.31,96073.49,101298.44,100426.01,96063.88,7.87,0.79,止盈,1003.12,??????60?4H????
??,2026-02-02 16:00,2026-02-02 17:15,76656.66,77338.84,73207.11,73897.02,77346.57,7.92,0.79,止盈,1011.04,??????60?4H????
??,2026-02-24 20:00,2026-02-24 22:45,63232.42,63795.13,60386.96,60956.06,63801.51,7.98,0.79,止盈,1019.02,??????60?4H????
??,2026-03-16 16:00,2026-03-18 19:30,73441.66,72787.96,76746.53,76085.55,72780.68,8.06,0.79,止盈,1027.07,??????60?4H????
??,2026-04-09 00:00,2026-04-09 08:45,71299.47,70664.84,74507.95,73866.25,70657.77,8.12,0.79,止盈,1035.19,??????60?4H????
??,2026-04-10 08:00,2026-04-12 20:45,71787.82,71148.84,75018.27,74372.18,71141.73,8.18,0.79,止盈,1043.38,??????60?4H????
??,2026-04-14 20:00,2026-04-15 15:15,74370.36,73708.40,77717.03,77047.70,73701.03,8.25,0.79,止盈,1051.63,??????60?4H????
??,2026-05-05 16:00,2026-05-07 22:30,80847.91,80128.30,84486.07,83758.44,80120.28,8.31,0.79,止盈,1059.94,??????60?4H????
??,2026-05-18 16:00,2026-05-18 20:45,77094.01,77780.08,73624.78,74318.62,77787.85,8.37,0.79,止盈,1068.31,??????60?4H????
??,2026-05-23 12:00,2026-05-24 04:30,75646.56,76319.75,72242.47,72923.29,76327.38,8.43,0.79,止盈,1076.74,??????60?4H????
