方向,入场时间,出场时间,入场价,出场价,强平价,止损价,止盈价,净盈亏,收益率%,出场原因,权益,备注
做空,2025-06-10 16:00,2025-06-10 19:30,109201.08,109821.40,110183.89,109810.42,108317.53,-33.42,-3.34,止损,966.58,80根4H高位反转做空
做空,2025-06-11 00:00,2025-06-11 03:15,109013.10,109994.22,109994.22,109621.39,108131.07,-50.75,-5.25,强平,915.84,80根4H高位反转做空
做空,2025-06-11 12:00,2025-06-11 22:15,109708.23,110331.43,110695.60,110320.40,108820.58,-30.60,-3.34,止损,885.23,80根4H高位反转做空
做多,2025-06-22 12:00,2025-06-22 21:15,102395.14,101473.58,101473.58,101823.77,103223.62,-46.47,-5.25,强平,838.76,80根4H低位反转做多
做空,2025-06-26 00:00,2025-06-26 03:00,107023.80,107631.75,107987.01,107620.99,106157.87,-28.03,-3.34,止损,810.73,80根4H高位反转做空
做空,2025-06-26 08:00,2025-06-26 10:00,107324.87,107934.53,108290.79,107923.74,106456.50,-27.09,-3.34,止损,783.64,80根4H高位反转做空
做空,2025-06-26 16:00,2025-06-26 21:45,107801.92,106940.39,108772.14,108403.45,106929.69,27.41,3.50,止盈,811.05,80根4H高位反转做空
做空,2025-06-27 00:00,2025-06-27 04:30,107305.27,107914.82,108271.02,107904.03,106437.06,-27.10,-3.34,止损,783.95,80根4H高位反转做空
做空,2025-07-10 08:00,2025-07-11 00:15,111228.18,112229.23,112229.23,111848.83,110328.23,-41.16,-5.25,强平,742.79,80根4H高位反转做空
做空,2025-07-12 00:00,2025-07-12 01:00,116909.61,117573.72,117961.79,117561.96,115963.69,-24.82,-3.34,止损,717.97,80根4H高位反转做空
做空,2025-07-12 08:00,2025-07-12 17:45,117530.45,118198.08,118588.22,118186.27,116579.51,-23.99,-3.34,止损,693.97,80根4H高位反转做空
做空,2025-07-13 00:00,2025-07-13 10:45,117100.39,117765.58,118154.29,117753.81,116152.93,-23.19,-3.34,止损,670.78,80根4H高位反转做空
做空,2025-07-14 20:00,2025-07-14 23:15,121448.95,120478.36,122541.99,122126.64,120466.31,23.46,3.50,止盈,694.25,80根4H高位反转做空
做空,2025-07-15 00:00,2025-07-15 09:15,119869.91,118911.93,120948.74,120538.79,118900.04,24.28,3.50,止盈,718.53,80根4H高位反转做空
做多,2025-08-01 20:00,2025-08-01 21:45,115309.73,114271.94,114271.94,114666.30,116242.70,-37.72,-5.25,强平,680.81,80根4H低位反转做多
做多,2025-08-02 00:00,2025-08-02 01:00,115364.14,114708.93,114325.86,114720.40,116297.55,-22.73,-3.34,止损,658.08,80根4H低位反转做多
做多,2025-08-02 12:00,2025-08-02 21:30,113919.29,113272.29,112894.02,113283.62,114841.01,-21.97,-3.34,止损,636.11,80根4H低位反转做多
做多,2025-08-03 08:00,2025-08-03 08:30,112571.26,111931.91,111558.11,111943.11,113482.07,-21.24,-3.34,止损,614.88,80根4H低位反转做多
做空,2025-08-11 04:00,2025-08-11 07:30,118636.24,119310.16,119703.96,119298.23,117676.35,-20.55,-3.34,止损,594.33,80根4H高位反转做空
做空,2025-08-11 16:00,2025-08-11 19:15,121518.65,120547.49,122612.31,122196.72,120535.44,20.79,3.50,止盈,615.12,80根4H高位反转做空
做空,2025-08-11 20:00,2025-08-11 20:45,120541.94,119578.60,121626.82,121214.57,119566.64,21.52,3.50,止盈,636.63,80根4H高位反转做空
做多,2025-08-19 16:00,2025-08-19 22:15,115010.40,114357.20,113975.31,114368.64,115940.95,-21.25,-3.34,止损,615.38,80根4H低位反转做多
做多,2025-08-20 12:00,2025-08-20 21:45,113537.85,112893.02,112516.01,112904.31,114456.49,-20.54,-3.34,止损,594.84,80根4H低位反转做多
做多,2025-08-22 08:00,2025-08-22 10:15,112522.75,113421.83,111510.05,111894.87,113433.17,20.78,3.49,止盈,615.62,80根4H低位反转做多
做多,2025-08-26 16:00,2025-08-26 19:30,110311.03,109684.52,109318.23,109695.49,111203.56,-20.55,-3.34,止损,595.07,80根4H低位反转做多
做多,2025-08-30 08:00,2025-08-30 09:45,108396.64,107421.07,107421.07,107791.79,109273.68,-31.24,-5.25,强平,563.82,80根4H低位反转做多
做多,2025-08-30 12:00,2025-08-31 08:45,108448.84,109315.37,107472.80,107843.70,109326.30,19.69,3.49,止盈,583.52,80根4H低位反转做多
做空,2025-09-11 16:00,2025-09-11 21:45,114071.09,114719.08,115097.73,114707.61,113148.14,-19.50,-3.34,止损,564.02,80根4H高位反转做空
做空,2025-09-12 12:00,2025-09-13 01:15,115188.48,115842.81,116225.18,115831.23,114256.49,-18.85,-3.34,止损,545.17,80根4H高位反转做空
做空,2025-09-13 08:00,2025-09-15 08:00,116018.50,115091.30,117062.66,116665.88,115079.79,19.07,3.50,止盈,564.24,80根4H高位反转做空
做空,2025-09-17 08:00,2025-09-17 22:15,116786.12,115852.79,117837.20,117437.79,115841.20,19.74,3.50,止盈,583.98,80根4H高位反转做空
做多,2025-09-23 08:00,2025-09-23 10:15,112667.37,112027.48,111653.36,112038.68,113578.96,-19.49,-3.34,止损,564.48,80根4H低位反转做多
做多,2025-09-23 16:00,2025-09-24 01:15,113105.21,112462.83,112087.26,112474.08,114020.34,-18.84,-3.34,止损,545.64,80根4H低位反转做多
做多,2025-09-24 08:00,2025-09-24 12:00,112015.80,111379.61,111007.66,111390.75,112922.12,-18.22,-3.34,止损,527.42,80根4H低位反转做多
做多,2025-09-26 00:00,2025-09-26 00:45,111598.16,110964.34,110593.78,110975.44,112501.10,-17.61,-3.34,止损,509.82,80根4H低位反转做多
做多,2025-09-26 12:00,2025-09-26 15:30,109584.06,108961.68,108597.80,108972.58,110470.70,-17.02,-3.34,止损,492.80,80根4H低位反转做多
做多,2025-09-27 04:00,2025-09-29 00:00,109175.12,110047.45,108192.54,108565.92,110058.45,17.21,3.49,止盈,510.01,80根4H低位反转做多
做空,2025-10-02 16:00,2025-10-02 20:15,118476.15,119149.16,119542.44,119137.25,117517.56,-17.04,-3.34,止损,492.97,80根4H高位反转做空
做空,2025-10-03 08:00,2025-10-03 16:00,120528.75,119565.50,121613.50,121201.30,119553.55,17.24,3.50,止盈,510.21,80根4H高位反转做空
