策略,信号,方向,入场时间,出场时间,入场,出场,止损,目标,强平,保证金,名义仓位,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2025-08-01 20:00,2025-08-02 03:00,115255.52,113592.17,113603.53,119212.63,111797.86,500.00,15000.00,-231.37,1000.00,768.63,止损,7.00,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做空,2025-08-11 16:00,2025-08-14 06:30,121533.75,123288.06,123275.73,117361.09,125179.76,384.31,11529.45,-178.04,768.63,590.59,止损,62.50,唐奇安60上轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2025-08-30 08:00,2025-09-03 22:30,108346.63,112055.33,106793.67,112066.53,105096.23,295.30,8858.88,294.23,590.59,884.82,目标止盈,110.50,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做空,2025-09-12 12:00,2025-09-17 01:15,115131.59,116793.48,116781.81,111178.73,118585.53,442.41,13272.31,-204.95,884.82,679.87,止损,109.25,唐奇安60上轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2025-11-04 20:00,2025-11-04 22:30,104547.25,103038.44,103048.74,108136.71,101410.84,339.93,10198.04,-157.30,679.87,522.57,止损,2.50,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2025-11-05 08:00,2025-11-05 09:15,101446.54,99982.48,99992.48,104929.54,98403.15,261.28,7838.52,-120.91,522.57,401.66,止损,1.25,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2025-11-05 12:00,2025-11-07 00:30,102096.01,100622.57,100632.63,105601.30,99033.13,200.83,6024.92,-92.93,401.66,308.73,止损,36.50,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2025-11-08 00:00,2025-11-10 02:45,100760.18,104209.19,99315.95,104219.61,97737.37,154.36,4630.93,153.81,308.73,462.54,目标止盈,50.75,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2025-11-15 00:00,2025-11-15 02:30,96761.58,95365.12,95374.66,100083.72,93858.73,231.27,6938.03,-107.02,462.54,355.52,止损,2.50,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2025-11-17 08:00,2025-11-18 01:30,94233.82,92873.85,92883.14,97469.18,91406.81,177.76,5332.77,-82.26,355.52,273.26,止损,17.50,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2025-12-16 08:00,2025-12-17 22:45,86399.64,89357.09,85161.24,89366.03,83807.65,136.63,4098.93,136.14,273.26,409.40,目标止盈,38.75,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做空,2026-01-06 08:00,2026-01-08 11:45,93808.52,90596.82,95153.11,90587.76,96622.77,204.70,6140.98,204.21,409.40,613.61,目标止盈,51.75,唐奇安60上轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做空,2026-01-15 08:00,2026-01-19 07:45,96904.81,93587.10,98293.78,93577.74,99811.95,306.81,9204.15,306.07,613.61,919.68,目标止盈,95.75,唐奇安60上轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2026-02-02 16:00,2026-02-02 23:30,76611.56,79233.97,75513.46,79241.89,74313.21,459.84,13795.26,458.18,919.68,1377.86,目标止盈,7.50,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2026-02-24 20:00,2026-02-25 09:00,63200.52,65363.87,62294.65,65370.40,61304.50,688.93,20667.94,686.44,1377.86,2064.30,目标止盈,13.00,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做空,2026-03-16 16:00,2026-03-16 21:30,73421.46,74481.28,74473.83,70900.65,75624.10,1032.15,30964.54,-478.15,2064.30,1586.15,止损,5.50,唐奇安60上轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做空,2026-03-17 00:00,2026-03-17 02:00,73233.48,74290.58,74283.16,70719.13,75430.48,793.07,23792.23,-367.40,1586.15,1218.75,止损,2.00,唐奇安60上轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做空,2026-03-17 12:00,2026-03-18 22:00,74431.36,71883.07,75498.21,71875.88,76664.30,609.37,18281.24,607.92,1218.75,1826.67,目标止盈,34.00,唐奇安60上轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做空,2026-04-09 00:00,2026-04-09 23:45,71258.17,72286.77,72279.54,68811.64,73395.92,913.34,27400.08,-423.11,1826.67,1403.56,止损,23.75,唐奇安60上轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做空,2026-04-10 08:00,2026-04-10 22:15,71751.92,72787.65,72780.37,69288.44,73904.48,701.78,21053.40,-325.11,1403.56,1078.45,止损,14.25,唐奇安60上轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做空,2026-04-14 20:00,2026-04-14 21:45,74342.57,75415.68,75408.14,71790.14,76572.84,539.23,16176.81,-249.80,1078.45,828.65,止损,1.75,唐奇安60上轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做空,2026-05-05 16:00,2026-05-06 17:30,80813.72,81980.24,81972.05,78039.11,83238.13,414.33,12429.78,-191.94,828.65,636.71,止损,25.50,唐奇安60上轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2026-05-18 16:00,2026-05-23 03:30,77044.60,75932.70,75940.30,79689.80,74733.27,318.36,9550.67,-147.32,636.71,489.40,止损,107.50,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2026-05-23 12:00,2026-05-23 15:45,75612.66,74521.43,74528.88,78208.70,73344.28,244.70,7340.93,-113.23,489.40,376.16,止损,3.75,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2026-05-23 20:00,2026-05-24 05:00,74761.38,77320.45,73689.80,77328.18,72518.53,188.08,5642.46,187.40,376.16,563.57,目标止盈,9.00,唐奇安60下轨反转
A_摸底摸顶_30x_止损200_目标500,摸底摸顶,做多,2026-05-28 16:00,2026-05-29 09:30,73464.75,73495.35,72411.75,75987.04,71260.80,281.78,8453.48,-4.93,563.57,558.63,数据结束,17.50,唐奇安60下轨反转
