策略,信号,方向,入场时间,出场时间,入场,出场,止损,目标,强平,保证金,名义仓位,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2025-08-01 20:00,2025-08-01 22:00,115255.52,113976.31,113987.71,119212.63,111797.86,500.00,15000.00,-181.40,1000.00,818.60,止损,2.00,唐奇安60下轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2025-08-02 00:00,2025-08-02 02:00,115324.13,114044.16,114055.57,119283.59,111864.41,409.30,12279.00,-148.49,818.60,670.11,止损,2.00,唐奇安60下轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做空,2025-08-11 16:00,2025-08-14 04:00,121533.75,122882.90,122870.62,117361.09,125179.76,335.05,10051.58,-121.69,670.11,548.41,止损,60.00,唐奇安60上轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2025-08-30 08:00,2025-09-03 22:30,108346.63,112055.33,107154.82,112066.53,105096.23,274.21,8226.22,273.22,548.41,821.63,目标止盈,110.50,唐奇安60下轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做空,2025-09-12 12:00,2025-09-13 02:30,115131.59,116409.67,116398.03,111178.73,118585.53,410.82,12324.45,-149.21,821.63,672.42,止损,14.50,唐奇安60上轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2025-11-04 20:00,2025-11-04 22:30,104547.25,103386.89,103397.23,108136.71,101410.84,336.21,10086.33,-121.98,672.42,550.44,止损,2.50,唐奇安60下轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2025-11-05 08:00,2025-11-05 08:45,101446.54,100320.60,100330.63,104929.54,98403.15,275.22,8256.67,-99.85,550.44,450.59,止损,0.75,唐奇安60下轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2025-11-05 12:00,2025-11-07 00:30,102096.01,100962.86,100972.95,105601.30,99033.13,225.30,6758.91,-81.74,450.59,368.86,止损,36.50,唐奇安60下轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2025-11-08 00:00,2025-11-10 02:45,100760.18,104209.19,99651.81,104219.61,97737.37,184.43,5532.84,183.76,368.86,552.62,目标止盈,50.75,唐奇安60下轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2025-11-15 00:00,2025-11-15 01:45,96761.58,95687.63,95697.20,100083.72,93858.73,276.31,8289.26,-100.24,552.62,452.37,止损,1.75,唐奇安60下轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2025-11-17 08:00,2025-11-18 00:00,94233.82,93187.93,93197.25,97469.18,91406.81,226.19,6785.58,-82.06,452.37,370.31,止损,16.00,唐奇安60下轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2025-12-16 08:00,2025-12-16 11:30,86399.64,85440.70,85449.24,89366.03,83807.65,185.16,5554.68,-67.17,370.31,303.14,止损,3.50,唐奇安60下轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做空,2026-01-06 08:00,2026-01-08 11:45,93808.52,90596.82,94840.41,90587.76,96622.77,151.57,4547.06,151.21,303.14,454.34,目标止盈,51.75,唐奇安60上轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做空,2026-01-15 08:00,2026-01-19 07:45,96904.81,93587.10,97970.76,93577.74,99811.95,227.17,6815.17,226.63,454.34,680.98,目标止盈,95.75,唐奇安60上轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2026-02-02 16:00,2026-02-02 23:30,76611.56,79233.97,75768.83,79241.89,74313.21,340.49,10214.63,339.26,680.98,1020.23,目标止盈,7.50,唐奇安60下轨反转
B_摸底摸顶_30x_止损150_目标500,摸底摸顶,做多,2026-02-24 20:00,2026-02-24 21:30,63200.52,62499.06,62505.31,65370.40,61304.50,510.12,15303.47,-185.07,1020.23,835.16,止损,1.50,唐奇安60下轨反转
