策略,信号,方向,入场时间,出场时间,入场,出场,止损,目标,强平,保证金,名义仓位,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2025-08-01 20:00,2025-08-01 21:45,115255.52,114437.29,114448.74,119058.96,113180.92,500.00,25000.00,-202.39,1000.00,797.61,止损,1.75,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2025-08-02 00:00,2025-08-02 01:00,115324.13,114505.41,114516.86,119129.83,113248.30,398.80,19940.16,-161.43,797.61,636.18,止损,1.00,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做空,2025-08-11 16:00,2025-08-14 03:15,121533.75,122396.72,122384.48,117523.13,123721.35,318.09,15904.39,-128.89,636.18,507.28,止损,59.25,唐奇安60上轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2025-08-30 08:00,2025-08-30 09:45,108346.63,107577.45,107588.21,111922.07,106396.39,253.64,12682.06,-102.67,507.28,404.61,止损,1.75,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2025-08-30 12:00,2025-09-01 08:15,108397.24,107627.69,107638.46,111974.35,106446.09,202.31,10115.29,-81.89,404.61,322.72,止损,44.25,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做空,2025-09-12 12:00,2025-09-13 02:00,115131.59,115949.10,115937.51,111332.24,117203.95,161.36,8068.02,-65.39,322.72,257.34,止损,14.00,唐奇安60上轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2025-11-04 20:00,2025-11-04 20:15,104547.25,103805.04,103815.42,107997.31,102665.40,128.67,6433.39,-52.08,257.34,205.25,止损,0.25,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2025-11-05 08:00,2025-11-05 08:30,101446.54,100726.34,100736.42,104794.28,99620.51,102.63,5131.31,-41.54,205.25,163.71,止损,0.50,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2025-11-05 12:00,2025-11-05 16:15,102096.01,101371.20,101381.34,105465.18,100258.28,81.86,4092.77,-33.13,163.71,130.58,止损,4.25,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2025-11-08 00:00,2025-11-09 23:45,100760.18,104074.85,100054.85,104085.26,98946.49,65.29,3264.42,104.07,130.58,234.65,目标止盈,47.75,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2025-11-15 00:00,2025-11-15 01:45,96761.58,96074.64,96084.24,99954.71,95019.87,117.32,5866.18,-47.49,234.65,187.16,止损,1.75,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2025-11-17 08:00,2025-11-17 21:45,94233.82,93564.83,93574.19,97343.54,92537.61,93.58,4678.90,-37.88,187.16,149.28,止损,13.75,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2025-12-16 08:00,2025-12-16 08:45,86399.64,85786.26,85794.84,89250.83,84844.45,74.64,3731.92,-30.21,149.28,119.06,止损,0.75,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做空,2026-01-06 08:00,2026-01-08 02:45,93808.52,90721.91,94465.18,90712.84,95497.07,59.53,2976.60,95.01,119.06,214.08,目标止盈,42.75,唐奇安60上轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做空,2026-01-15 08:00,2026-01-19 07:45,96904.81,93716.32,97583.14,93706.95,98649.10,107.04,5351.91,170.83,214.08,384.91,目标止盈,95.75,唐奇安60上轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2026-02-02 16:00,2026-02-02 23:30,76611.56,79131.83,76075.28,79139.74,75232.55,192.45,9622.70,306.77,384.91,691.68,目标止盈,7.50,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2026-02-24 20:00,2026-02-24 21:30,63200.52,62751.84,62758.12,65286.14,62062.91,345.84,17292.06,-139.99,691.68,551.69,止损,1.50,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做空,2026-03-16 16:00,2026-03-16 20:30,73421.46,73942.80,73935.41,70998.55,74743.04,275.85,13792.25,-111.78,551.69,439.91,止损,4.50,唐奇安60上轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做空,2026-03-17 00:00,2026-03-17 00:45,73233.48,73753.48,73746.11,70816.77,74551.68,219.96,10997.86,-89.13,439.91,350.78,止损,0.75,唐奇安60上轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做空,2026-03-17 12:00,2026-03-18 21:45,74431.36,71982.32,74952.38,71975.12,75771.12,175.39,8769.62,279.92,350.78,630.71,目标止盈,33.75,唐奇安60上轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做空,2026-04-09 00:00,2026-04-09 01:00,71258.17,71764.16,71756.98,68906.65,72540.82,315.35,15767.73,-127.79,630.71,502.92,止损,1.00,唐奇安60上轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做空,2026-04-10 08:00,2026-04-10 09:30,71751.92,72261.41,72254.19,69384.11,73043.46,251.46,12573.09,-101.90,502.92,401.03,止损,1.50,唐奇安60上轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做空,2026-04-14 20:00,2026-04-14 21:30,74342.57,74870.45,74862.96,71889.26,75680.73,200.51,10025.70,-81.25,401.03,319.78,止损,1.50,唐奇安60上轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做空,2026-05-05 16:00,2026-05-05 21:00,80813.72,81387.55,81379.41,78146.87,82268.36,159.89,7994.43,-64.79,319.78,254.99,止损,5.00,唐奇安60上轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2026-05-18 16:00,2026-05-18 22:15,77044.60,76497.64,76505.29,79587.08,75657.80,127.49,6374.71,-51.61,254.99,203.38,止损,6.25,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2026-05-23 12:00,2026-05-23 15:45,75612.66,75075.86,75083.37,78107.88,74251.63,101.69,5084.51,-41.16,203.38,162.22,止损,3.75,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2026-05-23 20:00,2026-05-24 04:45,74761.38,77220.78,74238.05,77228.50,73415.67,81.11,4055.43,129.29,162.22,291.51,目标止盈,8.75,唐奇安60下轨反转
C_摸底摸顶_50x_止损150_目标800,摸底摸顶,做多,2026-05-28 16:00,2026-05-28 21:15,73464.75,72943.20,72950.49,75889.08,72142.38,145.75,7287.64,-59.00,291.51,232.51,止损,5.25,唐奇安60下轨反转
