策略,信号,方向,入场时间,出场时间,入场,出场,止损,目标,强平,保证金,名义仓位,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2025-08-01 20:00,2025-08-01 21:45,115255.52,114437.29,114448.74,119981.00,113180.92,500.00,25000.00,-202.39,1000.00,797.61,止损,1.75,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2025-08-02 00:00,2025-08-02 01:00,115324.13,114505.41,114516.86,120052.42,113248.30,398.80,19940.16,-161.43,797.61,636.18,止损,1.00,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做空,2025-08-11 16:00,2025-08-14 03:15,121533.75,122396.72,122384.48,116550.86,123721.35,318.09,15904.39,-128.89,636.18,507.28,止损,59.25,唐奇安60上轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2025-08-30 08:00,2025-08-30 09:45,108346.63,107577.45,107588.21,112788.85,106396.39,253.64,12682.06,-102.67,507.28,404.61,止损,1.75,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2025-08-30 12:00,2025-09-01 08:15,108397.24,107627.69,107638.46,112841.53,106446.09,202.31,10115.29,-81.89,404.61,322.72,止损,44.25,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做空,2025-09-12 12:00,2025-09-13 02:00,115131.59,115949.10,115937.51,110411.19,117203.95,161.36,8068.02,-65.39,322.72,257.34,止损,14.00,唐奇安60上轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2025-11-04 20:00,2025-11-04 20:15,104547.25,103805.04,103815.42,108833.69,102665.40,128.67,6433.39,-52.08,257.34,205.25,止损,0.25,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2025-11-05 08:00,2025-11-05 08:30,101446.54,100726.34,100736.42,105605.85,99620.51,102.63,5131.31,-41.54,205.25,163.71,止损,0.50,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2025-11-05 12:00,2025-11-05 16:15,102096.01,101371.20,101381.34,106281.94,100258.28,81.86,4092.77,-33.13,163.71,130.58,止损,4.25,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2025-11-08 00:00,2025-11-10 04:00,100760.18,104880.85,100054.85,104891.34,98946.49,65.29,3264.42,130.17,130.58,260.75,目标止盈,52.00,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2025-11-15 00:00,2025-11-15 01:45,96761.58,96074.64,96084.24,100728.80,95019.87,130.37,6518.67,-52.77,260.75,207.97,止损,1.75,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2025-11-17 08:00,2025-11-17 21:45,94233.82,93564.83,93574.19,98097.41,92537.61,103.99,5199.33,-42.09,207.97,165.88,止损,13.75,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2025-12-16 08:00,2025-12-16 08:45,86399.64,85786.26,85794.84,89942.02,84844.45,82.94,4147.02,-33.57,165.88,132.31,止损,0.75,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做空,2026-01-06 08:00,2026-01-08 14:45,93808.52,89971.37,94465.18,89962.37,95497.07,66.15,3307.69,132.06,132.31,264.37,目标止盈,54.75,唐奇安60上轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做空,2026-01-15 08:00,2026-01-19 08:00,96904.81,92941.00,97583.14,92931.71,98649.10,132.18,6609.14,263.87,264.37,528.23,目标止盈,96.00,唐奇安60上轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2026-02-02 16:00,2026-02-04 01:00,76611.56,76067.67,76075.28,79752.63,75232.55,264.12,13205.80,-106.91,528.23,421.32,止损,33.00,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做多,2026-02-24 20:00,2026-02-24 21:30,63200.52,62751.84,62758.12,65791.74,62062.91,210.66,10533.03,-85.27,421.32,336.05,止损,1.50,唐奇安60下轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做空,2026-03-16 16:00,2026-03-16 20:30,73421.46,73942.80,73935.41,70411.18,74743.04,168.02,8401.21,-68.09,336.05,267.96,止损,4.50,唐奇安60上轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做空,2026-03-17 00:00,2026-03-17 00:45,73233.48,73753.48,73746.11,70230.90,74551.68,133.98,6699.07,-54.29,267.96,213.67,止损,0.75,唐奇安60上轨反转
D_摸底摸顶_50x_止损150_目标1000,摸底摸顶,做空,2026-03-17 12:00,2026-03-18 22:45,74431.36,71386.81,74952.38,71379.67,75771.12,106.84,5341.80,213.27,213.67,426.94,目标止盈,34.75,唐奇安60上轨反转
