策略,信号,方向,入场时间,出场时间,入场,出场,止损,目标,强平,保证金,名义仓位,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
E_摸底摸顶_20x_止损150_目标300,摸底摸顶,做多,2025-08-01 20:00,2025-08-02 03:15,115255.52,113400.09,113411.44,118828.45,110069.03,500.00,10000.00,-170.90,1000.00,829.10,止损,7.25,唐奇安60下轨反转
E_摸底摸顶_20x_止损150_目标300,摸底摸顶,做空,2025-08-11 16:00,2025-08-14 06:30,121533.75,123490.63,123478.29,117766.20,127002.76,414.55,8290.96,-141.86,829.10,687.24,止损,62.50,唐奇安60上轨反转
E_摸底摸顶_20x_止损150_目标300,摸底摸顶,做多,2025-08-30 08:00,2025-09-02 22:30,108346.63,111694.21,106613.09,111705.38,103471.04,343.62,6872.41,205.36,687.24,892.60,目标止盈,86.50,唐奇安60下轨反转
E_摸底摸顶_20x_止损150_目标300,摸底摸顶,做空,2025-09-12 12:00,2025-09-17 10:45,115131.59,116985.39,116973.69,111562.51,120312.51,446.30,8925.99,-152.72,892.60,739.88,止损,118.75,唐奇安60上轨反转
E_摸底摸顶_20x_止损150_目标300,摸底摸顶,做多,2025-11-04 20:00,2025-11-04 22:30,104547.25,102864.21,102874.50,107788.22,99842.63,369.94,7398.78,-126.45,739.88,613.43,止损,2.50,唐奇安60下轨反转
E_摸底摸顶_20x_止损150_目标300,摸底摸顶,做多,2025-11-05 08:00,2025-11-05 09:15,101446.54,99813.42,99823.40,104591.39,96881.45,306.72,6134.30,-104.84,613.43,508.59,止损,1.25,唐奇安60下轨反转
E_摸底摸顶_20x_止损150_目标300,摸底摸顶,做多,2025-11-05 12:00,2025-11-07 00:30,102096.01,100452.43,100462.47,105260.98,97501.69,254.30,5085.93,-86.92,508.59,421.67,止损,36.50,唐奇安60下轨反转
E_摸底摸顶_20x_止损150_目标300,摸底摸顶,做多,2025-11-08 00:00,2025-11-08 06:00,100760.18,103873.35,99148.01,103883.74,96225.97,210.84,4216.73,126.00,421.67,547.67,目标止盈,6.00,唐奇安60下轨反转
E_摸底摸顶_20x_止损150_目标300,摸底摸顶,做多,2025-11-15 00:00,2025-11-15 02:45,96761.58,95203.87,95213.39,99761.18,92407.30,273.84,5476.74,-93.60,547.67,454.08,止损,2.75,唐奇安60下轨反转
E_摸底摸顶_20x_止损150_目标300,摸底摸顶,做多,2025-11-17 08:00,2025-11-18 01:30,94233.82,92716.81,92726.08,97155.07,89993.30,227.04,4540.75,-77.60,454.08,376.47,止损,17.50,唐奇安60下轨反转
