策略,信号,方向,入场时间,出场时间,入场,出场,止损,目标,强平,保证金,名义仓位,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
F_趋势突破_30x_止损150_目标500,趋势突破,做空,2025-06-06 04:00,2025-06-06 14:00,101862.01,102992.79,102982.49,98364.75,104917.87,500.00,15000.00,-181.60,1000.00,818.40,止损,10.00,4H跌破40根低点
F_趋势突破_30x_止损150_目标500,趋势突破,做多,2025-06-09 20:00,2025-06-13 04:00,107710.77,106515.30,106525.95,111408.84,104479.45,409.20,12276.00,-148.46,818.40,669.94,止损,80.00,4H突破40根高点
F_趋势突破_30x_止损150_目标500,趋势突破,做空,2025-06-21 04:00,2025-06-22 22:15,103240.87,99706.24,104376.52,99696.27,106338.10,334.97,10049.13,334.17,669.94,1004.11,目标止盈,42.25,4H跌破40根低点
F_趋势突破_30x_止损150_目标500,趋势突破,做空,2025-06-23 00:00,2025-06-23 01:00,98836.52,99933.71,99923.72,95443.13,101801.61,502.06,15061.72,-182.35,1004.11,821.77,止损,1.00,4H跌破40根低点
F_趋势突破_30x_止损150_目标500,趋势突破,做多,2025-06-25 20:00,2025-07-01 22:30,107141.01,105951.87,105962.46,110819.52,103926.78,410.88,12326.52,-149.07,821.77,672.70,止损,146.50,4H突破40根高点
F_趋势突破_30x_止损150_目标500,趋势突破,做多,2025-07-03 04:00,2025-07-04 21:30,109638.46,108421.60,108432.44,113402.72,106349.31,336.35,10090.49,-122.03,672.70,550.67,止损,41.50,4H突破40根高点
F_趋势突破_30x_止损150_目标500,趋势突破,做多,2025-07-10 04:00,2025-07-10 21:30,111722.07,110482.08,110493.13,115557.86,108370.41,275.34,8260.07,-99.89,550.67,450.78,止损,17.50,4H突破40根高点
F_趋势突破_30x_止损150_目标500,趋势突破,做多,2025-07-11 04:00,2025-07-11 05:15,113237.42,117113.53,111991.81,117125.24,109840.30,225.39,6761.69,224.57,450.78,675.35,目标止盈,1.25,4H突破40根高点
F_趋势突破_30x_止损150_目标500,趋势突破,做多,2025-07-11 08:00,2025-07-14 10:45,116004.60,119975.43,114728.55,119987.42,112524.46,337.68,10130.31,336.46,675.35,1011.81,目标止盈,74.75,4H突破40根高点
F_趋势突破_30x_止损150_目标500,趋势突破,做多,2025-07-14 12:00,2025-07-15 00:00,120813.98,119473.08,119485.03,124961.93,117189.56,505.90,15177.14,-183.54,1011.81,828.27,止损,12.00,4H突破40根高点
F_趋势突破_30x_止损150_目标500,趋势突破,做空,2025-08-02 04:00,2025-08-04 03:15,113259.67,114516.98,114505.53,109371.09,116657.46,414.13,12424.01,-150.41,828.27,677.85,止损,47.25,4H跌破40根低点
F_趋势突破_30x_止损150_目标500,趋势突破,做多,2025-08-10 12:00,2025-08-14 03:30,118530.45,122587.74,117226.62,122600.00,114974.54,338.93,10167.81,337.70,677.85,1015.56,目标止盈,87.50,4H突破40根高点
F_趋势突破_30x_止损150_目标500,趋势突破,做多,2025-08-14 04:00,2025-08-14 14:15,122784.48,121421.70,121433.85,127000.08,119100.94,507.78,15233.33,-184.22,1015.56,831.33,止损,10.25,4H突破40根高点
F_趋势突破_30x_止损150_目标500,趋势突破,做空,2025-08-18 12:00,2025-08-19 01:15,115245.77,116525.13,116513.48,111289.00,118703.15,415.67,12470.00,-150.97,831.33,680.36,止损,13.25,4H跌破40根低点
F_趋势突破_30x_止损150_目标500,趋势突破,做空,2025-08-20 00:00,2025-08-22 22:00,113722.63,114985.07,114973.58,109818.15,117134.31,340.18,10205.45,-123.55,680.36,556.81,止损,70.00,4H跌破40根低点
F_趋势突破_30x_止损150_目标500,趋势突破,做空,2025-08-26 08:00,2025-08-27 04:15,110062.99,111284.81,111273.69,106284.16,113364.88,278.40,8352.14,-101.12,556.81,455.69,止损,20.25,4H跌破40根低点
F_趋势突破_30x_止损150_目标500,趋势突破,做空,2025-08-30 00:00,2025-09-01 16:00,108322.97,109525.47,109514.52,104603.88,111572.66,227.85,6835.40,-82.75,455.69,372.94,止损,64.00,4H跌破40根低点
