策略,信号,方向,入场时间,出场时间,入场,出场,止损,目标,强平,保证金,名义仓位,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-06-06 04:00,2025-06-06 12:30,101862.01,102585.30,102575.05,99722.91,103695.53,500.00,25000.00,-202.61,1000.00,797.39,止损,8.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-06-09 20:00,2025-06-09 21:45,107710.77,106946.10,106956.79,109972.70,105771.98,398.70,19934.84,-161.39,797.39,636.01,止损,1.75,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-06-10 04:00,2025-06-12 11:15,108528.15,107757.68,107768.45,110807.24,106574.64,318.00,15900.16,-128.72,636.01,507.28,止损,55.25,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-06-21 04:00,2025-06-22 05:30,103240.87,101082.92,103963.56,101072.82,105099.21,253.64,12682.06,252.53,507.28,759.81,目标止盈,25.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-06-22 08:00,2025-06-22 08:15,102059.69,102784.39,102774.11,99916.44,103896.77,379.91,18995.37,-153.94,759.81,605.87,止损,0.25,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-06-23 00:00,2025-06-23 00:45,98836.52,99538.32,99528.37,96760.95,100615.57,302.94,15146.79,-122.75,605.87,483.12,止损,0.75,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-06-25 20:00,2025-06-27 09:00,107141.01,106380.39,106391.03,109390.97,105212.47,241.56,12077.95,-97.78,483.12,385.34,止损,37.00,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-06-29 20:00,2025-06-29 23:45,108439.04,107669.20,107679.97,110716.26,106487.14,192.67,9633.45,-77.99,385.34,307.35,止损,3.75,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-07-03 04:00,2025-07-03 07:30,109638.46,108860.11,108870.99,111940.87,107664.97,153.67,7683.70,-62.21,307.35,245.14,止损,3.50,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-07-10 04:00,2025-07-10 04:15,111722.07,110928.92,110940.02,114068.23,109711.07,122.57,6128.57,-49.62,245.14,195.53,止损,0.25,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-07-11 04:00,2025-07-11 05:15,113237.42,115603.85,112444.76,115615.41,111199.15,97.76,4888.18,97.21,195.53,292.74,目标止盈,1.25,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-07-11 08:00,2025-07-11 17:30,116004.60,118428.85,115192.57,118440.70,113916.52,146.37,7318.52,145.55,292.74,438.29,目标止盈,9.50,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-07-14 12:00,2025-07-14 23:45,120813.98,119956.29,119968.28,123351.07,118639.33,219.14,10957.19,-88.71,438.29,349.58,止损,11.75,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-08-02 04:00,2025-08-03 19:00,113259.67,114063.90,114052.49,110881.22,115298.35,174.79,8739.52,-70.83,349.58,278.75,止损,39.00,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-08-10 12:00,2025-08-10 15:30,118530.45,117688.97,117700.74,121019.59,116396.90,139.38,6968.84,-56.42,278.75,222.34,止损,3.50,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-08-11 00:00,2025-08-11 10:00,118797.38,121279.99,117965.80,121292.12,116659.03,111.17,5558.39,110.54,222.34,332.88,目标止盈,10.00,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-08-11 12:00,2025-08-11 19:00,121718.17,120854.06,120866.14,124274.25,119527.24,166.44,8321.95,-67.37,332.88,265.51,止损,7.00,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-08-14 04:00,2025-08-14 14:00,122784.48,121912.79,121924.99,125362.95,120574.36,132.75,6637.64,-53.74,265.51,211.77,止损,10.00,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-08-18 12:00,2025-08-18 23:45,115245.77,116064.10,116052.49,112825.61,117320.20,105.88,5294.22,-42.91,211.77,168.86,止损,11.75,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-08-20 00:00,2025-08-21 06:45,113722.63,114530.14,114518.68,111334.45,115769.63,84.43,4221.58,-34.21,168.86,134.65,止损,30.75,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-08-22 04:00,2025-08-22 10:00,112142.78,112939.08,112927.78,109787.79,114161.35,67.33,3366.26,-27.28,134.65,107.37,止损,6.00,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-08-26 08:00,2025-08-27 02:30,110062.99,110844.52,110833.43,107751.67,112044.13,53.68,2684.24,-21.75,107.37,85.62,止损,18.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-08-30 00:00,2025-08-31 08:30,108322.97,109092.14,109081.23,106048.18,110272.78,42.81,2140.39,-17.35,85.62,68.27,止损,32.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-09-11 00:00,2025-09-12 08:45,113828.38,116207.16,113031.58,116218.78,111779.47,34.13,1706.74,33.94,68.27,102.21,目标止盈,32.75,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-09-13 04:00,2025-09-13 05:45,116586.66,115758.97,115770.55,119034.98,114488.10,51.11,2555.30,-20.69,102.21,81.52,止损,1.75,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-09-17 04:00,2025-09-17 21:30,116775.68,115946.65,115958.25,119227.97,114673.71,40.76,2038.12,-16.50,81.52,65.02,止损,17.50,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-09-18 12:00,2025-09-19 07:00,117558.65,116724.07,116735.74,120027.39,115442.60,32.51,1625.62,-13.16,65.02,51.86,止损,19.00,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-09-26 04:00,2025-09-27 02:15,109315.87,110092.09,110081.08,107020.23,111283.55,25.93,1296.60,-10.51,51.86,41.36,止损,22.25,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-10-01 20:00,2025-10-02 08:00,116740.27,119179.90,115923.09,119191.82,114638.95,20.68,1033.90,20.56,41.36,61.92,目标止盈,12.00,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-10-02 12:00,2025-10-03 23:15,118702.97,121183.61,117872.05,121195.73,116566.32,30.96,1547.95,30.78,61.92,92.70,目标止盈,35.25,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-10-04 00:00,2025-10-05 12:45,122227.32,124781.62,121371.73,124794.10,120027.23,46.35,2317.57,46.09,92.70,138.79,目标止盈,36.75,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-10-05 16:00,2025-10-05 17:30,124715.57,123830.18,123842.56,127334.60,122470.69,69.40,3469.83,-28.09,138.79,110.70,止损,1.50,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2025-10-27 08:00,2025-10-28 10:45,114519.85,113706.84,113718.21,116924.77,112458.49,55.35,2767.56,-22.41,110.70,88.30,止损,26.75,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-10-31 00:00,2025-10-31 08:00,107645.83,108410.20,108399.36,105385.27,109583.46,44.15,2207.42,-17.89,88.30,70.41,止损,8.00,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-11-04 00:00,2025-11-04 00:15,105691.03,106441.51,106430.87,103471.52,107593.47,35.20,1760.18,-14.26,70.41,56.14,止损,0.25,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-11-04 16:00,2025-11-05 00:45,104433.86,102250.97,105164.89,102240.74,106313.66,28.07,1403.56,27.95,56.14,84.09,目标止盈,8.75,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-11-05 04:00,2025-11-05 06:15,100487.05,101200.58,101190.46,98376.82,102295.82,42.05,2102.27,-17.04,84.09,67.05,止损,2.25,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-11-14 04:00,2025-11-14 06:00,98619.54,99319.80,99309.87,96548.53,100394.69,33.53,1676.34,-13.59,67.05,53.47,止损,2.00,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-11-14 16:00,2025-11-14 20:30,97076.59,95047.49,97756.13,95037.98,98823.97,26.73,1336.70,26.62,53.47,80.09,目标止盈,4.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-11-18 04:00,2025-11-18 06:30,91642.03,92292.76,92283.53,89717.55,93291.59,40.04,2002.13,-16.23,80.09,63.86,止损,2.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-11-18 12:00,2025-11-18 18:00,90798.22,91442.95,91433.81,88891.46,92432.59,31.93,1596.48,-12.94,63.86,50.92,止损,6.00,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-11-20 04:00,2025-11-20 04:30,88839.82,89470.64,89461.69,86974.18,90438.93,25.46,1273.03,-10.32,50.92,40.60,止损,0.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-11-21 04:00,2025-11-21 05:30,86870.11,87486.95,87478.20,85045.84,88433.77,20.30,1015.10,-8.23,40.60,32.38,止损,1.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-11-21 12:00,2025-11-21 15:30,85781.62,83988.60,86382.09,83980.21,87325.69,16.19,809.44,16.12,32.38,48.50,目标止盈,3.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-11-21 16:00,2025-11-21 16:00,83991.60,84588.00,84579.54,82227.78,85503.45,24.25,1212.39,-9.83,48.50,38.67,止损,0.00,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-12-02 00:00,2025-12-02 00:30,84628.44,85229.36,85220.84,82851.24,86151.75,19.33,966.75,-7.83,38.67,30.84,止损,0.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-12-15 08:00,2025-12-15 09:30,88105.69,88731.30,88722.43,86255.47,89691.59,15.42,770.88,-6.25,30.84,24.59,止损,1.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-12-16 00:00,2025-12-16 02:30,86975.70,85157.73,87584.53,85149.21,88541.26,12.29,614.69,12.24,24.59,36.83,目标止盈,2.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-12-16 04:00,2025-12-16 18:30,86087.69,86698.97,86690.30,84279.85,87637.27,18.41,920.70,-7.46,36.83,29.37,止损,14.50,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做空,2025-12-19 04:00,2025-12-19 04:00,84424.56,85024.03,85015.53,82651.64,85944.20,14.68,734.16,-5.95,29.37,23.42,止损,0.00,4H跌破40根低点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2026-01-04 12:00,2026-01-05 09:30,91203.72,93109.69,90565.29,93119.00,89562.05,11.71,585.41,11.64,23.42,35.06,目标止盈,21.50,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2026-01-05 12:00,2026-01-05 14:30,92853.38,92194.19,92203.41,94803.31,91182.02,17.53,876.47,-7.10,35.06,27.96,止损,2.50,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2026-01-06 00:00,2026-01-06 01:15,93918.39,93251.64,93260.96,95890.68,92227.86,13.98,699.08,-5.66,27.96,22.30,止损,1.25,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2026-01-06 04:00,2026-01-06 08:30,94254.42,93585.28,93594.64,96233.77,92557.84,11.15,557.59,-4.51,22.30,17.79,止损,4.50,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2026-01-14 04:00,2026-01-14 06:00,94190.42,96158.80,93531.09,96168.42,92494.99,8.89,444.74,8.84,17.79,26.63,目标止盈,2.00,4H突破40根高点
G_趋势突破_50x_止损150_目标500,趋势突破,做多,2026-01-14 08:00,2026-01-14 14:00,95403.74,94726.44,94735.91,97407.22,93686.47,13.32,665.86,-5.39,26.63,21.24,止损,6.00,4H突破40根高点
