策略,方向,入场时间,出场时间,入场,出场,止损,止盈,强平,名义仓位,保证金,净盈亏U,出场原因,权益,持仓小时,备注
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2025-06-06 04:00,2025-06-06 21:30,101862.01,104368.71,104358.28,93125.08,113321.49,800.00,100.00,-20.50,止损,979.50,17.50,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做多,2025-06-09 20:00,2025-06-13 06:15,107710.77,105690.55,105701.12,114744.53,95593.31,783.60,97.95,-15.47,止损,964.03,82.25,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2025-06-21 04:00,2025-06-24 06:15,103240.87,105866.85,105856.27,94087.00,114855.47,771.22,96.40,-20.40,止损,943.63,74.25,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做多,2025-06-25 20:00,2025-07-11 05:15,107141.01,117230.00,104255.10,117241.72,95087.65,754.91,94.36,70.30,止盈,1013.93,369.25,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做多,2025-07-11 08:00,2025-08-02 03:30,116004.60,113192.26,113203.58,125808.17,102954.08,811.14,101.39,-20.47,止损,993.46,523.50,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2025-08-02 04:00,2025-08-07 18:30,113259.67,116242.42,116230.80,102860.74,126001.39,794.77,99.35,-21.74,止损,971.73,134.50,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做多,2025-08-10 12:00,2025-08-18 09:30,118530.45,116407.68,116419.32,125919.42,105195.78,777.38,97.17,-14.69,止损,957.03,189.50,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2025-08-18 12:00,2025-08-30 09:45,115245.77,107320.26,117513.27,107309.53,128210.92,765.63,95.70,51.91,止盈,1008.95,285.75,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做多,2025-09-11 00:00,2025-09-22 14:00,113828.38,111607.80,111618.96,121561.35,101022.69,807.16,100.89,-16.55,止损,992.40,278.00,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2025-09-26 04:00,2025-09-29 06:30,109315.87,111833.65,111822.47,100542.76,121613.90,793.92,99.24,-19.09,止损,973.31,74.50,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做多,2025-10-01 20:00,2025-10-05 10:30,116740.27,124285.96,114580.81,124298.39,103606.99,778.65,97.33,49.53,止盈,1022.84,86.50,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做多,2025-10-05 16:00,2025-10-07 23:00,124715.57,122158.97,122171.19,133620.89,110685.07,818.27,102.28,-17.58,止损,1005.25,55.00,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做多,2025-10-27 08:00,2025-10-29 23:30,114519.85,111883.54,111894.73,123707.76,101636.37,804.20,100.53,-19.31,止损,985.95,63.50,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2025-10-31 00:00,2025-11-14 20:30,107645.83,94881.92,111295.38,94872.44,119755.99,788.76,98.59,92.78,止盈,1078.73,356.50,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2025-11-18 04:00,2026-01-14 06:00,91642.03,95207.55,95198.03,79196.04,101951.76,862.98,107.87,-34.46,止损,1044.27,1370.00,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做多,2026-01-14 08:00,2026-01-19 08:00,95403.74,92981.05,92990.35,103850.59,84670.82,835.42,104.43,-22.04,止损,1022.23,120.00,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2026-01-21 04:00,2026-01-30 09:30,89670.93,82311.65,91775.93,82303.42,99758.91,817.79,102.22,66.33,止盈,1088.57,221.50,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2026-01-30 12:00,2026-02-05 10:45,82623.54,71362.93,85842.89,71355.80,91918.68,870.85,108.86,117.88,止盈,1206.44,142.75,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2026-02-05 12:00,2026-03-17 08:00,71187.78,75307.02,75299.49,56796.78,79196.41,965.15,120.64,-56.84,止损,1149.60,956.00,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2026-03-22 20:00,2026-03-23 19:00,68175.28,70336.40,70329.36,60636.00,75845.00,919.68,114.96,-30.09,止损,1119.51,23.00,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做空,2026-03-27 20:00,2026-04-01 14:30,66653.23,69192.44,69185.52,57790.23,74151.72,895.61,111.95,-35.03,止损,1084.48,114.50,4H??40???ATR2.2??
??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,做多,2026-04-06 20:00,2026-04-07 22:00,69599.36,67912.27,67919.06,75480.39,61769.43,867.58,108.45,-21.89,止损,1062.59,26.00,4H??40???ATR2.2??
