score,??,??,??,??,??,PF,????,????,????,????,????,????,????,??,???,??R
1.3651,??????_w40_ATR2.2_RSI52/48_8x_10%_3.5R_???,26,30.77,17.01,11.92,1.4,75.08,-23.92,4,9,5.62,11.92,3.67,8,0.1,3.5
1.3651,??????_w40_ATR2.2_RSI52/48_10x_8%_3.5R_???,26,30.77,17.01,11.92,1.4,75.08,-23.92,4,9,5.62,11.92,3.67,10,0.08,3.5
1.3651,??????_w40_ATR2.2_RSI54/46_8x_10%_3.5R_???,26,30.77,17.01,11.92,1.4,75.08,-23.92,4,9,5.62,11.92,3.67,8,0.1,3.5
1.3651,??????_w40_ATR2.2_RSI54/46_10x_8%_3.5R_???,26,30.77,17.01,11.92,1.4,75.08,-23.92,4,9,5.62,11.92,3.67,10,0.08,3.5
1.3651,??????_w40_ATR2.2_RSI56/44_8x_10%_3.5R_???,26,30.77,17.01,11.92,1.4,75.08,-23.92,4,9,5.62,11.92,3.67,8,0.1,3.5
1.3651,??????_w40_ATR2.2_RSI56/44_10x_8%_3.5R_???,26,30.77,17.01,11.92,1.4,75.08,-23.92,4,9,5.62,11.92,3.67,10,0.08,3.5
0.2472,??????_w40_ATR2.2_RSI52/48_12x_7%_3.5R_???,26,30.77,17.77,12.49,1.39,78.88,-25.18,4,9,5.85,12.49,3.79,12,0.07,3.5
0.2472,??????_w40_ATR2.2_RSI54/46_12x_7%_3.5R_???,26,30.77,17.77,12.49,1.39,78.88,-25.18,4,9,5.85,12.49,3.79,12,0.07,3.5
0.2472,??????_w40_ATR2.2_RSI56/44_12x_7%_3.5R_???,26,30.77,17.77,12.49,1.39,78.88,-25.18,4,9,5.85,12.49,3.79,12,0.07,3.5
-0.4468,??????_w40_ATR2.2_RSI52/48_8x_9%_3.5R_???,26,30.77,15.46,10.78,1.4,67.48,-21.4,4,9,5.15,10.78,3.4,8,0.09,3.5
-0.4468,??????_w40_ATR2.2_RSI54/46_8x_9%_3.5R_???,26,30.77,15.46,10.78,1.4,67.48,-21.4,4,9,5.15,10.78,3.4,8,0.09,3.5
-0.4468,??????_w40_ATR2.2_RSI56/44_8x_9%_3.5R_???,26,30.77,15.46,10.78,1.4,67.48,-21.4,4,9,5.15,10.78,3.4,8,0.09,3.5
-0.8828,??????_w40_ATR2.2_RSI52/48_8x_11%_3.5R_???,26,30.77,18.52,13.06,1.39,82.68,-26.45,4,9,6.08,13.06,3.91,8,0.11,3.5
-0.8828,??????_w40_ATR2.2_RSI54/46_8x_11%_3.5R_???,26,30.77,18.52,13.06,1.39,82.68,-26.45,4,9,6.08,13.06,3.91,8,0.11,3.5
-0.8828,??????_w40_ATR2.2_RSI56/44_8x_11%_3.5R_???,26,30.77,18.52,13.06,1.39,82.68,-26.45,4,9,6.08,13.06,3.91,8,0.11,3.5
-0.9168,??????_w40_ATR2.2_RSI52/48_10x_7%_3.5R_???,26,30.77,15.07,10.49,1.4,65.58,-20.78,4,9,5.03,10.49,3.34,10,0.07,3.5
-0.9168,??????_w40_ATR2.2_RSI54/46_10x_7%_3.5R_???,26,30.77,15.07,10.49,1.4,65.58,-20.78,4,9,5.03,10.49,3.34,10,0.07,3.5
-0.9168,??????_w40_ATR2.2_RSI56/44_10x_7%_3.5R_???,26,30.77,15.07,10.49,1.4,65.58,-20.78,4,9,5.03,10.49,3.34,10,0.07,3.5
-1.4524,??????_w40_ATR2.2_RSI52/48_10x_9%_3.5R_???,26,30.77,18.9,13.34,1.39,84.58,-27.09,4,9,6.19,13.34,3.97,10,0.09,3.5
-1.4524,??????_w40_ATR2.2_RSI54/46_10x_9%_3.5R_???,26,30.77,18.9,13.34,1.39,84.58,-27.09,4,9,6.19,13.34,3.97,10,0.09,3.5
-1.4524,??????_w40_ATR2.2_RSI56/44_10x_9%_3.5R_???,26,30.77,18.9,13.34,1.39,84.58,-27.09,4,9,6.19,13.34,3.97,10,0.09,3.5
-2.3428,??????_w40_ATR2.2_RSI52/48_8x_8%_3.5R_???,26,30.77,13.87,9.63,1.41,59.89,-18.91,4,9,4.66,9.63,3.12,8,0.08,3.5
-2.3428,??????_w40_ATR2.2_RSI54/46_8x_8%_3.5R_???,26,30.77,13.87,9.63,1.41,59.89,-18.91,4,9,4.66,9.63,3.12,8,0.08,3.5
-2.3428,??????_w40_ATR2.2_RSI56/44_8x_8%_3.5R_???,26,30.77,13.87,9.63,1.41,59.89,-18.91,4,9,4.66,9.63,3.12,8,0.08,3.5
-3.1794,??????_w40_ATR2.2_RSI52/48_8x_12%_3.5R_???,26,30.77,20.0,14.18,1.38,90.28,-29.02,4,9,6.51,14.18,4.13,8,0.12,3.5
-3.1794,??????_w40_ATR2.2_RSI52/48_12x_8%_3.5R_???,26,30.77,20.0,14.18,1.38,90.28,-29.02,4,9,6.51,14.18,4.13,12,0.08,3.5
-3.1794,??????_w40_ATR2.2_RSI54/46_8x_12%_3.5R_???,26,30.77,20.0,14.18,1.38,90.28,-29.02,4,9,6.51,14.18,4.13,8,0.12,3.5
-3.1794,??????_w40_ATR2.2_RSI54/46_12x_8%_3.5R_???,26,30.77,20.0,14.18,1.38,90.28,-29.02,4,9,6.51,14.18,4.13,12,0.08,3.5
-3.1794,??????_w40_ATR2.2_RSI56/44_8x_12%_3.5R_???,26,30.77,20.0,14.18,1.38,90.28,-29.02,4,9,6.51,14.18,4.13,8,0.12,3.5
-3.1794,??????_w40_ATR2.2_RSI56/44_12x_8%_3.5R_???,26,30.77,20.0,14.18,1.38,90.28,-29.02,4,9,6.51,14.18,4.13,12,0.08,3.5
-3.4683,??????_w35_ATR2.2_RSI52/48_10x_8%_3.5R_???,27,29.63,13.14,11.92,1.29,73.3,-23.95,4,9,5.62,11.92,0.24,10,0.08,3.5
-3.4683,??????_w35_ATR2.2_RSI54/46_10x_8%_3.5R_???,27,29.63,13.14,11.92,1.29,73.3,-23.95,4,9,5.62,11.92,0.24,10,0.08,3.5
-3.4683,??????_w35_ATR2.2_RSI56/44_10x_8%_3.5R_???,27,29.63,13.14,11.92,1.29,73.3,-23.95,4,9,5.62,11.92,0.24,10,0.08,3.5
-3.4683,??????_w35_ATR2.2_RSI52/48_8x_10%_3.5R_???,27,29.63,13.14,11.92,1.29,73.3,-23.95,4,9,5.62,11.92,0.24,8,0.1,3.5
-3.4683,??????_w35_ATR2.2_RSI54/46_8x_10%_3.5R_???,27,29.63,13.14,11.92,1.29,73.3,-23.95,4,9,5.62,11.92,0.24,8,0.1,3.5
-3.4683,??????_w35_ATR2.2_RSI56/44_8x_10%_3.5R_???,27,29.63,13.14,11.92,1.29,73.3,-23.95,4,9,5.62,11.92,0.24,8,0.1,3.5
-3.8508,??????_w35_ATR2.2_RSI52/48_12x_7%_3.5R_???,27,29.63,13.68,12.49,1.29,76.92,-25.19,4,9,5.85,12.49,0.19,12,0.07,3.5
-3.8508,??????_w35_ATR2.2_RSI54/46_12x_7%_3.5R_???,27,29.63,13.68,12.49,1.29,76.92,-25.19,4,9,5.85,12.49,0.19,12,0.07,3.5
-3.8508,??????_w35_ATR2.2_RSI56/44_12x_7%_3.5R_???,27,29.63,13.68,12.49,1.29,76.92,-25.19,4,9,5.85,12.49,0.19,12,0.07,3.5
-4.2792,??????_w40_ATR2.2_RSI52/48_8x_7%_3.5R_???,26,30.77,12.25,8.46,1.41,52.31,-16.45,4,9,4.15,8.46,2.81,8,0.07,3.5
-4.2792,??????_w40_ATR2.2_RSI54/46_8x_7%_3.5R_???,26,30.77,12.25,8.46,1.41,52.31,-16.45,4,9,4.15,8.46,2.81,8,0.07,3.5
-4.2792,??????_w40_ATR2.2_RSI56/44_8x_7%_3.5R_???,26,30.77,12.25,8.46,1.41,52.31,-16.45,4,9,4.15,8.46,2.81,8,0.07,3.5
-4.346,??????_w40_ATR2.2_RSI52/48_10x_10%_3.5R_???,26,30.77,20.72,14.74,1.38,94.08,-30.3,4,9,6.71,14.74,4.23,10,0.1,3.5
-4.346,??????_w40_ATR2.2_RSI54/46_10x_10%_3.5R_???,26,30.77,20.72,14.74,1.38,94.08,-30.3,4,9,6.71,14.74,4.23,10,0.1,3.5
-4.346,??????_w40_ATR2.2_RSI56/44_10x_10%_3.5R_???,26,30.77,20.72,14.74,1.38,94.08,-30.3,4,9,6.71,14.74,4.23,10,0.1,3.5
-4.7824,??????_w45_ATR2.2_RSI52/48_12x_7%_3.5R_???,27,29.63,12.48,12.49,1.26,74.51,-24.81,4,9,5.85,12.49,-0.88,12,0.07,3.5
-4.7824,??????_w45_ATR2.2_RSI54/46_12x_7%_3.5R_???,27,29.63,12.48,12.49,1.26,74.51,-24.81,4,9,5.85,12.49,-0.88,12,0.07,3.5
-4.7824,??????_w45_ATR2.2_RSI56/44_12x_7%_3.5R_???,27,29.63,12.48,12.49,1.26,74.51,-24.81,4,9,5.85,12.49,-0.88,12,0.07,3.5
-4.7984,??????_w35_ATR2.2_RSI52/48_8x_9%_3.5R_???,27,29.63,12.02,10.78,1.29,66.05,-21.48,4,9,5.15,10.78,0.33,8,0.09,3.5
-4.7984,??????_w35_ATR2.2_RSI54/46_8x_9%_3.5R_???,27,29.63,12.02,10.78,1.29,66.05,-21.48,4,9,5.15,10.78,0.33,8,0.09,3.5
-4.7984,??????_w35_ATR2.2_RSI56/44_8x_9%_3.5R_???,27,29.63,12.02,10.78,1.29,66.05,-21.48,4,9,5.15,10.78,0.33,8,0.09,3.5
-5.1409,??????_w35_ATR2.2_RSI52/48_10x_7%_3.5R_???,27,29.63,11.74,10.49,1.3,64.23,-20.87,4,9,5.03,10.49,0.35,10,0.07,3.5
-5.1409,??????_w35_ATR2.2_RSI54/46_10x_7%_3.5R_???,27,29.63,11.74,10.49,1.3,64.23,-20.87,4,9,5.03,10.49,0.35,10,0.07,3.5
-5.1409,??????_w35_ATR2.2_RSI56/44_10x_7%_3.5R_???,27,29.63,11.74,10.49,1.3,64.23,-20.87,4,9,5.03,10.49,0.35,10,0.07,3.5
-5.15,??????_w35_ATR2.2_RSI52/48_8x_11%_3.5R_???,27,29.63,14.21,13.06,1.28,80.53,-26.43,4,9,6.08,13.06,0.13,8,0.11,3.5
-5.15,??????_w35_ATR2.2_RSI54/46_8x_11%_3.5R_???,27,29.63,14.21,13.06,1.28,80.53,-26.43,4,9,6.08,13.06,0.13,8,0.11,3.5
-5.15,??????_w35_ATR2.2_RSI56/44_8x_11%_3.5R_???,27,29.63,14.21,13.06,1.28,80.53,-26.43,4,9,6.08,13.06,0.13,8,0.11,3.5
-5.335,??????_w45_ATR2.2_RSI52/48_8x_10%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,8,0.1,3.5
-5.335,??????_w45_ATR2.2_RSI52/48_10x_8%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,10,0.08,3.5
-5.335,??????_w45_ATR2.2_RSI54/46_8x_10%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,8,0.1,3.5
-5.335,??????_w45_ATR2.2_RSI54/46_10x_8%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,10,0.08,3.5
-5.335,??????_w45_ATR2.2_RSI56/44_8x_10%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,8,0.1,3.5
-5.335,??????_w45_ATR2.2_RSI56/44_10x_8%_3.5R_???,27,29.63,11.99,11.92,1.27,71.02,-23.59,4,9,5.62,11.92,-0.78,10,0.08,3.5
-5.804,??????_w35_ATR2.2_RSI52/48_10x_9%_3.5R_???,27,29.63,14.47,13.34,1.28,82.32,-27.05,4,9,6.19,13.34,0.1,10,0.09,3.5
-5.804,??????_w35_ATR2.2_RSI54/46_10x_9%_3.5R_???,27,29.63,14.47,13.34,1.28,82.32,-27.05,4,9,6.19,13.34,0.1,10,0.09,3.5
-5.804,??????_w35_ATR2.2_RSI56/44_10x_9%_3.5R_???,27,29.63,14.47,13.34,1.28,82.32,-27.05,4,9,6.19,13.34,0.1,10,0.09,3.5
-5.8414,??????_w45_ATR2.2_RSI52/48_8x_11%_3.5R_???,27,29.63,12.95,13.06,1.26,77.99,-26.02,4,9,6.08,13.06,-0.98,8,0.11,3.5
-5.8414,??????_w45_ATR2.2_RSI54/46_8x_11%_3.5R_???,27,29.63,12.95,13.06,1.26,77.99,-26.02,4,9,6.08,13.06,-0.98,8,0.11,3.5
