ts,open,high,low,close,volume
1746774000000,103180.0,103477.0,103073.6,103460.9,165317.97
1746774900000,103461.0,103772.4,103394.6,103749.9,207507.15
1746775800000,103749.9,103998.0,103473.2,103867.4,211447.74
1746776700000,103867.5,104359.8,103603.3,103610.2,419073.93
1746777600000,103610.2,103695.9,103339.1,103497.3,161251.7
1746778500000,103497.4,103919.0,103463.6,103609.9,134722.7
1746779400000,103609.9,103879.9,102623.8,102748.0,396384.27
1746780300000,102747.9,103041.2,102740.0,102948.0,187887.93
1746781200000,102948.0,103265.9,102530.1,102600.1,270069.98
1746782100000,102600.1,102964.5,102398.9,102537.4,253792.94
1746783000000,102537.4,102867.8,102388.0,102746.0,102471.65
1746783900000,102746.0,102920.0,102571.1,102896.7,88225.2
1746784800000,102896.7,103088.0,102769.2,103013.1,75191.7
1746785700000,103013.1,103092.4,102877.8,103056.0,68917.64
1746786600000,103056.0,103236.5,102918.6,103230.5,76435.62
1746787500000,103230.5,103432.6,103180.3,103316.0,107262.94
1746788400000,103316.0,103333.0,103054.0,103178.7,81057.7
1746789300000,103178.6,103478.0,102623.0,102993.9,219171.2
1746790200000,102993.9,103103.1,102812.0,103102.3,79659.97
1746791100000,103102.2,103211.1,102877.0,102909.0,48605.57
1746792000000,102909.0,103054.4,102755.9,102884.8,108279.11
1746792900000,102884.8,103096.7,102824.1,103058.7,67756.43
1746793800000,103058.8,103111.3,102892.5,102944.7,36966.76
1746794700000,102944.8,103079.3,102830.0,102854.1,38195.03
1746795600000,102854.1,103099.0,102846.5,103087.3,41555.9
1746796500000,103087.9,103120.0,102857.9,102947.7,56930.63
1746797400000,102947.7,103328.6,102771.3,103207.0,136574.82
1746798300000,103207.0,103732.0,103178.8,103565.6,246647.67
1746799200000,103565.6,103621.1,103216.1,103495.8,167786.24
1746800100000,103495.8,103695.3,102575.0,102621.9,263540.85
1746801000000,102621.8,102970.0,102359.0,102908.3,230608.55
1746801900000,102908.4,103146.0,102566.7,103099.9,188976.08
1746802800000,103099.9,103277.6,102954.2,103054.5,105265.28
1746803700000,103054.6,103108.4,102681.8,102826.1,134113.48
1746804600000,102826.0,102872.0,102639.6,102799.8,91826.82
1746805500000,102799.7,102888.0,102660.0,102848.5,45491.53
1746806400000,102848.6,102882.8,102458.0,102778.4,108040.82
1746807300000,102778.4,102897.8,102605.7,102711.5,76208.57
1746808200000,102711.4,102866.0,102633.6,102692.0,51264.58
1746809100000,102692.1,102727.4,102241.7,102434.8,149208.42
1746810000000,102434.8,102840.0,102289.7,102735.1,153225.25
1746810900000,102735.2,103003.4,102735.1,102986.1,97494.11
1746811800000,102986.0,103174.3,102904.8,103079.8,75382.34
1746812700000,103079.7,103190.2,103064.0,103160.9,55328.47
1746813600000,103160.9,103220.5,102974.0,103062.1,58745.51
1746814500000,103062.1,103178.4,102891.9,103128.7,25158.2
1746815400000,103128.6,103329.9,103095.9,103261.2,64746.75
1746816300000,103261.2,103321.3,103123.8,103123.9,38635.68
1746817200000,103123.9,103240.0,103088.4,103088.4,35174.49
1746818100000,103088.4,103090.1,102835.8,102937.1,60208.48
1746819000000,102937.2,103055.3,102839.4,103041.7,22109.57
1746819900000,103041.6,103154.8,103002.9,103138.0,31149.6
1746820800000,103137.9,103363.1,103114.0,103255.2,54141.37
1746821700000,103255.2,103309.9,103245.7,103265.9,13995.72
1746822600000,103265.9,103266.0,103141.0,103176.5,24802.6
1746823500000,103176.5,103195.6,103085.6,103137.9,19409.72
1746824400000,103137.9,103166.9,102959.0,102959.0,26333.41
1746825300000,102959.1,103037.8,102721.0,102888.2,56569.6
1746826200000,102888.3,102958.5,102766.1,102773.0,31382.66
1746827100000,102773.0,102942.6,102737.7,102942.6,28383.37
1746828000000,102942.6,103028.5,102942.6,102984.4,28645.13
