ts,open,high,low,close,volume
1747809900000,107943.9,107943.9,107738.4,107758.1,64.02105562
1747810800000,107758.1,107873.8,107440.7,107440.7,92.92891861
1747811700000,107440.8,107450.8,106770.0,106981.4,140.68040772
1747812600000,106981.4,106990.0,106444.1,106657.9,197.10449155
1747813500000,106657.9,106819.9,106470.3,106509.9,116.76428753
1747814400000,106506.1,106796.0,106442.0,106752.0,63.17148915
1747815300000,106752.0,106752.0,106344.8,106460.1,105.1358821
1747816200000,106461.3,106533.3,106379.8,106414.1,63.76186394
1747817100000,106414.4,106491.8,106351.0,106386.0,22.09584026
1747818000000,106386.9,106532.5,106286.0,106316.0,53.53249388
1747818900000,106316.1,106405.1,106187.0,106347.5,57.02313549
1747819800000,106349.9,106350.0,106117.8,106130.7,28.87659136
1747820700000,106130.7,106229.7,106086.1,106200.1,33.60677935
1747821600000,106200.1,106451.6,106138.0,106400.0,29.65815446
1747822500000,106400.0,106400.0,106150.6,106267.9,40.45895142
1747823400000,106267.9,106399.3,106245.8,106354.0,58.62421962
1747824300000,106354.0,106361.9,106270.6,106336.1,40.29194793
1747825200000,106336.1,106497.9,106255.6,106490.2,35.88077384
1747826100000,106490.1,106712.5,106452.5,106672.0,100.39972823
1747827000000,106672.0,106683.9,106519.4,106588.0,33.76419256
1747827900000,106588.0,106588.0,106446.1,106528.5,36.0640562
1747828800000,106528.1,106544.0,106396.1,106519.8,28.36224835
1747829700000,106519.8,106879.7,106519.7,106826.0,38.80943714
1747830600000,106825.2,106825.2,106582.1,106632.0,27.91759497
1747831500000,106631.9,106638.9,106474.0,106570.1,28.51205318
1747832400000,106570.2,106659.9,106319.7,106417.9,68.77781075
1747833300000,106418.0,106500.0,106348.9,106444.1,21.51935073
1747834200000,106444.1,107194.6,106444.1,107132.1,131.02111578
1747835100000,107135.2,107653.0,107066.8,107259.9,229.82492967
1747836000000,107260.0,107530.0,107121.7,107422.4,169.39480255
1747836900000,107422.5,107744.0,107311.2,107340.0,100.14461248
1747837800000,107338.5,107799.3,107000.0,107773.9,133.57844836
1747838700000,107774.0,109000.0,107679.5,109000.0,624.36308869
1747839600000,108999.9,109458.0,108430.0,108822.0,560.54011067
1747840500000,108822.4,109309.6,108822.4,108910.0,249.83267005
1747841400000,108907.0,109082.0,108318.4,108895.0,206.77711623
1747842300000,108894.1,109236.0,108560.0,108972.0,115.84450401
1747843200000,108973.9,109143.4,108698.8,109100.0,142.61928278
1747844100000,109099.9,109292.0,108930.7,109106.0,84.56352146
1747845000000,109106.0,109688.0,109071.8,109513.9,454.69637372
1747845900000,109513.9,109860.0,109125.0,109130.9,291.8453489
1747846800000,109131.0,109349.9,108770.0,109040.0,219.12203102
1747847700000,109038.5,109081.3,106888.0,106956.2,729.95041437
1747848600000,106957.8,107675.0,106500.0,106508.9,734.4609652
1747849500000,106508.9,106995.9,106115.5,106590.0,532.81900193
1747850400000,106593.7,107100.0,106328.1,106843.9,194.07361935
1747851300000,106843.9,107075.0,106500.0,106665.3,80.30590013
1747852200000,106665.3,107392.1,106638.0,107329.0,122.51577627
1747853100000,107328.0,107424.2,106880.4,106960.0,130.47989491
1747854000000,106960.1,107309.9,106612.4,107019.1,85.38497902
1747854900000,107019.2,107227.2,106766.5,107227.2,130.31438306
1747855800000,107227.3,108436.4,107227.3,108117.4,268.69067975
1747856700000,108114.0,108854.0,107971.4,108618.1,210.56396406
1747857600000,108612.8,108750.0,108172.0,108259.8,121.81189711
1747858500000,108259.9,108428.0,108172.0,108204.1,48.79906134
1747859400000,108204.2,108272.0,107961.6,107980.4,38.21920999
1747860300000,107980.1,108250.0,107719.3,108240.0,46.13578242
1747861200000,108240.1,108449.2,107937.1,108335.9,34.90775436
1747862100000,108335.9,108335.9,108080.0,108080.0,39.54634873
1747863000000,108080.0,108461.4,108066.8,108407.4,24.65625643
1747863900000,108407.4,108550.0,108325.0,108420.0,28.82628078
1747864800000,108420.1,108550.0,108280.8,108310.1,86.44041034
1747865700000,108310.1,108632.3,108282.9,108632.3,34.40582459
1747866600000,108632.2,108978.6,108632.2,108941.5,79.25494053
1747867500000,108941.5,109038.0,108692.1,108742.6,89.06365478
1747868400000,108742.7,109398.0,108660.7,109376.0,137.02593912
1747869300000,109376.1,110804.2,109360.0,109760.0,1052.61383024
1747870200000,109754.4,110140.5,109409.0,109578.4,227.91545354
1747871100000,109578.3,109758.0,109333.3,109642.8,145.62131926
1747872000000,109646.0,110165.2,109474.2,109973.9,244.39580341
1747872900000,109979.9,110042.0,109649.4,109683.9,243.65523752
1747873800000,109683.8,109826.6,109179.5,109337.0,206.8176018
1747874700000,109337.1,109966.0,109322.5,109962.0,78.57454349
1747875600000,109962.0,110552.9,109868.0,110107.9,256.1239215
1747876500000,110108.0,110257.3,109810.1,109992.0,84.7822452
1747877400000,109992.0,110285.7,109719.5,109814.5,70.79962888
1747878300000,109814.6,109980.0,109663.9,109910.1,49.68002161
1747879200000,109910.1,110308.0,109815.0,110113.8,80.76915465
1747880100000,110113.9,110607.7,109968.1,110425.9,88.01126269
1747881000000,110425.9,110972.0,110365.6,110458.0,209.27285518
1747881900000,110458.0,110626.5,110300.0,110469.7,101.2705773
1747882800000,110469.8,110699.9,110327.3,110499.9,90.87540676
1747883700000,110499.9,110880.0,110415.0,110754.4,170.6421707
1747884600000,110754.3,111480.0,110695.6,111301.1,442.85635477
1747885500000,111308.1,111880.0,111308.1,111773.9,473.40721697
1747886400000,111774.0,111791.5,111300.0,111386.0,198.08470009
1747887300000,111385.9,111496.0,111221.1,111470.0,78.49904531
1747888200000,111468.8,111713.0,111262.7,111711.9,132.53380602
1747889100000,111711.9,111711.9,111400.0,111467.1,74.45153435
1747890000000,111467.0,111656.5,111157.1,111319.9,82.74996746
1747890900000,111320.0,111469.9,111258.5,111424.0,47.17170803
1747891800000,111424.0,111478.9,111284.1,111400.0,72.44213706
1747892700000,111400.1,111495.9,110820.5,110868.0,157.47263648
1747893600000,110870.0,111178.0,110841.0,110992.3,92.51956073
1747894500000,110992.2,111022.9,110678.6,110816.0,156.90338119
1747895400000,110816.0,110945.9,110637.1,110870.1,63.57357082
1747896300000,110870.0,110946.7,110457.3,110600.0,138.42778711
1747897200000,110600.0,110826.1,110458.1,110826.1,242.64022401
1747898100000,110826.1,111083.4,110569.5,110711.7,473.41609202
1747899000000,110711.7,111057.6,110626.2,110862.0,111.84622646
1747899900000,110862.1,111132.0,110771.3,111038.3,128.94666817
1747900800000,111038.4,111131.0,110925.2,110983.1,46.02086462
1747901700000,110980.1,111157.5,110702.8,110791.3,99.11908133
1747902600000,110793.9,110811.9,110406.1,110538.0,88.36522252
1747903500000,110538.0,110649.6,110375.1,110400.0,128.67407446
1747904400000,110400.1,110533.3,110262.1,110430.0,115.02582936
1747905300000,110433.2,110679.5,110280.0,110666.5,87.5616864
1747906200000,110666.6,110789.4,110527.1,110646.5,62.21478279
1747907100000,110646.4,110833.2,110579.6,110811.0,59.09497278
1747908000000,110811.1,110865.2,110595.6,110725.9,47.4253763
1747908900000,110725.8,110952.4,110680.0,110900.0,35.88902044
1747909800000,110900.1,110956.0,110811.1,110908.5,20.83091012
1747910700000,110908.5,110915.5,110704.0,110792.3,34.7588573
1747911600000,110790.1,110855.0,110611.4,110726.8,21.75741547
1747912500000,110728.9,110916.2,110508.7,110512.0,44.94091412
1747913400000,110511.6,110681.5,110500.0,110681.5,29.07399773
1747914300000,110681.6,111333.0,110660.0,110983.7,112.54199121
1747915200000,110982.1,111169.9,110810.8,110816.1,52.86959121
1747916100000,110816.0,111396.0,110800.0,111276.1,127.94312749
1747917000000,111276.1,111551.9,111172.0,111386.2,78.53503836
1747917900000,111386.3,111600.0,111372.0,111599.9,62.53618337
1747918800000,111600.0,111616.0,111229.6,111267.9,51.09100127
1747919700000,111268.0,111415.0,111117.6,111411.2,35.38847358
1747920600000,111414.0,111600.0,110924.7,111313.0,152.21100259
1747921500000,111313.0,111459.9,110905.0,110920.6,123.07747709
1747922400000,110920.6,111180.9,110644.0,110772.2,162.11024053
1747923300000,110772.3,111325.3,110706.5,111272.0,117.50192392
1747924200000,111273.4,111398.1,110750.0,110938.9,125.05314924
1747925100000,110938.8,111048.8,110550.0,110900.0,85.45862852
1747926000000,110900.0,111159.3,110783.4,110942.9,70.8112369
1747926900000,110942.9,111281.7,110839.5,111120.0,78.69931172
1747927800000,111118.9,111490.2,111031.3,111490.2,98.92350807
1747928700000,111490.4,111533.3,111192.7,111317.8,154.74785891
1747929600000,111318.0,111517.9,111216.5,111517.9,426.03832168
1747930500000,111520.0,111800.0,111250.0,111250.0,186.2483041
1747931400000,111250.0,111469.9,111083.7,111421.8,74.09806847
1747932300000,111421.9,111434.0,111124.6,111259.9,77.79430233
1747933200000,111260.0,111416.0,111162.0,111390.1,41.99927963
1747934100000,111390.0,111963.0,111348.6,111705.9,156.19159372
1747935000000,111706.0,111963.0,111658.4,111752.2,99.81812873
1747935900000,111750.1,111750.1,111388.0,111503.3,66.26368951
1747936800000,111503.7,111576.9,111366.8,111451.8,44.81552573
1747937700000,111451.8,111733.9,111451.8,111709.2,26.12704694
1747938600000,111709.2,111962.6,111660.0,111749.9,54.81862987
1747939500000,111749.9,111850.0,111680.0,111723.3,38.41732588
1747940400000,111723.2,111820.2,111469.9,111762.2,52.0127331
1747941300000,111762.1,111920.9,111670.0,111898.6,39.20840407
1747942200000,111898.6,111929.8,111357.1,111360.6,97.21246282
1747943100000,111360.0,111360.0,110916.4,111200.0,145.89026236
1747944000000,111203.5,111447.9,111086.0,111278.7,42.33338243
1747944900000,111280.0,111287.9,110990.1,111065.3,29.00546303
1747945800000,111065.3,111125.6,110819.3,111068.7,64.44606369
1747946700000,111068.8,111227.2,110993.4,111073.0,19.24928483
1747947600000,111073.0,111073.0,110875.2,110999.9,18.89754243
1747948500000,111000.0,111100.0,110760.7,110810.1,33.50378049
1747949400000,110810.1,111028.7,110756.0,110971.3,25.12620348
1747950300000,110971.2,110974.4,110763.6,110840.0,10.85624976
1747951200000,110844.0,111145.9,110844.0,111073.9,24.95601084
1747952100000,111073.9,111175.7,111028.0,111065.1,20.95363082
1747953000000,111065.2,111255.1,111044.8,111159.6,22.42151707
1747953900000,111159.6,111167.9,110979.4,111020.4,26.21380761
1747954800000,111020.5,111250.0,111020.5,111248.3,25.9470085
1747955700000,111248.2,111266.0,111134.2,111246.7,26.06145361
1747956600000,111246.7,111446.8,111232.9,111377.7,24.24798496
1747957500000,111377.7,111728.0,111346.8,111701.9,65.18250598
1747958400000,111702.0,111800.0,111457.3,111775.6,81.62172138
1747959300000,111775.6,111775.6,111446.7,111482.0,55.35719395
1747960200000,111482.0,111595.2,111383.3,111493.8,43.29531293
1747961100000,111493.8,111742.9,111447.2,111611.9,53.74241718
1747962000000,111612.0,111739.3,111237.6,111345.0,48.41780768
1747962900000,111345.0,111366.6,111210.9,111291.3,44.48118876
1747963800000,111295.7,111530.3,111220.7,111256.0,31.87069224
1747964700000,111256.0,111468.4,111256.0,111337.8,38.30847047
1747965600000,111337.8,111497.9,111302.0,111484.0,49.45891983
1747966500000,111483.9,111624.0,111416.8,111593.9,58.02073519
1747967400000,111593.9,111600.0,111199.9,111254.1,57.21318266
1747968300000,111254.1,111344.2,111184.7,111274.3,42.09897536
1747969200000,111274.3,111382.0,111182.0,111210.6,43.71928358
1747970100000,111210.7,111288.0,111041.6,111044.2,44.430332
1747971000000,111044.2,111178.8,111016.0,111143.9,37.45849135
1747971900000,111143.8,111198.0,111110.0,111111.0,28.05933156
1747972800000,111111.1,111191.4,111000.0,111015.9,36.90713877
1747973700000,111016.0,111055.9,110714.2,110810.9,107.98293403
1747974600000,110811.0,110850.1,110536.8,110625.8,202.20507287
1747975500000,110625.8,110881.0,110619.7,110851.9,71.96119831
1747976400000,110851.8,110963.9,110711.0,110879.9,47.80313239
1747977300000,110880.0,110901.9,110680.1,110722.9,28.72808309
1747978200000,110723.0,110825.1,110650.1,110783.0,32.45984532
1747979100000,110783.0,110860.0,110726.1,110860.0,20.75687598
1747980000000,110860.0,110860.0,110472.1,110509.5,97.90868751
1747980900000,110508.4,110649.9,110444.3,110584.1,105.21177
1747981800000,110584.4,110743.3,110500.0,110666.0,59.85323311
1747982700000,110666.0,110666.1,110406.1,110523.9,82.74641225
1747983600000,110524.0,110810.0,110522.2,110796.1,103.04392742
1747984500000,110796.1,110839.4,110727.1,110822.4,92.23675894
1747985400000,110822.4,110872.0,110672.9,110769.9,85.52347899
1747986300000,110770.0,110842.9,110551.9,110721.9,102.65560222
1747987200000,110722.0,110850.0,110705.8,110832.1,75.84126192
1747988100000,110832.2,110907.6,110756.2,110894.1,17.95527925
1747989000000,110894.0,111022.7,110857.2,110961.4,41.35007482
1747989900000,110961.5,111009.0,110874.4,110930.0,23.94016646
1747990800000,110930.1,111092.0,110900.0,111014.0,22.28068683
1747991700000,111014.1,111240.0,111014.0,111091.9,61.13994691
1747992600000,111091.9,111233.9,111091.9,111163.6,32.48058232
1747993500000,111163.5,111378.0,111157.9,111315.8,65.44858425
1747994400000,111315.7,111320.0,110844.9,110936.1,80.19928829
1747995300000,110936.1,111104.0,110813.4,110988.0,55.64290061
1747996200000,110989.9,111071.6,110900.0,111048.3,62.43825684
1747997100000,111048.2,111187.0,110978.5,111061.1,11.59587695
1747998000000,111061.2,111099.0,110900.0,110997.8,12.46898912
1747998900000,110997.8,111074.4,110665.6,110872.0,52.15409455
1747999800000,110871.9,110955.9,110203.1,110384.1,141.21882497
1748000700000,110390.0,110473.0,108856.1,109085.3,694.1809933
1748001600000,109083.7,109109.5,107945.1,108136.1,668.65299147
1748002500000,108138.0,108460.0,107313.9,108410.1,593.58383636
1748003400000,108410.0,108770.1,108195.0,108576.0,193.56156731
1748004300000,108576.1,108768.2,108375.1,108429.0,142.9254419
1748005200000,108429.1,108532.0,107961.1,108431.3,129.68764152
1748006100000,108431.2,108857.6,108362.3,108703.9,132.66667655
1748007000000,108703.9,109585.1,108610.2,109059.9,313.87959895
1748007900000,109058.0,109724.1,108830.0,109650.0,303.70057754
1748008800000,109648.6,109999.9,109625.4,109905.9,212.69297692
1748009700000,109905.9,109966.4,109525.0,109555.1,139.90841628
1748010600000,109555.1,109817.1,109516.6,109703.2,102.22236831
1748011500000,109703.2,109950.0,109670.6,109670.6,85.05817321
1748012400000,109670.6,109866.0,109013.6,109144.5,163.25838276
1748013300000,109144.5,109500.0,109048.1,109384.1,58.37133159
1748014200000,109399.7,109750.0,109380.1,109500.0,62.92056756
1748015100000,109499.9,109529.1,108910.7,108940.6,62.18661711
1748016000000,108942.4,109215.3,108568.9,108668.0,438.22774669
1748016900000,108668.0,108948.4,108004.9,108727.4,266.15502464
1748017800000,108727.4,108995.6,108549.2,108642.9,670.96565894
1748018700000,108643.0,109104.4,108642.9,109077.4,73.55588487
1748019600000,109079.5,109505.8,109019.7,109505.8,146.99097408
1748020500000,109505.8,109812.2,109398.1,109778.5,104.26240867
1748021400000,109778.5,109778.6,109271.7,109351.0,54.42368264
1748022300000,109351.0,109599.9,109312.5,109415.8,32.04192046
1748023200000,109415.8,109507.2,109155.2,109238.4,58.58327766
1748024100000,109238.4,109292.3,108823.8,109076.8,90.31386102
1748025000000,109078.9,109126.0,108932.5,108977.9,26.49724706
1748025900000,108977.9,108977.9,108656.5,108801.3,103.08689541
1748026800000,108801.4,109162.3,108679.8,109114.1,62.83447851
1748027700000,109114.2,109122.1,108875.9,108930.1,30.60795134
1748028600000,108930.4,109084.4,108866.3,108970.5,39.57219774
1748029500000,108974.5,108974.5,108575.8,108714.5,109.2293158
1748030400000,108714.5,108730.1,108475.9,108524.5,36.7635348
1748031300000,108524.5,108709.6,108516.5,108664.7,21.88351429
1748032200000,108664.6,108664.7,108288.0,108424.4,27.83690888
1748033100000,108424.5,108537.3,108198.8,108250.7,52.22890512
1748034000000,108250.8,108339.7,108175.0,108334.4,31.22316133
1748034900000,108335.6,108624.9,108335.6,108420.0,42.30270871
1748035800000,108414.0,108539.1,108190.5,108534.2,42.62365125
1748036700000,108534.2,108678.1,108060.9,108296.0,67.31965566
1748037600000,108295.9,108527.9,108223.7,108502.4,32.40224138
1748038500000,108502.3,108591.9,108320.0,108320.0,38.74012393
1748039400000,108320.0,108413.4,108101.1,108107.9,25.17200686
1748040300000,108107.9,108119.9,107650.0,107800.0,169.68297171
1748041200000,107800.1,107909.3,107539.7,107688.8,98.8797572
1748042100000,107688.8,107745.9,107400.0,107401.4,87.02822595
1748043000000,107401.5,107680.0,106939.9,107108.0,253.48142455
1748043900000,107108.0,107448.0,106800.0,107324.0,145.63489758
1748044800000,107324.1,107495.3,106880.0,107433.3,108.12759281
1748045700000,107433.4,107471.3,107107.9,107243.7,57.96043242
1748046600000,107243.8,107696.4,107242.4,107493.7,39.5643433
1748047500000,107493.7,107582.0,107357.7,107370.2,19.28552618
1748048400000,107370.1,107806.4,107358.2,107630.0,43.49447109
1748049300000,107630.0,107876.6,107583.3,107733.4,34.43987353
1748050200000,107733.4,107776.2,107583.4,107585.6,18.73462964
1748051100000,107585.5,107666.0,107475.7,107481.9,21.29806299
1748052000000,107481.9,107645.1,107250.1,107619.3,37.58335329
1748052900000,107619.2,107848.3,107619.2,107792.3,20.08241377
1748053800000,107792.3,107905.3,107739.4,107886.0,16.43726159
1748054700000,107886.0,107886.0,107700.1,107796.6,33.31444791
1748055600000,107796.6,108112.0,107752.2,108049.5,66.98334369
1748056500000,108049.6,108329.1,108010.0,108317.8,33.98984554
1748057400000,108316.1,108371.9,108124.0,108182.1,31.43236398
1748058300000,108182.0,108370.0,108102.0,108370.0,38.77619232
1748059200000,108370.0,108411.2,108304.3,108348.0,31.56957631
1748060100000,108348.0,108500.0,108336.1,108441.7,58.39646509
1748061000000,108441.7,108569.5,108400.0,108500.1,58.89060426
1748061900000,108500.0,108581.8,108457.8,108497.9,41.87095656
1748062800000,108497.9,108533.9,108282.0,108351.2,69.95788446
