策略,方向,入场时间,出场时间,入场价,出场价,初始止损,最终止损,目标价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,收益率,入场前权益,出场后权益,出场原因,持仓小时,备注
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,做多,2025-06-25 20:00,2025-06-29 20:00,107141.01,108417.36,103993.71,104562.17,116582.91,97498.32,10,20%,200.00,2000.00,21.81,2.18%,1000.00,1021.81,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,做多,2025-07-11 04:00,2025-07-14 11:30,113237.42,120562.60,110791.68,117100.97,120574.66,103046.05,10,20%,204.36,2043.63,130.09,12.73%,1021.81,1151.90,目标止盈,79.50,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,做多,2025-07-14 12:00,2025-07-14 23:45,120813.98,119781.36,118002.03,119793.34,129249.83,109940.72,10,20%,230.38,2303.81,-21.99,-1.91%,1151.90,1129.92,跟踪止损,11.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,做空,2025-08-02 04:00,2025-08-06 04:00,113259.67,113587.86,116499.88,115886.22,103539.06,123453.04,10,20%,225.98,2259.84,-8.81,-0.78%,1129.92,1121.11,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,做多,2025-08-10 12:00,2025-08-11 21:00,118530.45,119473.39,116228.47,119485.34,125436.39,107862.71,10,20%,224.22,2242.21,15.59,1.39%,1121.11,1136.69,跟踪止损,33.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,做多,2025-08-14 04:00,2025-08-14 18:45,122784.48,120794.38,119749.77,120806.46,131888.61,111733.87,10,20%,227.34,2273.39,-39.10,-3.44%,1136.69,1097.59,跟踪止损,14.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,做空,2025-08-18 12:00,2025-08-22 12:00,115245.77,112926.19,117718.35,115031.19,107828.04,125617.89,10,20%,219.52,2195.18,42.01,3.83%,1097.59,1139.60,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,做空,2025-08-26 08:00,2025-08-30 08:00,110062.99,108346.63,113553.49,111755.06,99591.49,119968.66,10,20%,227.92,2279.20,33.28,2.92%,1139.60,1172.88,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,做多,2025-09-12 08:00,2025-09-16 08:00,115449.44,115303.27,113234.06,114006.00,122095.59,105058.99,10,20%,234.58,2345.76,-5.31,-0.45%,1172.88,1167.57,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,做多,2025-09-17 04:00,2025-09-18 02:45,116775.68,114720.18,114731.65,114731.65,122907.76,106265.87,10,20%,233.51,2335.14,-43.42,-3.72%,1167.57,1124.15,初始止损,22.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
