策略,方向,入场时间,出场时间,入场价,出场价,初始止损,最终止损,目标价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,收益率,入场前权益,出场后权益,出场原因,持仓小时,备注
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做多,2025-06-25 20:00,2025-06-29 20:00,107141.01,108417.36,103993.71,104562.17,116582.91,95087.65,8,15%,150.00,1200.00,13.09,1.31%,1000.00,1013.09,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做多,2025-07-11 04:00,2025-07-14 11:30,113237.42,120562.60,110791.68,117100.97,120574.66,100498.21,8,15%,151.96,1215.71,77.39,7.64%,1013.09,1090.48,目标止盈,79.50,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做多,2025-07-14 12:00,2025-07-14 23:45,120813.98,119781.36,118002.03,119793.34,129249.83,107222.41,8,15%,163.57,1308.57,-12.49,-1.15%,1090.48,1077.99,跟踪止损,11.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做空,2025-08-02 04:00,2025-08-06 04:00,113259.67,113587.86,116499.88,115886.22,103539.06,126001.39,8,15%,161.70,1293.59,-5.04,-0.47%,1077.99,1072.94,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做多,2025-08-10 12:00,2025-08-11 21:00,118530.45,119473.39,116228.47,119485.34,125436.39,105195.78,8,15%,160.94,1287.53,8.95,0.83%,1072.94,1081.89,跟踪止损,33.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做多,2025-08-14 04:00,2025-08-14 18:45,122784.48,120794.38,119749.77,120806.46,131888.61,108971.22,8,15%,162.28,1298.27,-22.33,-2.06%,1081.89,1059.56,跟踪止损,14.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做空,2025-08-18 12:00,2025-08-22 12:00,115245.77,112926.19,117718.35,115031.19,107828.04,128210.92,8,15%,158.93,1271.48,24.33,2.30%,1059.56,1083.90,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做空,2025-08-26 08:00,2025-08-30 08:00,110062.99,108346.63,113553.49,111755.06,99591.49,122445.08,8,15%,162.58,1300.68,18.99,1.75%,1083.90,1102.89,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做多,2025-09-12 08:00,2025-09-16 08:00,115449.44,115303.27,113234.06,114006.00,122095.59,102461.38,8,15%,165.43,1323.47,-3.00,-0.27%,1102.89,1099.89,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做多,2025-09-17 04:00,2025-09-18 02:45,116775.68,114720.18,114731.65,114731.65,122907.76,103638.41,8,15%,164.98,1319.87,-24.54,-2.23%,1099.89,1075.35,初始止损,22.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做空,2025-09-22 16:00,2025-09-24 22:45,112447.95,113379.49,114437.35,113368.16,106479.78,125098.35,8,15%,161.30,1290.42,-11.99,-1.11%,1075.35,1063.36,跟踪止损,54.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做空,2025-09-26 04:00,2025-09-29 07:00,109315.87,112060.55,112049.35,112049.35,101115.42,121613.90,8,15%,159.50,1276.04,-33.33,-3.13%,1063.36,1030.03,初始止损,75.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做多,2025-09-30 04:00,2025-10-03 02:45,114217.82,120493.90,112121.78,117683.62,120505.95,101368.32,8,15%,154.51,1236.04,66.65,6.47%,1030.03,1096.68,目标止盈,70.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做多,2025-10-03 04:00,2025-10-05 18:00,120788.48,122537.70,118176.46,122549.95,128624.52,107199.77,8,15%,164.50,1316.02,17.73,1.62%,1096.68,1114.41,跟踪止损,62.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做空,2025-10-11 04:00,2025-10-11 05:15,116584.14,104315.93,120677.02,114812.40,104305.50,129699.86,8,15%,167.16,1337.30,139.46,12.51%,1114.41,1253.87,目标止盈,1.25,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做空,2025-10-11 08:00,2025-10-15 08:00,112764.82,112993.30,119248.40,117611.77,93314.09,125450.86,8,15%,188.08,1504.65,-4.55,-0.36%,1253.87,1249.32,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做多,2025-10-27 08:00,2025-10-29 04:00,114519.85,112824.93,111657.13,112836.21,123108.02,101636.37,8,15%,187.40,1499.18,-23.68,-1.90%,1249.32,1225.64,跟踪止损,44.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做空,2025-10-31 00:00,2025-11-04 00:00,107645.83,105712.17,111626.17,110390.77,95704.81,119755.99,8,15%,183.85,1470.77,24.96,2.04%,1225.64,1250.60,时间退出,96.00,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做空,2025-11-04 16:00,2025-11-05 23:30,104433.86,103535.39,108153.85,103525.03,93273.88,116182.66,8,15%,187.59,1500.72,11.42,0.91%,1250.60,1262.02,跟踪止损,31.50,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做空,2025-11-18 04:00,2025-11-21 22:45,91642.03,85447.40,95520.46,85438.86,80006.75,101951.76,8,15%,189.30,1514.42,100.91,8.00%,1262.02,1362.93,跟踪止损,90.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做空,2025-12-02 00:00,2025-12-02 21:45,84628.44,87733.85,87725.08,87725.08,75338.50,94149.14,8,15%,204.44,1635.51,-61.68,-4.53%,1362.93,1301.25,初始止损,21.75,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向下跌破40根低点
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,做多,2026-01-04 12:00,2026-01-07 00:30,91203.72,92366.09,89271.82,92375.33,96999.41,80943.30,8,15%,195.19,1561.49,18.33,1.41%,1301.25,1319.58,跟踪止损,60.50,4H唐奇安趋势_L40_EMA180_ADX22_S2.4 向上突破40根高点
