策略,杠杆,保证金比例,交易数,多单,空单,胜率,全年收益,最终权益,最大回撤,月内最大回撤,PF,平均单笔,平均盈利,平均亏损,最大单笔盈利,最大单笔亏损,最大连亏,强平,样本外交易,样本外收益,样本外回撤,样本外PF,平均持仓小时
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_20%_T3_3.0R_96H,10,0.20,39,18,21,46.15%,59.14%,1591.42,26.52%,16.22%,1.46,15.16,103.78,-60.79,294.72,-147.70,5,0,14,12.61%,26.52%,1.24,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_20%_T3_3.0R_96H,8,0.20,39,18,21,46.15%,47.26%,1472.56,21.67%,13.13%,1.51,12.12,78.14,-44.47,221.14,-102.57,5,0,14,10.77%,21.67%,1.27,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_15%_T3_3.0R_96H,10,0.15,39,18,21,46.15%,44.26%,1442.61,20.43%,12.34%,1.52,11.35,72.13,-40.75,204.05,-92.73,5,0,14,10.26%,20.43%,1.28,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_15%_T3_3.0R_96H,8,0.15,39,18,21,46.15%,35.26%,1352.60,16.60%,9.96%,1.55,9.04,55.05,-30.40,155.42,-66.37,5,0,14,8.58%,16.60%,1.31,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_20%_T3_3.0R_96H,5,0.20,39,18,21,46.15%,29.27%,1292.66,13.98%,8.35%,1.58,7.50,44.43,-24.15,125.19,-51.24,5,0,14,7.36%,13.98%,1.32,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_10x_10%_T3_3.0R_96H,10,0.10,39,18,21,46.15%,29.27%,1292.66,13.98%,8.35%,1.58,7.50,44.43,-24.15,125.19,-51.24,5,0,14,7.36%,13.98%,1.32,57.46
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_10x_20%_T3_3.0R_96H,10,0.20,41,18,23,48.78%,60.04%,1600.44,28.49%,16.22%,1.43,14.64,99.43,-66.10,302.95,-151.83,5,0,15,10.17%,28.49%,1.18,56.62
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_8x_10%_T3_3.0R_96H,8,0.10,39,18,21,46.15%,23.30%,1232.97,11.30%,6.71%,1.60,5.97,34.41,-18.40,96.70,-37.92,5,0,14,6.05%,11.30%,1.34,57.46
4H唐奇安趋势_L40_EMA180_ADX22_S2.4_5x_15%_T3_3.0R_96H,5,0.15,39,18,21,46.15%,21.81%,1218.11,10.62%,6.30%,1.61,5.59,32.00,-17.04,89.85,-34.86,5,0,14,5.71%,10.62%,1.35,57.46
4H唐奇安趋势_L40_EMA120_ADX22_S2.4_8x_20%_T3_3.0R_96H,8,0.20,41,18,23,48.78%,47.97%,1479.73,23.34%,13.13%,1.47,11.70,74.51,-48.12,226.09,-104.87,5,0,15,8.88%,23.34%,1.20,56.62
