??,????,????,???,???,???,???,???,???%,R??,???,????,??
??,2025-06-06 04:00,2025-06-06 23:15,101911.21,105300.82,105290.29,95153.05,-10.34,-1.03,-1.00,0.31,止损,EMA120下方跌破40根低点
??,2025-06-09 20:00,2025-06-13 08:00,107772.48,105039.86,105050.37,113216.69,-10.32,-1.04,-1.00,0.39,止损,EMA120上方突破40根高点
??,2025-06-21 04:00,2025-06-25 17:00,103297.87,106849.51,106838.83,96215.95,-10.11,-1.03,-1.00,0.29,止损,EMA120下方跌破40根低点
??,2025-06-25 20:00,2025-07-11 05:15,107201.92,114979.71,103307.28,114991.21,19.08,1.97,2.00,0.28,止盈,EMA120上方突破40根高点
??,2025-07-11 08:00,2025-08-03 02:30,116027.60,112299.08,112310.31,123462.18,-10.22,-1.03,-1.00,0.30,止损,EMA120上方突破40根高点
??,2025-08-03 04:00,2025-08-07 18:15,112218.88,115845.12,115833.54,104989.56,-10.12,-1.03,-1.00,0.31,止损,EMA120下方跌破40根低点
??,2025-08-10 12:00,2025-08-14 08:15,118513.95,124221.61,115653.91,124234.03,18.91,1.95,2.00,0.41,止盈,EMA120上方突破40根高点
??,2025-08-18 12:00,2025-08-26 08:30,115308.47,109192.51,118371.91,109181.59,19.34,1.96,2.00,0.36,止盈,EMA120下方跌破40根低点
??,2025-08-30 00:00,2025-09-05 15:15,108379.16,112636.01,112624.75,99887.98,-10.35,-1.03,-1.00,0.26,止损,EMA120下方跌破40根低点
??,2025-09-11 00:00,2025-09-25 21:00,113863.49,110839.55,110850.63,119889.19,-10.37,-1.04,-1.00,0.37,止损,EMA120上方突破40根高点
??,2025-09-26 04:00,2025-09-29 21:30,109363.16,112748.36,112737.09,102615.31,-10.21,-1.04,-1.00,0.32,止损,EMA120下方跌破40根低点
??,2025-10-01 20:00,2025-10-04 00:00,116793.68,122672.74,113848.02,122685.00,19.07,1.96,2.00,0.40,止盈,EMA120上方突破40根高点
??,2025-10-04 04:00,2025-10-10 23:30,122676.87,118967.59,118979.49,130071.62,-10.30,-1.04,-1.00,0.32,止损,EMA120上方突破40根高点
??,2025-10-27 08:00,2025-10-30 00:00,114567.16,111087.52,111098.63,121504.21,-10.19,-1.04,-1.00,0.32,止损,EMA120上方突破40根高点
??,2025-10-31 00:00,2025-11-14 12:30,107705.43,97881.25,112622.41,97871.46,19.25,1.98,2.00,0.20,止盈,EMA120下方跌破40根低点
??,2025-11-14 16:00,2025-11-21 03:00,97144.68,86312.80,102564.94,86304.17,19.68,1.98,2.00,0.17,止盈,EMA120下方跌破40根低点
??,2025-11-21 04:00,2025-11-28 21:45,86914.01,92493.07,92483.83,75774.37,-10.31,-1.02,-1.00,0.16,止损,EMA120下方跌破40根低点
??,2025-12-02 00:00,2025-12-02 22:15,84678.63,88510.00,88501.15,77033.59,-10.28,-1.02,-1.00,0.23,止损,EMA120下方跌破40根低点
??,2025-12-15 08:00,2026-01-04 08:00,88154.18,91153.71,91144.59,82173.36,-10.25,-1.03,-1.00,0.30,止损,EMA120下方跌破40根低点
??,2026-01-04 12:00,2026-01-14 06:00,91245.02,95950.70,88887.39,95960.29,19.21,1.96,2.00,0.39,止盈,EMA120上方突破40根高点
??,2026-01-14 08:00,2026-01-19 08:00,95421.34,92235.55,92244.77,101774.47,-10.34,-1.03,-1.00,0.30,止损,EMA120上方突破40根高点
??,2026-01-21 00:00,2026-01-29 23:00,90672.03,85367.84,93328.39,85359.31,19.46,1.96,2.00,0.33,止盈,EMA120下方跌破40根低点
??,2026-01-30 00:00,2026-02-01 02:30,84942.50,77638.73,88598.28,77630.96,19.96,1.98,2.00,0.22,止盈,EMA120下方跌破40根低点
??,2026-02-01 04:00,2026-02-05 23:15,77748.32,67165.30,83043.19,67158.58,20.45,1.99,2.00,0.14,止盈,EMA120下方跌破40根低点
??,2026-02-06 00:00,2026-03-05 01:00,67481.25,73536.18,73528.82,55386.11,-10.64,-1.01,-1.00,0.12,止损,EMA120下方跌破40根低点
??,2026-03-05 04:00,2026-03-06 22:30,73625.76,68578.99,68585.85,83705.58,-10.56,-1.02,-1.00,0.15,止损,EMA120上方突破40根高点
??,2026-03-13 20:00,2026-03-19 23:45,72235.22,68852.39,68859.28,78987.11,-10.53,-1.02,-1.00,0.22,止损,EMA120上方突破40根高点
??,2026-03-22 20:00,2026-03-23 19:00,68215.28,71108.36,71101.25,62443.33,-10.46,-1.03,-1.00,0.25,止损,EMA120下方跌破40根低点
??,2026-03-27 20:00,2026-04-06 17:15,66701.23,70097.11,70090.10,59923.49,-10.31,-1.02,-1.00,0.20,止损,EMA120下方跌破40根低点
??,2026-04-06 20:00,2026-04-14 06:15,69620.56,74086.21,67384.03,74093.62,19.61,1.96,2.00,0.32,止盈,EMA120上方突破40根高点
??,2026-04-14 08:00,2026-05-04 10:30,74425.64,80264.50,71502.20,80272.53,20.06,1.97,2.00,0.27,止盈,EMA120上方突破40根高点
??,2026-05-04 12:00,2026-05-16 15:00,80324.73,78166.06,78173.87,84626.45,-10.80,-1.04,-1.00,0.38,止损,EMA120上方突破40根高点
??,2026-05-16 16:00,2026-05-27 17:00,78378.46,75767.88,80884.44,73366.51,10.38,1.01,1.04,0.32,数据结束,EMA120下方跌破40根低点
