策略,方向,入场时间,出场时间,入场,出场,止损,止盈,强平,名义仓位,保证金,净盈亏U,出场原因,权益,持仓小时,备注
趋势突破_10x_8%_3R_不限时,做空,2025-06-06 04:00,2025-06-06 22:30,101862.01,104594.37,104583.91,93696.31,111029.59,800.00,80.00,-22.27,止损,977.73,18.50,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做多,2025-06-09 20:00,2025-06-13 08:00,107710.77,105508.86,105519.41,114284.86,98016.80,782.18,78.22,-16.76,止损,960.97,84.00,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做空,2025-06-21 04:00,2025-06-25 00:45,103240.87,106103.70,106093.09,94684.23,112532.55,768.77,76.88,-22.10,止损,938.87,92.75,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做多,2025-06-25 20:00,2025-07-11 05:15,107141.01,116571.25,103993.71,116582.91,97498.32,751.09,75.11,65.33,止盈,1004.19,369.25,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做多,2025-07-11 08:00,2025-08-02 06:30,116004.60,112938.70,112950.00,125168.41,105564.19,803.35,80.34,-22.02,止损,982.17,526.50,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做空,2025-08-03 04:00,2025-08-04 22:00,112172.88,115091.57,115080.06,103451.34,122268.44,785.74,78.57,-21.24,止损,960.93,42.00,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做多,2025-08-10 12:00,2025-08-18 09:45,118530.45,116216.85,116228.47,125436.39,107862.71,768.74,76.87,-15.77,止损,945.16,189.75,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做空,2025-08-18 12:00,2025-08-30 04:00,115245.77,107838.82,117718.35,107828.04,125617.89,756.13,75.61,47.87,止盈,993.03,280.00,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做多,2025-09-11 00:00,2025-09-22 14:00,113828.38,111408.00,111419.14,121056.11,103583.83,794.42,79.44,-17.68,止损,975.35,278.00,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做空,2025-09-26 04:00,2025-09-29 07:00,109315.87,112060.55,112049.35,101115.42,119154.30,780.28,78.03,-20.38,止损,954.97,75.00,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做多,2025-10-01 20:00,2025-10-04 00:30,116740.27,123792.04,114385.56,123804.42,106233.65,763.97,76.40,45.36,止盈,1000.33,52.50,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做多,2025-10-04 04:00,2025-10-10 01:00,122608.66,119618.60,119630.56,131542.96,111573.88,800.26,80.03,-20.31,止损,980.02,141.00,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做多,2025-10-27 08:00,2025-10-29 23:30,114519.85,111645.96,111657.13,123108.02,104213.06,784.02,78.40,-20.45,止损,959.57,63.50,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做空,2025-10-31 00:00,2025-11-14 19:30,107645.83,95714.38,111626.17,95704.81,117333.96,767.66,76.77,84.36,止盈,1043.94,355.50,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做空,2025-11-18 04:00,2026-01-14 06:00,91642.03,95530.02,95520.46,80006.75,99889.82,835.15,83.51,-36.28,止损,1007.65,1370.00,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做多,2026-01-14 08:00,2026-01-19 08:00,95403.74,92762.54,92771.82,103299.49,86817.40,806.12,80.61,-23.11,止损,984.54,120.00,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做空,2026-01-21 04:00,2026-01-30 09:30,89670.93,82792.59,91966.47,82784.31,97741.32,787.63,78.76,59.66,止盈,1044.20,221.50,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做空,2026-01-30 12:00,2026-02-05 06:00,82623.54,72096.93,86134.81,72089.72,90059.66,835.36,83.54,105.65,止盈,1149.84,138.00,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做空,2026-02-05 12:00,2026-03-17 09:00,71187.78,75680.21,75672.64,57733.20,77594.68,919.88,91.99,-59.00,止损,1090.85,957.00,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做空,2026-03-22 20:00,2026-03-23 19:00,68175.28,70531.63,70524.58,61127.39,74311.06,872.68,87.27,-31.05,止损,1059.80,23.00,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做空,2026-03-27 20:00,2026-04-06 08:00,66653.23,69422.06,69415.12,58367.57,72652.03,847.84,84.78,-36.09,止损,1023.71,228.00,4H跌破40根低点
趋势突破_10x_8%_3R_不限时,做多,2026-04-06 20:00,2026-04-07 22:00,69599.36,67760.16,67766.93,75096.63,63335.42,818.97,81.90,-22.45,止损,1001.26,26.00,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做多,2026-04-08 08:00,2026-05-04 09:45,71911.89,79721.28,69306.10,79729.25,65439.82,801.01,80.10,86.14,止盈,1087.40,625.75,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做多,2026-05-04 12:00,2026-05-04 18:15,80292.73,78518.83,78526.68,85590.87,73066.38,869.92,86.99,-20.08,止损,1067.32,6.25,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做多,2026-05-05 12:00,2026-05-16 14:45,80856.68,78564.63,78572.49,87709.28,73579.58,853.86,85.39,-25.05,止损,1042.28,266.75,4H突破40根高点
趋势突破_10x_8%_3R_不限时,做空,2026-05-16 16:00,2026-05-29 09:30,78325.57,73510.05,80354.53,72238.66,85374.87,833.82,83.38,50.46,数据结束,1092.73,305.50,4H跌破40根低点
