策略,杠杆,保证金比例,止盈R,最长持仓小时,交易,胜率,收益,最大回撤,盈亏比,平均盈利U,平均亏损U,最大连亏,强平,测试段交易,测试段收益,测试段回撤,测试段平均盈利U
趋势突破_10x_5%_3R_不限时,10,0.0500,3.0,,26,30.77,6.32,8.23,1.23,42.87,-15.54,4,0,13,2.23,15.06,55.05
摸底摸顶_10x_5%_2.5R_4H,10,0.0500,2.5,4.0,28,35.71,-0.47,1.97,0.92,5.13,-3.11,4,0,13,-0.84,1.87,3.15
摸底摸顶_10x_5%_2R_4H,10,0.0500,2.0,4.0,28,35.71,-0.68,1.97,0.88,4.91,-3.11,4,0,13,-0.84,1.87,3.15
摸底摸顶_10x_5%_3R_4H,10,0.0500,3.0,4.0,28,35.71,-0.75,1.97,0.87,4.84,-3.11,4,0,13,-0.84,1.87,3.15
摸底摸顶_10x_5%_1.5R_4H,10,0.0500,1.5,4.0,28,35.71,-0.94,1.87,0.83,4.65,-3.10,4,0,13,-0.86,1.87,3.10
趋势突破_10x_8%_3R_不限时,10,0.0800,3.0,,26,30.77,9.27,12.92,1.21,68.10,-25.12,4,0,13,2.76,23.15,88.41
摸底摸顶_15x_5%_2.5R_4H,15,0.0500,2.5,4.0,28,35.71,-0.73,2.95,0.91,7.65,-4.65,4,0,13,-1.26,2.79,4.71
摸底摸顶_10x_5%_1.2R_4H,10,0.0500,1.2,4.0,28,35.71,-1.49,1.97,0.73,4.09,-3.10,4,0,13,-0.95,1.87,2.87
摸底摸顶_10x_8%_2.5R_4H,10,0.0800,2.5,4.0,28,35.71,-0.78,3.14,0.91,8.16,-4.96,4,0,13,-1.34,2.97,5.02
摸底摸顶_15x_5%_2R_4H,15,0.0500,2.0,4.0,28,35.71,-1.05,2.95,0.87,7.32,-4.65,4,0,13,-1.26,2.79,4.71
摸底摸顶_15x_5%_3R_4H,15,0.0500,3.0,4.0,28,35.71,-1.14,2.95,0.86,7.22,-4.65,4,0,13,-1.26,2.79,4.71
摸底摸顶_10x_5%_1R_4H,10,0.0500,1.0,4.0,28,35.71,-1.83,2.04,0.67,3.73,-3.09,4,0,13,-1.01,1.87,2.72
摸底摸顶_10x_8%_2R_4H,10,0.0800,2.0,4.0,28,35.71,-1.12,3.14,0.87,7.80,-4.96,4,0,13,-1.34,2.97,5.02
摸底摸顶_15x_5%_1.5R_4H,15,0.0500,1.5,4.0,28,35.71,-1.43,2.80,0.83,6.93,-4.64,4,0,13,-1.29,2.79,4.63
摸底摸顶_10x_8%_3R_4H,10,0.0800,3.0,4.0,28,35.71,-1.22,3.14,0.86,7.70,-4.96,4,0,13,-1.34,2.97,5.02
摸底摸顶_10x_8%_1.5R_4H,10,0.0800,1.5,4.0,28,35.71,-1.52,2.98,0.83,7.39,-4.95,4,0,13,-1.38,2.97,4.94
摸底摸顶_10x_5%_2.5R_8H,10,0.0500,2.5,8.0,28,50.00,-1.27,2.95,0.84,4.91,-5.82,4,0,13,-1.50,2.95,5.11
摸底摸顶_10x_10%_2.5R_4H,10,0.1000,2.5,4.0,28,35.71,-1.00,3.92,0.91,10.15,-6.20,4,0,13,-1.68,3.70,6.26
摸底摸顶_20x_5%_2.5R_4H,20,0.0500,2.5,4.0,28,35.71,-1.00,3.92,0.91,10.15,-6.20,4,0,13,-1.68,3.70,6.26
摸底摸顶_10x_5%_1.2R_8H,10,0.0500,1.2,8.0,28,53.57,-2.20,2.51,0.71,3.67,-5.93,3,0,13,-1.24,2.51,4.07
摸底摸顶_10x_5%_0.8R_4H,10,0.0500,0.8,4.0,28,35.71,-2.38,2.52,0.57,3.17,-3.08,4,0,13,-1.07,1.87,2.56
摸底摸顶_10x_5%_2R_8H,10,0.0500,2.0,8.0,28,50.00,-1.52,2.98,0.81,4.74,-5.82,4,0,13,-1.65,2.98,4.81
摸底摸顶_10x_10%_2R_4H,10,0.1000,2.0,4.0,28,35.71,-1.43,3.92,0.87,9.71,-6.19,4,0,13,-1.68,3.70,6.26
摸底摸顶_20x_5%_2R_4H,20,0.0500,2.0,4.0,28,35.71,-1.43,3.92,0.87,9.71,-6.19,4,0,13,-1.68,3.70,6.26
摸底摸顶_15x_5%_1.2R_4H,15,0.0500,1.2,4.0,28,35.71,-2.24,2.95,0.73,6.09,-4.63,4,0,13,-1.42,2.79,4.29
摸底摸顶_10x_10%_3R_4H,10,0.1000,3.0,4.0,28,35.71,-1.55,3.92,0.86,9.58,-6.18,4,0,13,-1.68,3.70,6.26
摸底摸顶_20x_5%_3R_4H,20,0.0500,3.0,4.0,28,35.71,-1.55,3.92,0.86,9.58,-6.18,4,0,13,-1.68,3.70,6.26
摸底摸顶_10x_8%_1.2R_4H,10,0.0800,1.2,4.0,28,35.71,-2.39,3.14,0.73,6.49,-4.93,4,0,13,-1.52,2.97,4.58
摸底摸顶_10x_10%_1.5R_4H,10,0.1000,1.5,4.0,28,35.71,-1.92,3.72,0.83,9.19,-6.18,4,0,13,-1.72,3.70,6.16
摸底摸顶_20x_5%_1.5R_4H,20,0.0500,1.5,4.0,28,35.71,-1.92,3.72,0.83,9.19,-6.18,4,0,13,-1.72,3.70,6.16
摸底摸顶_10x_5%_1.5R_8H,10,0.0500,1.5,8.0,28,50.00,-2.15,3.13,0.73,4.26,-5.80,4,0,13,-1.53,3.13,5.07
摸底摸顶_10x_12%_2.5R_4H,10,0.1200,2.5,4.0,28,35.71,-1.23,4.69,0.91,12.13,-7.42,4,0,13,-2.02,4.43,7.50
摸底摸顶_15x_8%_2.5R_4H,15,0.0800,2.5,4.0,28,35.71,-1.23,4.69,0.91,12.13,-7.42,4,0,13,-2.02,4.43,7.50
摸底摸顶_10x_5%_1R_8H,10,0.0500,1.0,8.0,28,53.57,-2.64,2.64,0.66,3.37,-5.92,3,0,13,-1.58,2.64,3.47
摸底摸顶_15x_5%_1R_4H,15,0.0500,1.0,4.0,28,35.71,-2.75,3.05,0.67,5.56,-4.61,4,0,13,-1.52,2.79,4.07
摸底摸顶_10x_5%_1.2R_12H,10,0.0500,1.2,12.0,28,42.86,-2.74,2.81,0.66,4.44,-5.04,3,0,13,-1.54,2.81,4.84
摸底摸顶_10x_5%_3R_8H,10,0.0500,3.0,8.0,28,46.43,-2.70,2.95,0.67,4.23,-5.47,4,0,13,-1.48,2.95,5.16
摸底摸顶_10x_8%_1R_4H,10,0.0800,1.0,4.0,28,35.71,-2.93,3.25,0.67,5.92,-4.92,4,0,13,-1.62,2.97,4.33
摸底摸顶_10x_12%_2R_4H,10,0.1200,2.0,4.0,28,35.71,-1.74,4.69,0.87,11.60,-7.41,4,0,13,-2.02,4.43,7.50
