策略,信号族,方向,入场时间,出场时间,入场价,出场价,初始止损,最终止损,目标价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
HLHB趋势确认_ATR风控,HLHB趋势确认,做空,2025-06-02 20:00,2025-06-03 08:00,103997.10,105996.78,105986.18,105986.18,98427.68,135196.23,3,10%,100.00,300.00,-6.07,1000.00,993.93,初始止损,12.00,RSI10下穿50+EMA5下穿EMA10+ADX确认
HLHB趋势确认_ATR风控,HLHB趋势确认,做多,2025-07-18 00:00,2025-07-22 09:15,118940.89,116272.42,116284.04,116284.04,126380.07,83258.63,3,10%,99.39,298.18,-6.98,993.93,986.94,初始止损,105.25,RSI10上穿50+EMA5上穿EMA10+ADX确认
HLHB趋势确认_ATR风控,HLHB趋势确认,做多,2025-08-13 00:00,2025-08-14 14:00,119905.89,122021.85,117777.72,122034.06,125864.76,83934.12,3,10%,98.69,296.08,4.93,986.94,991.87,保本/锁盈止损,38.00,RSI10上穿50+EMA5上穿EMA10+ADX确认
HLHB趋势确认_ATR风控,HLHB趋势确认,做空,2025-08-15 00:00,2025-08-22 22:15,118202.08,115478.10,120937.60,115466.55,110542.61,153662.70,3,10%,99.19,297.56,6.56,991.87,998.43,保本/锁盈止损,190.25,RSI10下穿50+EMA5下穿EMA10+ADX确认
HLHB趋势确认_ATR风控,HLHB趋势确认,做多,2025-08-23 00:00,2025-08-25 03:30,116344.93,113842.43,113853.81,113853.81,123320.08,81441.45,3,10%,99.84,299.53,-6.74,998.43,991.69,初始止损,51.50,RSI10上穿50+EMA5上穿EMA10+ADX确认
HLHB趋势确认_ATR风控,HLHB趋势确认,做多,2025-09-16 16:00,2025-09-19 22:45,115799.58,115788.00,114381.59,115799.58,119769.96,81059.71,3,10%,99.17,297.51,-0.33,991.69,991.37,保本/锁盈止损,78.75,RSI10上穿50+EMA5上穿EMA10+ADX确认
HLHB趋势确认_ATR风控,HLHB趋势确认,做多,2025-10-22 00:00,2025-10-22 05:15,113395.84,110273.10,110284.12,110284.12,122108.64,79377.09,3,10%,99.14,297.41,-8.48,991.37,982.88,初始止损,5.25,RSI10上穿50+EMA5上穿EMA10+ADX确认
HLHB趋势确认_ATR风控,HLHB趋势确认,做多,2025-12-03 00:00,2025-12-05 21:15,90809.08,90800.00,88138.03,90809.08,98288.01,63566.36,3,10%,98.29,294.87,-0.32,982.88,982.56,保本/锁盈止损,69.25,RSI10上穿50+EMA5上穿EMA10+ADX确认
HLHB趋势确认_ATR风控,HLHB趋势确认,做多,2025-12-08 04:00,2025-12-08 06:00,91397.14,89208.00,89216.92,89216.92,97501.76,63978.00,3,10%,98.26,294.77,-7.35,982.56,975.21,初始止损,2.00,RSI10上穿50+EMA5上穿EMA10+ADX确认
HLHB趋势确认_ATR风控,HLHB趋势确认,做空,2026-02-09 20:00,2026-02-13 23:30,68893.01,68899.90,72266.40,68893.01,59447.53,89560.91,3,10%,97.52,292.56,-0.32,975.21,974.89,保本/锁盈止损,99.50,RSI10下穿50+EMA5下穿EMA10+ADX确认
HLHB趋势确认_ATR风控,HLHB趋势确认,做空,2026-02-27 20:00,2026-03-01 02:45,66085.39,66092.00,68378.15,66085.39,59665.66,85911.01,3,10%,97.49,292.47,-0.32,974.89,974.56,保本/锁盈止损,30.75,RSI10下穿50+EMA5下穿EMA10+ADX确认
HLHB趋势确认_ATR风控,HLHB趋势确认,做多,2026-05-15 00:00,2026-05-15 21:30,81250.02,79592.25,79600.21,79600.21,85869.50,56875.02,3,10%,97.46,292.37,-6.25,974.56,968.31,初始止损,21.50,RSI10上穿50+EMA5上穿EMA10+ADX确认
