策略,信号族,方向,入场时间,出场时间,入场价,出场价,初始止损,最终止损,目标价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
三策略组合_ATR风控,布林反转,做多,2025-05-31 04:00,2025-06-04 22:00,104612.66,104602.20,102964.54,104612.66,107908.90,73228.86,3,10%,100.00,300.00,-0.33,1000.00,999.67,保本/锁盈止损,114.00,跌破布林下轨后收回+RSI/MFI低位+下影线
三策略组合_ATR风控,趋势突破增强,做多,2025-06-10 08:00,2025-06-12 11:15,110231.02,107916.51,107927.30,107927.30,118294.05,77161.72,3,10%,99.97,299.90,-6.59,999.67,993.08,初始止损,51.25,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,布林反转,做多,2025-06-13 16:00,2025-06-17 00:30,104835.68,107818.83,103338.72,104835.68,107829.62,73384.98,3,10%,99.31,297.92,8.18,993.08,1001.25,目标止盈,80.50,跌破布林下轨后收回+RSI/MFI低位+下影线
三策略组合_ATR风控,趋势突破增强,做空,2025-06-21 04:00,2025-06-24 02:30,103240.87,103251.20,105856.27,103240.87,94087.00,134213.14,3,10%,100.13,300.38,-0.33,1001.25,1000.92,保本/锁盈止损,70.50,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做多,2025-07-03 04:00,2025-07-04 22:00,109638.46,107561.92,107572.68,107572.68,116868.71,76746.92,3,10%,100.09,300.28,-5.98,1000.92,994.94,初始止损,42.00,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,布林反转,做空,2025-07-10 12:00,2025-07-11 00:15,111008.70,112181.53,112170.31,112170.31,108685.48,144311.31,3,10%,99.49,298.48,-3.45,994.94,991.48,初始止损,12.25,突破布林上轨后收回+RSI/MFI高位+上影线
三策略组合_ATR风控,趋势突破增强,做多,2025-07-11 04:00,2025-07-14 11:30,113237.42,121075.39,110994.55,115480.30,121087.49,79266.20,3,10%,99.15,297.44,20.28,991.48,1011.76,目标止盈,79.50,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做多,2025-07-14 12:00,2025-07-15 10:00,120813.98,118223.54,118235.36,118235.36,129839.15,84569.79,3,10%,101.18,303.53,-6.81,1011.76,1004.96,初始止损,22.00,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,HLHB趋势确认,做多,2025-07-18 00:00,2025-07-22 09:15,118940.89,116272.42,116284.04,116284.04,126380.07,83258.63,3,10%,100.50,301.49,-7.06,1004.96,997.89,初始止损,105.25,RSI10上穿50+EMA5上穿EMA10+ADX确认
三策略组合_ATR风控,布林反转,做多,2025-08-01 20:00,2025-08-02 02:15,115255.52,113804.91,113816.30,113816.30,118133.98,80678.87,3,10%,99.79,299.37,-4.07,997.89,993.83,初始止损,6.25,跌破布林下轨后收回+RSI/MFI低位+下影线
三策略组合_ATR风控,趋势突破增强,做空,2025-08-02 04:00,2025-08-07 18:30,113259.67,116242.42,116230.80,116230.80,102860.74,147237.57,3,10%,99.38,298.15,-8.15,993.83,985.67,初始止损,134.50,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做多,2025-08-10 12:00,2025-08-12 05:30,118530.45,118518.60,116419.32,118530.45,125919.42,82971.32,3,10%,98.57,295.70,-0.33,985.67,985.35,保本/锁盈止损,41.50,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,HLHB趋势确认,做多,2025-08-13 00:00,2025-08-14 14:00,119905.89,122021.85,117777.72,122034.06,125864.76,83934.12,3,10%,98.53,295.60,4.92,985.35,990.27,保本/锁盈止损,38.00,RSI10上穿50+EMA5上穿EMA10+ADX确认
三策略组合_ATR风控,HLHB趋势确认,做空,2025-08-15 00:00,2025-08-22 22:15,118202.08,115478.10,120937.60,115466.55,110542.61,153662.70,3,10%,99.03,297.08,6.55,990.27,996.82,保本/锁盈止损,190.25,RSI10下穿50+EMA5下穿EMA10+ADX确认
三策略组合_ATR风控,HLHB趋势确认,做多,2025-08-23 00:00,2025-08-25 03:30,116344.93,113842.43,113853.81,113853.81,123320.08,81441.45,3,10%,99.68,299.05,-6.73,996.82,990.09,初始止损,51.50,RSI10上穿50+EMA5上穿EMA10+ADX确认
三策略组合_ATR风控,趋势突破增强,做空,2025-08-26 08:00,2025-08-28 14:45,110062.99,113274.86,113263.53,113263.53,98861.10,143081.89,3,10%,99.01,297.03,-8.97,990.09,981.12,初始止损,54.75,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做空,2025-08-30 00:00,2025-09-02 22:00,108322.97,111459.74,111448.59,111448.59,97383.28,140819.86,3,10%,98.11,294.34,-8.82,981.12,972.30,初始止损,94.00,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,布林反转,做空,2025-09-04 04:00,2025-09-04 23:15,112133.29,109299.25,113555.77,112133.29,109288.32,145773.27,3,10%,97.23,291.69,7.08,972.30,979.38,目标止盈,19.25,突破布林上轨后收回+RSI/MFI高位+上影线
三策略组合_ATR风控,布林反转,做空,2025-09-12 12:00,2025-09-13 02:45,115131.59,116480.77,116469.13,116469.13,112456.51,149671.06,3,10%,97.94,293.82,-3.74,979.38,975.65,初始止损,14.75,突破布林上轨后收回+RSI/MFI高位+上影线
三策略组合_ATR风控,趋势突破增强,做多,2025-09-13 04:00,2025-09-15 21:00,116586.66,114527.47,114538.92,114538.92,123753.74,81610.66,3,10%,97.56,292.69,-5.46,975.65,970.19,初始止损,65.00,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,HLHB趋势确认,做多,2025-09-16 16:00,2025-09-19 22:45,115799.58,115788.00,114381.59,115799.58,119769.96,81059.71,3,10%,97.02,291.06,-0.32,970.19,969.87,保本/锁盈止损,78.75,RSI10上穿50+EMA5上穿EMA10+ADX确认
三策略组合_ATR风控,趋势突破增强,做空,2025-09-26 04:00,2025-09-29 06:30,109315.87,111833.65,111822.47,111822.47,100542.76,142110.63,3,10%,96.99,290.96,-7.00,969.87,962.87,初始止损,74.50,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,布林反转,做空,2025-09-30 12:00,2025-10-01 03:45,114316.57,114328.00,115327.30,114316.57,112295.10,148611.54,3,10%,96.29,288.86,-0.32,962.87,962.55,保本/锁盈止损,15.75,突破布林上轨后收回+RSI/MFI高位+上影线
三策略组合_ATR风控,趋势突破增强,做多,2025-10-01 20:00,2025-10-05 10:30,116740.27,124285.96,114580.81,118899.74,124298.39,81718.19,3,10%,96.26,288.77,18.37,962.55,980.92,目标止盈,86.50,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做多,2025-10-05 16:00,2025-10-07 23:00,124715.57,122158.97,122171.19,122171.19,133620.89,87300.90,3,10%,98.09,294.28,-6.32,980.92,974.60,初始止损,55.00,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,HLHB趋势确认,做多,2025-10-22 00:00,2025-10-22 05:15,113395.84,110273.10,110284.12,110284.12,122108.64,79377.09,3,10%,97.46,292.38,-8.34,974.60,966.26,初始止损,5.25,RSI10上穿50+EMA5上穿EMA10+ADX确认
三策略组合_ATR风控,趋势突破增强,做多,2025-10-27 08:00,2025-10-29 23:30,114519.85,111883.54,111894.73,111894.73,123707.76,80163.90,3,10%,96.63,289.88,-6.96,966.26,959.30,初始止损,63.50,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做空,2025-10-31 00:00,2025-11-06 02:15,107645.83,104006.69,111295.38,103996.29,94872.44,139939.58,3,10%,95.93,287.79,9.45,959.30,968.74,保本/锁盈止损,146.25,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,布林反转,做多,2025-11-15 00:00,2025-11-15 07:00,96761.58,94112.55,94121.97,94121.97,102040.80,67733.10,3,10%,96.87,290.62,-8.24,968.74,960.50,初始止损,7.00,跌破布林下轨后收回+RSI/MFI低位+下影线
三策略组合_ATR风控,趋势突破增强,做空,2025-11-18 04:00,2025-11-24 06:00,91642.03,88094.84,95198.03,88086.04,79196.04,119134.65,3,10%,96.05,288.15,10.87,960.50,971.37,保本/锁盈止损,146.00,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,布林反转,做空,2025-11-27 20:00,2025-11-28 22:30,91311.07,93094.76,93085.45,93085.45,87762.30,118704.39,3,10%,97.14,291.41,-5.99,971.37,965.38,初始止损,26.50,突破布林上轨后收回+RSI/MFI高位+上影线
三策略组合_ATR风控,趋势突破增强,做空,2025-12-02 00:00,2025-12-02 18:45,84628.44,87476.47,87467.72,87467.72,74690.93,110016.97,3,10%,96.54,289.61,-10.04,965.38,955.34,初始止损,18.75,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,HLHB趋势确认,做多,2025-12-03 00:00,2025-12-05 21:15,90809.08,90800.00,88138.03,90809.08,98288.01,63566.36,3,10%,95.53,286.60,-0.32,955.34,955.03,保本/锁盈止损,69.25,RSI10上穿50+EMA5上穿EMA10+ADX确认
三策略组合_ATR风控,HLHB趋势确认,做多,2025-12-08 04:00,2025-12-08 06:00,91397.14,89208.00,89216.92,89216.92,97501.76,63978.00,3,10%,95.50,286.51,-7.15,955.03,947.88,初始止损,2.00,RSI10上穿50+EMA5上穿EMA10+ADX确认
三策略组合_ATR风控,布林反转,做多,2025-12-15 08:00,2025-12-15 22:45,88123.31,88114.50,86900.05,88123.31,90569.83,61686.32,3,10%,94.79,284.36,-0.31,947.88,947.57,保本/锁盈止损,14.75,跌破布林下轨后收回+RSI/MFI低位+下影线
三策略组合_ATR风控,趋势突破增强,做空,2025-12-16 04:00,2025-12-17 22:45,86087.69,88812.76,88803.88,88803.88,76581.03,111914.00,3,10%,94.76,284.27,-9.29,947.57,938.28,初始止损,42.75,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做多,2026-01-04 12:00,2026-01-07 23:15,91203.72,91194.60,89432.05,91203.72,97404.55,63842.60,3,10%,93.83,281.48,-0.31,938.28,937.97,保本/锁盈止损,83.25,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做多,2026-01-14 08:00,2026-01-19 08:00,95403.74,92981.05,92990.35,92990.35,103850.59,66782.62,3,10%,93.80,281.39,-7.42,937.97,930.55,初始止损,120.00,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,布林反转,做多,2026-01-20 08:00,2026-01-20 13:00,92597.26,91623.59,91632.75,91632.75,94526.27,64818.08,3,10%,93.05,279.16,-3.21,930.55,927.33,初始止损,5.00,跌破布林下轨后收回+RSI/MFI低位+下影线
三策略组合_ATR风控,布林反转,做多,2026-01-20 20:00,2026-01-20 23:00,91190.32,90156.56,90165.57,90165.57,93239.80,63833.22,3,10%,92.73,278.20,-3.43,927.33,923.90,初始止损,3.00,跌破布林下轨后收回+RSI/MFI低位+下影线
三策略组合_ATR风控,布林反转,做多,2026-01-21 00:00,2026-01-21 01:45,90647.06,89554.51,89563.47,89563.47,92814.26,63452.94,3,10%,92.39,277.17,-3.62,923.90,920.29,初始止损,1.75,跌破布林下轨后收回+RSI/MFI低位+下影线
三策略组合_ATR风控,趋势突破增强,做空,2026-01-21 04:00,2026-01-22 03:15,89670.93,89679.90,91775.93,89670.93,82303.42,116572.21,3,10%,92.03,276.09,-0.30,920.29,919.98,保本/锁盈止损,23.25,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做空,2026-01-26 04:00,2026-01-26 22:30,86456.25,88385.31,88376.48,88376.48,79735.47,112393.13,3,10%,92.00,276.00,-6.44,919.98,913.55,初始止损,18.50,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做空,2026-01-30 00:00,2026-02-02 11:15,84893.01,75364.54,87617.58,82168.44,75357.01,110360.91,3,10%,91.35,274.06,30.50,913.55,944.05,目标止盈,83.25,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做空,2026-02-05 12:00,2026-02-06 21:15,71187.78,67082.77,75299.49,67076.07,56796.78,92544.11,3,10%,94.40,283.21,16.06,944.05,960.11,保本/锁盈止损,33.25,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,HLHB趋势确认,做空,2026-02-09 20:00,2026-02-13 23:30,68893.01,68899.90,72266.40,68893.01,59447.53,89560.91,3,10%,96.01,288.03,-0.32,960.11,959.79,保本/锁盈止损,99.50,RSI10下穿50+EMA5下穿EMA10+ADX确认
三策略组合_ATR风控,布林反转,做多,2026-02-24 08:00,2026-02-24 09:15,64631.26,63376.78,63383.12,63383.12,67127.55,45241.88,3,10%,95.98,287.94,-5.87,959.79,953.92,初始止损,1.25,跌破布林下轨后收回+RSI/MFI低位+下影线
三策略组合_ATR风控,趋势突破增强,做空,2026-02-24 12:00,2026-02-25 09:15,63555.84,65953.52,65946.93,65946.93,55187.05,82622.60,3,10%,95.39,286.17,-11.09,953.92,942.83,初始止损,21.25,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,HLHB趋势确认,做空,2026-02-27 20:00,2026-03-01 02:45,66085.39,66092.00,68378.15,66085.39,59665.66,85911.01,3,10%,94.28,282.85,-0.31,942.83,942.52,保本/锁盈止损,30.75,RSI10下穿50+EMA5下穿EMA10+ADX确认
三策略组合_ATR风控,趋势突破增强,做多,2026-03-13 20:00,2026-03-18 21:00,72207.22,72200.00,69687.75,72207.22,81025.37,50545.05,3,10%,94.25,282.75,-0.31,942.52,942.21,保本/锁盈止损,121.00,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做空,2026-03-22 20:00,2026-03-23 19:00,68175.28,70336.40,70329.36,70329.36,60636.00,88627.87,3,10%,94.22,282.66,-9.25,942.21,932.96,初始止损,23.00,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做空,2026-03-27 20:00,2026-04-01 14:30,66653.23,69192.44,69185.52,69185.52,57790.23,86649.20,3,10%,93.30,279.89,-10.95,932.96,922.01,初始止损,114.50,4H跌破40根低点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做多,2026-04-06 20:00,2026-04-07 22:00,69599.36,67912.27,67919.06,67919.06,75480.39,48719.55,3,10%,92.20,276.60,-6.98,922.01,915.03,初始止损,26.00,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做多,2026-04-08 08:00,2026-04-20 05:45,71911.89,74293.71,69522.64,74301.14,80274.25,50338.32,3,10%,91.50,274.51,8.81,915.03,923.85,保本/锁盈止损,285.75,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做多,2026-04-23 00:00,2026-04-27 23:15,79241.02,76899.20,76906.89,76906.89,87410.48,55468.72,3,10%,92.38,277.15,-8.46,923.85,915.38,初始止损,119.25,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做多,2026-05-04 12:00,2026-05-04 18:00,80292.73,78665.31,78673.17,78673.17,85961.17,56204.91,3,10%,91.54,274.61,-5.84,915.38,909.54,初始止损,6.00,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,趋势突破增强,做多,2026-05-05 12:00,2026-05-14 00:00,80856.68,78754.29,78762.17,78762.17,88187.48,56599.68,3,10%,90.95,272.86,-7.36,909.54,902.18,初始止损,204.00,4H突破40根高点+趋势/成交量确认
三策略组合_ATR风控,HLHB趋势确认,做多,2026-05-15 00:00,2026-05-15 21:30,81250.02,79592.25,79600.21,79600.21,85869.50,56875.02,3,10%,90.22,270.65,-5.79,902.18,896.39,初始止损,21.50,RSI10上穿50+EMA5上穿EMA10+ADX确认
三策略组合_ATR风控,布林反转,做多,2026-05-16 20:00,2026-05-18 07:30,78063.11,77031.98,77039.68,77039.68,80109.95,54644.17,3,10%,89.64,268.92,-3.82,896.39,892.57,初始止损,35.50,跌破布林下轨后收回+RSI/MFI低位+下影线
