策略,信号族,方向,入场时间,出场时间,入场价,出场价,初始止损,最终止损,目标价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
布林反转_ATR风控,布林反转,做多,2025-05-31 04:00,2025-06-04 22:00,104612.66,104602.20,102964.54,104612.66,107908.90,73228.86,3,10%,100.00,300.00,-0.33,1000.00,999.67,保本/锁盈止损,114.00,跌破布林下轨后收回+RSI/MFI低位+下影线
布林反转_ATR风控,布林反转,做多,2025-06-13 16:00,2025-06-17 00:30,104835.68,107818.83,103338.72,104835.68,107829.62,73384.98,3,10%,99.97,299.90,8.23,999.67,1007.90,目标止盈,80.50,跌破布林下轨后收回+RSI/MFI低位+下影线
布林反转_ATR风控,布林反转,做空,2025-07-10 12:00,2025-07-11 00:15,111008.70,112181.53,112170.31,112170.31,108685.48,144311.31,3,10%,100.79,302.37,-3.50,1007.90,1004.40,初始止损,12.25,突破布林上轨后收回+RSI/MFI高位+上影线
布林反转_ATR风控,布林反转,做多,2025-08-01 20:00,2025-08-02 02:15,115255.52,113804.91,113816.30,113816.30,118133.98,80678.87,3,10%,100.44,301.32,-4.09,1004.40,1000.31,初始止损,6.25,跌破布林下轨后收回+RSI/MFI低位+下影线
布林反转_ATR风控,布林反转,做多,2025-08-26 08:00,2025-08-29 15:15,110085.01,110074.00,108334.25,110085.01,113586.51,77059.51,3,10%,100.03,300.09,-0.33,1000.31,999.98,保本/锁盈止损,79.25,跌破布林下轨后收回+RSI/MFI低位+下影线
布林反转_ATR风控,布林反转,做多,2025-08-30 08:00,2025-09-02 20:45,108346.63,108335.80,106702.20,108346.63,111635.51,75842.64,3,10%,100.00,299.99,-0.33,999.98,999.65,保本/锁盈止损,84.75,跌破布林下轨后收回+RSI/MFI低位+下影线
布林反转_ATR风控,布林反转,做空,2025-09-04 04:00,2025-09-04 23:15,112133.29,109299.25,113555.77,112133.29,109288.32,145773.27,3,10%,99.96,299.89,7.28,999.65,1006.93,目标止盈,19.25,突破布林上轨后收回+RSI/MFI高位+上影线
布林反转_ATR风控,布林反转,做空,2025-09-12 12:00,2025-09-13 02:45,115131.59,116480.77,116469.13,116469.13,112456.51,149671.06,3,10%,100.69,302.08,-3.84,1006.93,1003.09,初始止损,14.75,突破布林上轨后收回+RSI/MFI高位+上影线
布林反转_ATR风控,布林反转,做空,2025-09-30 12:00,2025-10-01 03:45,114316.57,114328.00,115327.30,114316.57,112295.10,148611.54,3,10%,100.31,300.93,-0.33,1003.09,1002.76,保本/锁盈止损,15.75,突破布林上轨后收回+RSI/MFI高位+上影线
布林反转_ATR风控,布林反转,做多,2025-11-04 20:00,2025-11-05 00:15,104547.25,102708.84,102719.11,102719.11,108203.55,73183.08,3,10%,100.28,300.83,-5.59,1002.76,997.17,初始止损,4.25,跌破布林下轨后收回+RSI/MFI低位+下影线
