策略,信号族,方向,入场时间,出场时间,入场价,出场价,初始止损,最终止损,目标价,强平价,杠杆,保证金比例,保证金U,名义仓位U,盈亏U,入场前权益,出场后权益,出场原因,持仓小时,备注
趋势突破增强_ATR风控,趋势突破增强,做多,2025-06-10 08:00,2025-06-12 11:15,110231.02,107916.51,107927.30,107927.30,118294.05,77161.72,3,10%,100.00,300.00,-6.60,1000.00,993.40,初始止损,51.25,4H突破40根高点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做空,2025-06-21 04:00,2025-06-24 02:30,103240.87,103251.20,105856.27,103240.87,94087.00,134213.14,3,10%,99.34,298.02,-0.33,993.40,993.08,保本/锁盈止损,70.50,4H跌破40根低点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做多,2025-07-03 04:00,2025-07-04 22:00,109638.46,107561.92,107572.68,107572.68,116868.71,76746.92,3,10%,99.31,297.92,-5.94,993.08,987.14,初始止损,42.00,4H突破40根高点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做多,2025-07-11 04:00,2025-07-14 11:30,113237.42,121075.39,110994.55,115480.30,121087.49,79266.20,3,10%,98.71,296.14,20.19,987.14,1007.33,目标止盈,79.50,4H突破40根高点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做多,2025-07-14 12:00,2025-07-15 10:00,120813.98,118223.54,118235.36,118235.36,129839.15,84569.79,3,10%,100.73,302.20,-6.78,1007.33,1000.55,初始止损,22.00,4H突破40根高点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做空,2025-08-02 04:00,2025-08-07 18:30,113259.67,116242.42,116230.80,116230.80,102860.74,147237.57,3,10%,100.06,300.17,-8.21,1000.55,992.34,初始止损,134.50,4H跌破40根低点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做多,2025-08-10 12:00,2025-08-12 05:30,118530.45,118518.60,116419.32,118530.45,125919.42,82971.32,3,10%,99.23,297.70,-0.33,992.34,992.01,保本/锁盈止损,41.50,4H突破40根高点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做多,2025-08-14 04:00,2025-08-14 20:30,122784.48,119990.00,120002.00,120002.00,132523.14,85949.13,3,10%,99.20,297.60,-7.07,992.01,984.95,初始止损,16.50,4H突破40根高点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做空,2025-08-18 12:00,2025-08-22 22:15,115245.77,115257.30,117513.27,115245.77,107309.53,149819.51,3,10%,98.49,295.48,-0.33,984.95,984.62,保本/锁盈止损,106.25,4H跌破40根低点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做空,2025-08-26 08:00,2025-08-28 14:45,110062.99,113274.86,113263.53,113263.53,98861.10,143081.89,3,10%,98.46,295.39,-8.92,984.62,975.70,初始止损,54.75,4H跌破40根低点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做空,2025-08-30 00:00,2025-09-02 22:00,108322.97,111459.74,111448.59,111448.59,97383.28,140819.86,3,10%,97.57,292.71,-8.77,975.70,966.93,初始止损,94.00,4H跌破40根低点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做多,2025-09-13 04:00,2025-09-15 21:00,116586.66,114527.47,114538.92,114538.92,123753.74,81610.66,3,10%,96.69,290.08,-5.41,966.93,961.52,初始止损,65.00,4H突破40根高点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做多,2025-09-17 04:00,2025-09-18 02:15,116775.68,114889.51,114901.00,114901.00,123337.03,81742.97,3,10%,96.15,288.46,-4.95,961.52,956.57,初始止损,22.25,4H突破40根高点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做多,2025-09-18 12:00,2025-09-20 03:00,117558.65,115274.67,115286.20,115286.20,125512.24,82291.06,3,10%,95.66,286.97,-5.86,956.57,950.71,初始止损,39.00,4H突破40根高点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做空,2025-09-26 04:00,2025-09-29 06:30,109315.87,111833.65,111822.47,111822.47,100542.76,142110.63,3,10%,95.07,285.21,-6.86,950.71,943.86,初始止损,74.50,4H跌破40根低点+趋势/成交量确认
趋势突破增强_ATR风控,趋势突破增强,做多,2025-10-01 20:00,2025-10-05 10:30,116740.27,124285.96,114580.81,118899.74,124298.39,81718.19,3,10%,94.39,283.16,18.01,943.86,961.87,目标止盈,86.50,4H突破40根高点+趋势/成交量确认
