策略,杠杆,保证金比例,交易数,胜率,全年收益,最终权益,最大回撤,后1/3交易数,后1/3收益,平均盈利,平均亏损,盈亏因子,目标止盈,初始止损,保本锁盈止损,强平,最大连亏,平均持仓小时
趋势突破增强_ATR风控,3x,10%,38,18.42%,-7.09%,929.13,7.76%,12,-0.60%,16.44,-6.00,0.62,3,24,11,0,11,76.55
趋势突破增强_ATR风控,3x,20%,38,18.42%,-14.02%,859.84,15.22%,12,-1.41%,31.32,-11.59,0.61,3,24,11,0,11,76.55
趋势突破增强_ATR风控,3x,30%,38,18.42%,-20.74%,792.60,22.35%,12,-2.39%,44.68,-16.78,0.60,3,24,11,0,11,76.55
趋势突破增强_ATR风控,5x,10%,38,18.42%,-11.73%,882.73,12.77%,12,-1.12%,26.53,-9.77,0.61,3,24,11,0,11,76.55
趋势突破增强_ATR风控,5x,20%,38,18.42%,-22.93%,770.72,24.64%,12,-2.76%,48.80,-18.42,0.60,3,24,11,0,11,76.55
趋势突破增强_ATR风控,5x,30%,38,18.42%,-33.42%,665.81,35.50%,12,-4.89%,67.12,-25.94,0.58,3,24,11,0,11,76.55
趋势突破增强_ATR风控,8x,10%,38,18.42%,-18.52%,814.76,20.01%,12,-2.04%,40.39,-15.10,0.60,3,24,11,0,11,76.55
趋势突破增强_ATR风控,8x,20%,38,18.42%,-35.42%,645.80,37.55%,12,-5.37%,70.34,-27.31,0.58,3,24,11,0,11,76.55
趋势突破增强_ATR风控,8x,30%,38,18.42%,-50.15%,498.54,52.37%,12,-9.75%,91.23,-36.78,0.56,3,24,11,0,11,76.55
HLHB趋势确认_ATR风控,3x,10%,12,16.67%,-3.17%,968.31,3.17%,3,-0.71%,5.74,-4.32,0.27,0,6,6,0,8,58.67
HLHB趋势确认_ATR风控,3x,20%,12,16.67%,-6.27%,937.27,6.27%,3,-1.41%,11.37,-8.55,0.27,0,6,6,0,8,58.67
HLHB趋势确认_ATR风控,3x,30%,12,16.67%,-9.31%,906.89,9.31%,3,-2.12%,16.88,-12.69,0.27,0,6,6,0,8,58.67
HLHB趋势确认_ATR风控,5x,10%,12,16.67%,-5.25%,947.55,5.25%,3,-1.18%,9.51,-7.15,0.27,0,6,6,0,8,58.67
HLHB趋势确认_ATR风控,5x,20%,12,16.67%,-10.31%,896.90,10.31%,3,-2.35%,18.69,-14.05,0.27,0,6,6,0,8,58.67
HLHB趋势确认_ATR风控,5x,30%,12,16.67%,-15.19%,848.06,15.19%,3,-3.53%,27.54,-20.70,0.27,0,6,6,0,8,58.67
HLHB趋势确认_ATR风控,8x,10%,12,16.67%,-8.31%,916.94,8.31%,3,-1.88%,15.06,-11.32,0.27,0,6,6,0,8,58.67
HLHB趋势确认_ATR风控,8x,20%,12,16.67%,-16.15%,838.51,16.15%,3,-3.76%,29.27,-22.00,0.27,0,6,6,0,8,58.67
HLHB趋势确认_ATR风控,8x,30%,12,16.67%,-23.54%,764.65,23.54%,3,-5.63%,42.64,-32.06,0.27,0,6,6,0,8,58.67
布林反转_ATR风控,3x,10%,28,25.00%,-0.94%,990.59,2.51%,8,-0.59%,9.38,-3.57,0.87,7,15,5,0,5,28.11
布林反转_ATR风控,3x,20%,28,25.00%,-1.97%,980.26,4.98%,8,-1.21%,18.60,-7.14,0.87,7,15,5,0,5,28.11
布林反转_ATR风控,3x,30%,28,25.00%,-3.10%,969.05,7.41%,8,-1.87%,27.66,-10.69,0.86,7,15,5,0,5,28.11
布林反转_ATR风控,5x,10%,28,25.00%,-1.62%,983.81,4.16%,8,-1.00%,15.54,-5.95,0.87,7,15,5,0,5,28.11
布林反转_ATR风控,5x,20%,28,25.00%,-3.49%,965.12,8.21%,8,-2.10%,30.65,-11.88,0.86,7,15,5,0,5,28.11
布林反转_ATR风控,5x,30%,28,25.00%,-5.59%,944.11,12.15%,8,-3.28%,45.27,-17.75,0.85,7,15,5,0,5,28.11
布林反转_ATR风控,8x,10%,28,25.00%,-2.71%,972.88,6.61%,8,-1.65%,24.66,-9.51,0.86,7,15,5,0,5,28.11
布林反转_ATR风控,8x,20%,28,25.00%,-6.03%,939.65,12.93%,8,-3.53%,48.13,-18.92,0.85,7,15,5,0,5,28.11
布林反转_ATR风控,8x,30%,28,25.00%,-9.89%,901.12,19.03%,8,-5.63%,70.28,-28.13,0.83,7,15,5,0,5,28.11
三策略组合_ATR风控,3x,10%,61,18.03%,-10.79%,892.06,11.83%,18,-2.35%,12.82,-4.98,0.57,5,36,19,0,13,62.09
三策略组合_ATR风控,3x,20%,61,18.03%,-20.79%,792.13,22.58%,18,-4.85%,24.45,-9.54,0.56,5,36,19,0,13,62.09
三策略组合_ATR风控,3x,30%,61,18.03%,-29.98%,700.22,32.28%,18,-7.48%,34.95,-13.68,0.56,5,36,19,0,13,62.09
三策略组合_ATR风控,5x,10%,61,18.03%,-17.55%,824.54,19.11%,18,-4.00%,20.71,-8.06,0.56,5,36,19,0,13,62.09
三策略组合_ATR风控,5x,20%,61,18.03%,-32.86%,671.35,35.29%,18,-8.38%,38.20,-14.98,0.56,5,36,19,0,13,62.09
三策略组合_ATR风控,5x,30%,61,18.03%,-46.01%,539.95,48.79%,18,-13.05%,52.80,-20.82,0.56,5,36,19,0,13,62.09
三策略组合_ATR风控,8x,10%,61,18.03%,-27.00%,729.97,29.16%,18,-6.59%,31.57,-12.35,0.56,5,36,19,0,13,62.09
三策略组合_ATR风控,8x,20%,61,18.03%,-48.38%,516.18,51.20%,18,-14.01%,55.40,-21.86,0.56,5,36,19,0,13,62.09
三策略组合_ATR风控,8x,30%,61,18.03%,-64.60%,353.95,67.28%,18,-21.92%,72.77,-28.93,0.55,5,36,19,0,13,62.09
