策略,方向,入场时间,出场时间,信号价,入场价,出场价,结构止损,实际止损,止盈,强平价,名义仓位,保证金,净盈亏U,本次收益率%,R倍数,持仓小时,出场原因,入场前权益,出场后权益,备注
原高胜率_立即入场_0.25R,做多,2025-08-01 20:00,2025-08-01 20:30,115244.10,115255.52,115543.35,114058.00,114058.00,115554.91,110069.03,1000.00,50.00,1.50,0.15,0.24,0.50,止盈,1000.00,1001.50,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2025-08-02 00:00,2025-08-02 02:15,115312.60,115324.13,113835.82,113847.20,113847.20,115693.36,110134.55,1001.50,50.07,-13.92,-1.39,-1.01,2.25,止损,1001.50,987.58,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做空,2025-08-11 16:00,2025-08-11 16:00,121545.80,121533.75,121342.31,122348.00,122348.00,121330.18,127002.76,987.58,49.38,0.57,0.06,0.24,0.00,止盈,987.58,988.14,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做多,2025-08-30 08:00,2025-08-30 09:45,108335.70,108346.63,107394.96,107405.70,107405.70,108581.87,103471.04,988.14,49.41,-9.66,-0.98,-1.01,1.75,止损,988.14,978.48,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2025-08-30 12:00,2025-08-30 16:15,108386.30,108397.24,108666.56,107276.50,107276.50,108677.42,103519.36,978.48,48.92,1.45,0.15,0.24,4.25,止盈,978.48,979.93,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做空,2025-09-12 12:00,2025-09-12 20:00,115143.00,115131.59,114855.89,116280.30,116280.30,114844.41,120312.51,979.93,49.00,1.37,0.14,0.24,8.00,止盈,979.93,981.30,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做多,2025-11-04 20:00,2025-11-04 21:15,104536.90,104547.25,103555.44,103565.80,103565.80,104792.62,99842.63,981.30,49.07,-10.29,-1.05,-1.01,1.25,止损,981.30,971.01,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2025-11-05 08:00,2025-11-05 11:15,101436.40,101446.54,102075.95,98888.10,98888.10,102086.15,96881.45,971.01,48.55,5.05,0.52,0.25,3.25,止盈,971.01,976.07,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2025-11-05 12:00,2025-11-05 21:30,102085.70,102096.01,102879.50,98920.90,98920.90,102889.79,97501.69,976.07,48.80,6.51,0.67,0.25,9.50,止盈,976.07,982.58,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2025-11-08 00:00,2025-11-08 00:15,100753.10,100760.18,101140.10,99200.00,99200.00,101150.22,96225.97,982.58,49.13,2.72,0.28,0.24,0.25,止盈,982.58,985.30,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2025-11-15 00:00,2025-11-15 00:30,96751.90,96761.58,97317.21,94500.10,94500.10,97326.94,92407.30,985.30,49.26,4.67,0.47,0.25,0.50,止盈,985.30,989.97,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2025-11-17 08:00,2025-11-17 08:15,94224.40,94233.82,94553.25,92918.30,92918.30,94562.70,89993.30,989.97,49.50,2.36,0.24,0.24,0.25,止盈,989.97,992.33,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2025-12-16 08:00,2025-12-16 11:30,86390.90,86399.64,85461.35,85469.90,85469.90,86632.07,82511.66,992.33,49.62,-11.76,-1.19,-1.01,3.50,止损,992.33,980.57,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做空,2026-01-06 08:00,2026-01-06 08:30,93817.80,93808.52,93575.30,94778.80,94778.80,93565.95,98029.90,980.57,49.03,1.46,0.15,0.24,0.50,止盈,980.57,982.03,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做空,2026-01-07 00:00,2026-01-07 00:00,93605.00,93595.64,93398.41,94421.90,94421.90,93389.07,97807.44,982.03,49.10,1.09,0.11,0.24,0.00,止盈,982.03,983.11,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做空,2026-01-15 08:00,2026-01-15 08:15,96914.60,96904.81,96665.68,97900.00,97900.00,96656.01,101265.52,983.11,49.16,1.44,0.15,0.24,0.25,止盈,983.11,984.56,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做多,2026-02-02 16:00,2026-02-02 16:15,76604.20,76611.56,77039.47,74869.10,74869.10,77047.18,73164.04,984.56,49.23,4.51,0.46,0.25,0.25,止盈,984.56,989.07,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2026-02-24 20:00,2026-02-24 20:15,63194.30,63200.52,63269.87,62897.80,62897.80,63276.20,60356.50,989.07,49.45,0.10,0.01,0.23,0.25,止盈,989.07,989.17,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做空,2026-03-16 16:00,2026-03-16 16:30,73428.80,73421.46,73171.71,74449.70,74449.70,73164.40,76725.42,989.17,49.46,2.38,0.24,0.24,0.50,止盈,989.17,991.54,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做空,2026-03-17 00:00,2026-03-17 05:30,73240.90,73233.48,74507.35,74499.90,74499.90,72916.87,76528.98,991.54,49.58,-18.25,-1.84,-1.01,5.50,止损,991.54,973.29,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做空,2026-03-17 12:00,2026-03-17 12:30,74438.80,74431.36,74050.65,75983.80,75983.80,74043.25,77780.77,973.29,48.66,4.01,0.41,0.25,0.50,止盈,973.29,977.30,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做空,2026-04-09 00:00,2026-04-09 08:15,71265.30,71258.17,70860.68,72876.50,72876.50,70853.59,74464.79,977.30,48.87,4.48,0.46,0.25,8.25,止盈,977.30,981.78,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做空,2026-04-10 08:00,2026-04-10 16:00,71759.00,71751.92,71410.52,73146.10,73146.10,71403.38,74980.76,981.78,49.09,3.69,0.38,0.24,8.00,止盈,981.78,985.47,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做空,2026-04-14 20:00,2026-04-14 21:30,74350.10,74342.57,74877.49,74870.00,74870.00,74210.71,77687.98,985.47,49.27,-8.08,-0.82,-1.01,1.50,止损,985.47,977.39,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做空,2026-05-05 16:00,2026-05-05 16:30,80821.90,80813.72,80697.74,81309.90,81309.90,80689.67,84450.34,977.39,48.87,0.43,0.04,0.23,0.50,止盈,977.39,977.82,4H触及唐奇安60上轨后收阴反转
原高胜率_立即入场_0.25R,做多,2026-05-18 16:00,2026-05-18 19:30,77036.90,77044.60,77164.09,76535.80,76535.80,77171.80,73577.60,977.82,48.89,0.54,0.06,0.23,3.50,止盈,977.82,978.36,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2026-05-23 12:00,2026-05-23 15:30,75605.00,75612.66,75172.48,75180.00,75180.00,75720.83,72210.09,978.36,48.92,-6.67,-0.68,-1.02,3.50,止损,978.36,971.68,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2026-05-23 20:00,2026-05-23 21:00,74753.90,74761.38,74868.96,74301.10,74301.10,74876.44,71397.11,971.68,48.58,0.43,0.04,0.23,1.00,止盈,971.68,972.11,4H触及唐奇安60下轨后收阳反转
原高胜率_立即入场_0.25R,做多,2026-05-28 16:00,2026-05-28 22:00,73457.40,73464.75,72670.83,72678.10,72678.10,73661.41,70158.83,972.11,48.61,-11.47,-1.18,-1.01,6.00,止损,972.11,960.64,4H触及唐奇安60下轨后收阳反转
