策略,方向,入场时间,出场时间,信号价,入场价,出场价,结构止损,实际止损,止盈,强平价,名义仓位,保证金,净盈亏U,本次收益率%,R倍数,持仓小时,出场原因,入场前权益,出场后权益,备注
高收益_最优价30m_1.5R,做空,2025-08-11 16:00,2025-08-11 19:15,121545.80,121656.36,120630.96,122348.00,122348.00,120618.90,127130.90,2000.00,100.00,14.87,1.49,1.48,3.25,止盈,1000.00,1014.87,4H触及唐奇安60上轨后收阴反转
高收益_最优价30m_1.5R,做多,2025-08-30 08:15,2025-08-30 09:45,108335.70,108199.57,107394.96,107405.70,107405.70,109390.39,103330.59,2029.73,101.49,-17.12,-1.69,-1.01,1.50,止损,1014.87,997.75,4H触及唐奇安60下轨后收阳反转
高收益_最优价30m_1.5R,做空,2025-09-12 12:00,2025-09-13 02:30,115143.00,115237.41,116291.93,116280.30,116280.30,113673.08,120423.10,1995.50,99.77,-20.27,-2.03,-1.01,14.50,止损,997.75,977.48,4H触及唐奇安60上轨后收阴反转
高收益_最优价30m_1.5R,做多,2025-11-04 20:00,2025-11-04 21:15,104536.90,104385.42,103555.44,103565.80,103565.80,105614.84,99688.07,1954.97,97.75,-17.49,-1.79,-1.01,1.25,止损,977.48,959.99,4H触及唐奇安60下轨后收阳反转
高收益_最优价30m_1.5R,做多,2025-11-05 08:00,2025-11-10 04:00,101436.40,101258.27,104803.03,98888.10,98888.10,104813.51,96701.64,1919.99,96.00,65.26,6.80,1.50,116.00,止盈,959.99,1025.25,4H触及唐奇安60下轨后收阳反转
高收益_最优价30m_1.5R,做多,2025-11-15 00:00,2025-11-15 04:30,96751.90,96562.83,94490.65,94500.10,94500.10,99656.93,92217.51,2050.51,102.53,-46.03,-4.49,-1.00,4.50,止损,1025.25,979.22,4H触及唐奇安60下轨后收阳反转
高收益_最优价30m_1.5R,做多,2025-11-17 08:15,2025-11-17 15:45,94224.40,94072.16,95793.37,92918.30,92918.30,95802.95,89838.91,1958.44,97.92,33.86,3.46,1.49,7.50,止盈,979.22,1013.08,4H触及唐奇安60下轨后收阳反转
高收益_最优价30m_1.5R,做多,2025-12-16 08:00,2025-12-16 11:30,86390.90,86269.76,85461.35,85469.90,85469.90,87469.54,82387.62,2026.16,101.31,-21.00,-2.07,-1.01,3.50,止损,1013.08,992.08,4H触及唐奇安60下轨后收阳反转
高收益_最优价30m_1.5R,做空,2026-01-06 08:00,2026-01-07 00:30,93817.80,93908.14,92611.40,94778.80,94778.80,92602.14,98134.00,1984.15,99.21,25.43,2.56,1.49,16.50,止盈,992.08,1017.50,4H触及唐奇安60上轨后收阴反转
高收益_最优价30m_1.5R,做多,2026-02-24 20:00,2026-02-24 21:00,63194.30,63091.04,62891.51,62897.80,62897.80,63380.89,60251.94,2035.01,101.75,-8.47,-0.83,-1.03,1.00,止损,1017.50,1009.04,4H触及唐奇安60下轨后收阳反转
高收益_最优价30m_1.5R,做空,2026-03-16 16:00,2026-03-16 21:30,73428.80,73531.16,74457.14,74449.70,74449.70,72153.35,76840.06,2018.07,100.90,-27.44,-2.72,-1.01,5.50,止损,1009.04,981.59,4H触及唐奇安60上轨后收阴反转
高收益_最优价30m_1.5R,做空,2026-03-17 00:00,2026-03-17 05:30,73240.90,73346.71,74507.35,74499.90,74499.90,71616.93,76647.31,1963.18,98.16,-33.04,-3.37,-1.01,5.50,止损,981.59,948.55,4H触及唐奇安60上轨后收阴反转
高收益_最优价30m_1.5R,做空,2026-03-17 12:00,2026-03-18 20:30,74438.80,74550.95,72408.91,75983.80,75983.80,72401.67,77905.74,1897.09,94.85,52.64,5.55,1.49,32.50,止盈,948.55,1001.19,4H触及唐奇安60上轨后收阴反转
高收益_最优价30m_1.5R,做空,2026-04-09 00:00,2026-04-10 06:15,71265.30,71374.47,72883.79,72876.50,72876.50,69121.43,74586.32,2002.37,100.12,-44.37,-4.43,-1.00,30.25,止损,1001.19,956.82,4H触及唐奇安60上轨后收阴反转
高收益_最优价30m_1.5R,做空,2026-04-10 08:00,2026-04-10 23:15,71759.00,71865.70,73153.41,73146.10,73146.10,69945.10,75099.66,1913.64,95.68,-36.22,-3.79,-1.01,15.25,止损,956.82,920.60,4H触及唐奇安60上轨后收阴反转
高收益_最优价30m_1.5R,做多,2026-05-18 16:15,2026-05-18 20:30,77036.90,76961.81,77593.05,76535.80,76535.80,77600.81,73498.52,1841.20,92.06,13.25,1.44,1.48,4.25,止盈,920.60,933.85,4H触及唐奇安60下轨后收阳反转
高收益_最优价30m_1.5R,做多,2026-05-23 12:15,2026-05-23 15:30,75605.00,75531.09,75172.48,75180.00,75180.00,76057.73,72132.19,1867.70,93.39,-10.73,-1.15,-1.02,3.25,止损,933.85,923.12,4H触及唐奇安60下轨后收阳反转
高收益_最优价30m_1.5R,做多,2026-05-23 20:00,2026-05-23 22:15,74753.90,74676.88,75233.03,74301.10,74301.10,75240.56,71316.42,1846.24,92.31,11.90,1.29,1.48,2.25,止盈,923.12,935.02,4H触及唐奇安60下轨后收阳反转
高收益_最优价30m_1.5R,做多,2026-05-28 16:00,2026-05-28 22:00,73457.40,73371.06,72670.83,72678.10,72678.10,74410.51,70069.36,1870.04,93.50,-19.71,-2.11,-1.01,6.00,止损,935.02,915.31,4H触及唐奇安60下轨后收阳反转
