策略,方向,入场时间,出场时间,信号价,入场价,出场价,结构止损,实际止损,止盈,强平价,名义仓位,保证金,净盈亏U,本次收益率%,R倍数,持仓小时,出场原因,入场前权益,出场后权益,备注
高收益_最多持有4H,做多,2025-08-01 20:00,2025-08-01 22:00,115244.10,115255.52,114046.59,114058.00,114058.00,117051.81,110069.03,2000.00,100.00,-22.97,-2.30,-1.01,2.00,止损,1000.00,977.03,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做多,2025-08-02 00:00,2025-08-02 02:15,115312.60,115324.13,113835.82,113847.20,113847.20,117539.53,110134.55,1954.06,97.70,-27.16,-2.78,-1.01,2.25,止损,977.03,949.87,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做空,2025-08-11 16:00,2025-08-11 19:45,121545.80,121533.75,120324.39,122348.00,122348.00,120312.36,127002.76,1899.75,94.99,17.01,1.79,1.49,3.75,止盈,949.87,966.89,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做多,2025-08-30 08:00,2025-08-30 09:45,108335.70,108346.63,107394.96,107405.70,107405.70,109758.03,103471.04,1933.77,96.69,-18.91,-1.96,-1.01,1.75,止损,966.89,947.98,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做多,2025-08-30 12:00,2025-08-30 16:00,108386.30,108397.24,108455.25,107276.50,107276.50,110078.35,103519.36,1895.95,94.80,-0.88,-0.09,0.05,4.00,时间止盈止损,947.98,947.09,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做空,2025-09-12 12:00,2025-09-12 16:00,115143.00,115131.59,115071.51,116280.30,116280.30,113408.51,120312.51,1894.19,94.71,-0.91,-0.10,0.05,4.00,时间止盈止损,947.09,946.19,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做多,2025-11-04 20:00,2025-11-04 21:15,104536.90,104547.25,103555.44,103565.80,103565.80,106019.43,99842.63,1892.38,94.62,-19.84,-2.10,-1.01,1.25,止损,946.19,926.35,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做多,2025-11-05 08:00,2025-11-05 12:00,101436.40,101446.54,102075.59,98888.10,98888.10,105284.21,96881.45,1852.71,92.64,9.63,1.04,0.25,4.00,时间止盈止损,926.35,935.98,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做多,2025-11-08 00:00,2025-11-08 03:30,100753.10,100760.18,103090.13,99200.00,99200.00,103100.44,96225.97,1871.96,93.60,41.39,4.42,1.49,3.50,止盈,935.98,977.38,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做多,2025-11-15 00:00,2025-11-15 04:00,96751.90,96761.58,95729.43,94500.10,94500.10,100153.79,92407.30,1954.75,97.74,-22.80,-2.33,-0.46,4.00,时间止盈止损,977.38,954.58,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做多,2025-11-17 08:00,2025-11-17 12:00,94224.40,94233.82,95450.35,92918.30,92918.30,96207.11,89993.30,1909.16,95.46,22.73,2.38,0.92,4.00,时间止盈止损,954.58,977.31,4H触及唐奇安60下轨后收阳反转
