策略,方向,入场时间,出场时间,信号价,入场价,出场价,结构止损,实际止损,止盈,强平价,名义仓位,保证金,净盈亏U,本次收益率%,R倍数,持仓小时,出场原因,入场前权益,出场后权益,备注
高收益_立即入场_1.5R,做多,2025-08-01 20:00,2025-08-01 22:00,115244.10,115255.52,114046.59,114058.00,114058.00,117051.81,110069.03,2000.00,100.00,-22.97,-2.30,-1.01,2.00,止损,1000.00,977.03,4H触及唐奇安60下轨后收阳反转
高收益_立即入场_1.5R,做多,2025-08-02 00:00,2025-08-02 02:15,115312.60,115324.13,113835.82,113847.20,113847.20,117539.53,110134.55,1954.06,97.70,-27.16,-2.78,-1.01,2.25,止损,977.03,949.87,4H触及唐奇安60下轨后收阳反转
高收益_立即入场_1.5R,做空,2025-08-11 16:00,2025-08-11 19:45,121545.80,121533.75,120324.39,122348.00,122348.00,120312.36,127002.76,1899.75,94.99,17.01,1.79,1.49,3.75,止盈,949.87,966.89,4H触及唐奇安60上轨后收阴反转
高收益_立即入场_1.5R,做多,2025-08-30 08:00,2025-08-30 09:45,108335.70,108346.63,107394.96,107405.70,107405.70,109758.03,103471.04,1933.77,96.69,-18.91,-1.96,-1.01,1.75,止损,966.89,947.98,4H触及唐奇安60下轨后收阳反转
高收益_立即入场_1.5R,做多,2025-08-30 12:00,2025-09-01 12:15,108386.30,108397.24,107265.77,107276.50,107276.50,110078.35,103519.36,1895.95,94.80,-21.68,-2.29,-1.01,48.25,止损,947.98,926.30,4H触及唐奇安60下轨后收阳反转
高收益_立即入场_1.5R,做空,2025-09-12 12:00,2025-09-13 02:30,115143.00,115131.59,116291.93,116280.30,116280.30,113408.51,120312.51,1852.60,92.63,-20.53,-2.22,-1.01,14.50,止损,926.30,905.77,4H触及唐奇安60上轨后收阴反转
高收益_立即入场_1.5R,做多,2025-11-04 20:00,2025-11-04 21:15,104536.90,104547.25,103555.44,103565.80,103565.80,106019.43,99842.63,1811.53,90.58,-18.99,-2.10,-1.01,1.25,止损,905.77,886.78,4H触及唐奇安60下轨后收阳反转
高收益_立即入场_1.5R,做多,2025-11-05 08:00,2025-11-10 07:00,101436.40,101446.54,105273.68,98888.10,98888.10,105284.21,96881.45,1773.56,88.68,65.10,7.34,1.50,119.00,止盈,886.78,951.88,4H触及唐奇安60下轨后收阳反转
高收益_立即入场_1.5R,做多,2025-11-15 00:00,2025-11-15 04:30,96751.90,96761.58,94490.65,94500.10,94500.10,100153.79,92407.30,1903.76,95.19,-46.56,-4.89,-1.00,4.50,止损,951.88,905.32,4H触及唐奇安60下轨后收阳反转
高收益_立即入场_1.5R,做多,2025-11-17 08:00,2025-11-18 01:30,94224.40,94233.82,92909.01,92918.30,92918.30,96207.11,89993.30,1810.64,90.53,-27.25,-3.01,-1.01,17.50,止损,905.32,878.06,4H触及唐奇安60下轨后收阳反转
高收益_立即入场_1.5R,做多,2025-12-16 08:00,2025-12-16 11:30,86390.90,86399.64,85461.35,85469.90,85469.90,87794.25,82511.66,1756.13,87.81,-20.82,-2.37,-1.01,3.50,止损,878.06,857.25,4H触及唐奇安60下轨后收阳反转
高收益_立即入场_1.5R,做空,2026-01-06 08:00,2026-01-07 00:30,93817.80,93808.52,92362.33,94778.80,94778.80,92353.10,98029.90,1714.49,85.72,24.73,2.88,1.49,16.50,止盈,857.25,881.98,4H触及唐奇安60上轨后收阴反转
高收益_立即入场_1.5R,做空,2026-01-15 08:00,2026-01-15 23:45,96914.60,96904.81,95421.56,97900.00,97900.00,95412.02,101265.52,1763.95,88.20,25.25,2.86,1.49,15.75,止盈,881.98,907.23,4H触及唐奇安60上轨后收阴反转
高收益_立即入场_1.5R,做多,2026-02-02 16:00,2026-02-02 23:30,76604.20,76611.56,79217.33,74869.10,74869.10,79225.25,73164.04,1814.45,90.72,59.87,6.60,1.50,7.50,止盈,907.23,967.09,4H触及唐奇安60下轨后收阳反转
高收益_立即入场_1.5R,做多,2026-02-24 20:00,2026-02-24 21:00,63194.30,63200.52,62891.51,62897.80,62897.80,63654.60,60356.50,1934.19,96.71,-11.39,-1.18,-1.02,1.00,止损,967.09,955.71,4H触及唐奇安60下轨后收阳反转
高收益_立即入场_1.5R,做空,2026-03-16 16:00,2026-03-16 21:30,73428.80,73421.46,74457.14,74449.70,74449.70,71879.09,76725.42,1911.42,95.57,-28.89,-3.02,-1.01,5.50,止损,955.71,926.82,4H触及唐奇安60上轨后收阴反转
高收益_立即入场_1.5R,做空,2026-03-17 00:00,2026-03-17 05:30,73240.90,73233.48,74507.35,74499.90,74499.90,71333.84,76528.98,1853.64,92.68,-34.11,-3.68,-1.01,5.50,止损,926.82,892.71,4H触及唐奇安60上轨后收阴反转
高收益_立即入场_1.5R,做空,2026-03-17 12:00,2026-03-18 21:00,74438.80,74431.36,72109.90,75983.80,75983.80,72102.69,77780.77,1785.42,89.27,53.93,6.04,1.50,33.00,止盈,892.71,946.64,4H触及唐奇安60上轨后收阴反转
高收益_立即入场_1.5R,做空,2026-04-09 00:00,2026-04-10 06:15,71265.30,71258.17,72883.79,72876.50,72876.50,68830.68,74464.79,1893.27,94.66,-45.11,-4.76,-1.00,30.25,止损,946.64,901.53,4H触及唐奇安60上轨后收阴反转
高收益_立即入场_1.5R,做空,2026-04-10 08:00,2026-04-10 23:15,71759.00,71751.92,73153.41,73146.10,73146.10,69660.66,74980.76,1803.06,90.15,-37.04,-4.11,-1.01,15.25,止损,901.53,864.49,4H触及唐奇安60上轨后收阴反转
高收益_立即入场_1.5R,做空,2026-04-14 20:00,2026-04-14 21:30,74350.10,74342.57,74877.49,74870.00,74870.00,73551.41,77687.98,1728.98,86.45,-14.18,-1.64,-1.01,1.50,止损,864.49,850.31,4H触及唐奇安60上轨后收阴反转
高收益_立即入场_1.5R,做空,2026-05-05 16:00,2026-05-05 21:00,80821.90,80813.72,81318.03,81309.90,81309.90,80069.44,84450.34,1700.63,85.03,-12.32,-1.45,-1.02,5.00,止损,850.31,838.00,4H触及唐奇安60上轨后收阴反转
